date,open,high,low,close,volume,open_interest,settle
2026-01-19,2430.000,2440.000,2421.000,2429.000,72,45,2429.000
2026-01-20,2401.000,2426.000,2401.000,2402.000,47,57,2414.000
2026-01-21,2400.000,2406.000,2391.000,2391.000,50,61,2398.000
2026-01-22,2388.000,2390.000,2376.000,2390.000,41,76,2382.000
2026-01-23,2390.000,2414.000,2383.000,2411.000,88,100,2402.000
2026-01-26,2412.000,2455.000,2401.000,2441.000,152,161,2430.000
2026-01-27,2444.000,2453.000,2423.000,2426.000,78,170,2435.000
2026-01-28,2419.000,2435.000,2419.000,2431.000,47,169,2427.000
2026-01-29,2435.000,2440.000,2428.000,2428.000,49,169,2433.000
2026-01-30,2428.000,2444.000,2412.000,2430.000,154,146,2428.000
2026-02-02,2439.000,2471.000,2435.000,2442.000,191,171,2453.000
2026-02-03,2458.000,2472.000,2425.000,2446.000,125,205,2451.000
2026-02-04,2440.000,2461.000,2431.000,2459.000,98,248,2443.000
2026-02-05,2450.000,2450.000,2411.000,2411.000,86,248,2428.000
2026-02-06,2395.000,2418.000,2365.000,2365.000,124,251,2377.000
2026-02-09,2366.000,2395.000,2341.000,2383.000,168,301,2371.000
2026-02-10,2398.000,2406.000,2386.000,2404.000,79,340,2398.000
2026-02-11,2404.000,2404.000,2377.000,2385.000,74,315,2387.000
2026-02-12,2386.000,2408.000,2383.000,2400.000,39,307,2395.000
2026-02-13,2418.000,2449.000,2414.000,2435.000,187,301,2433.000
2026-02-24,2417.000,2417.000,2351.000,2372.000,155,317,2376.000
2026-02-25,2370.000,2385.000,2350.000,2378.000,191,398,2372.000
2026-02-26,2360.000,2383.000,2360.000,2377.000,133,397,2374.000
2026-02-27,2365.000,2378.000,2353.000,2375.000,118,404,2366.000
2026-03-02,2365.000,2385.000,2339.000,2353.000,278,486,2358.000
2026-03-03,2352.000,2405.000,2344.000,2401.000,281,560,2372.000
2026-03-04,2411.000,2421.000,2352.000,2369.000,286,575,2386.000
2026-03-05,2366.000,2486.000,2366.000,2400.000,981,842,2434.000
2026-03-06,2415.000,2470.000,2390.000,2461.000,966,1056,2423.000
2026-03-09,2470.000,2593.000,2426.000,2473.000,1750,1083,2511.000
2026-03-10,2453.000,2519.000,2426.000,2499.000,1152,971,2484.000
2026-03-11,2511.000,2511.000,2455.000,2483.000,1444,1206,2480.000
2026-03-12,2489.000,2518.000,2469.000,2481.000,1784,1311,2492.000
2026-03-13,2480.000,2526.000,2460.000,2511.000,1444,1507,2509.000
2026-03-16,2507.000,2548.000,2500.000,2530.000,1591,1508,2525.000
2026-03-17,2492.000,2543.000,2480.000,2526.000,1379,1619,2522.000
2026-03-18,2526.000,2534.000,2477.000,2487.000,1394,1693,2505.000
2026-03-19,2511.000,2541.000,2503.000,2518.000,1476,1855,2522.000
2026-03-20,2515.000,2545.000,2498.000,2533.000,1856,1990,2525.000
2026-03-23,2535.000,2631.000,2526.000,2609.000,2002,2147,2579.000
2026-03-24,2563.000,2626.000,2515.000,2579.000,2908,2003,2578.000
2026-03-25,2589.000,2610.000,2508.000,2541.000,2357,2098,2551.000
2026-03-26,2549.000,2570.000,2525.000,2553.000,2140,2325,2551.000
2026-03-27,2564.000,2570.000,2535.000,2564.000,2291,2491,2554.000
2026-03-30,2568.000,2607.000,2555.000,2567.000,2732,2901,2580.000
2026-03-31,2562.000,2569.000,2520.000,2524.000,2988,3179,2546.000
2026-04-01,2524.000,2524.000,2427.000,2427.000,3384,3190,2478.000
2026-04-02,2435.000,2450.000,2393.000,2429.000,3360,3158,2418.000
2026-04-03,2460.000,2475.000,2400.000,2401.000,1696,3360,2423.000
2026-04-07,2401.000,2436.000,2380.000,2385.000,1932,3100,2404.000
2026-04-08,2393.000,2395.000,2310.000,2337.000,4399,3729,2367.000
2026-04-09,2333.000,2364.000,2333.000,2349.000,2325,4446,2350.000
2026-04-10,2346.000,2352.000,2325.000,2342.000,2674,4746,2338.000
2026-04-13,2335.000,2353.000,2323.000,2350.000,1284,4922,2335.000
2026-04-14,2349.000,2368.000,2336.000,2362.000,1368,4952,2354.000
2026-04-15,2354.000,2367.000,2333.000,2343.000,1450,5010,2346.000
2026-04-16,2346.000,2361.000,2337.000,2355.000,1205,5083,2353.000
2026-04-17,2359.000,2359.000,2333.000,2340.000,1390,5174,2343.000
2026-04-20,2330.000,2353.000,2321.000,2348.000,1553,5395,2340.000
2026-04-21,2340.000,2369.000,2340.000,2355.000,3524,6632,2355.000
2026-04-22,2355.000,2398.000,2351.000,2392.000,3289,6850,2372.000
2026-04-23,2400.000,2400.000,2368.000,2376.000,2105,7113,2382.000
2026-04-24,2376.000,2393.000,2360.000,2360.000,2456,6997,2376.000
2026-04-27,2360.000,2444.000,2352.000,2417.000,5987,7340,2404.000
2026-04-28,2423.000,2426.000,2395.000,2418.000,4317,7574,2410.000
2026-04-29,2418.000,2425.000,2400.000,2401.000,1617,7661,2411.000
2026-04-30,2403.000,2406.000,2371.000,2382.000,2064,7289,2390.000
2026-05-06,2386.000,2430.000,2386.000,2426.000,2325,7509,2413.000
2026-05-07,2423.000,2433.000,2417.000,2426.000,1844,7842,2426.000
2026-05-08,2424.000,2435.000,2408.000,2415.000,2518,8191,2419.000
2026-05-11,2420.000,2420.000,2403.000,2412.000,1597,8350,2412.000
2026-05-12,2413.000,2417.000,2382.000,2382.000,2650,8861,2399.000
2026-05-13,2385.000,2391.000,2360.000,2389.000,3735,9177,2372.000
2026-05-14,2393.000,2400.000,2372.000,2375.000,1498,9202,2379.000
2026-05-15,2371.000,2386.000,2360.000,2360.000,1761,9022,2372.000
2026-05-18,2355.000,2379.000,2339.000,2365.000,3931,9724,2358.000
2026-05-19,2364.000,2388.000,2345.000,2377.000,2905,9920,2366.000
2026-05-20,2376.000,2389.000,2355.000,2367.000,2269,10026,2367.000
2026-05-21,2370.000,2379.000,2359.000,2364.000,1832,10075,2369.000
2026-05-22,2360.000,2367.000,2349.000,2349.000,2531,9976,2356.000
2026-05-25,2355.000,2388.000,2341.000,2361.000,2628,9936,2359.000
2026-05-26,2356.000,2361.000,2335.000,2336.000,3175,10161,2344.000
2026-05-27,2330.000,2343.000,2324.000,2325.000,1648,10089,2332.000
2026-05-28,2331.000,2336.000,2298.000,2299.000,2807,10482,2312.000
2026-05-29,2302.000,2304.000,2283.000,2290.000,3875,11097,2294.000
2026-06-01,2289.000,2307.000,2283.000,2294.000,3777,11367,2294.000
2026-06-02,2294.000,2294.000,2250.000,2257.000,5628,13131,2267.000
2026-06-03,2262.000,2263.000,2219.000,2220.000,5467,14065,2238.000
2026-06-04,2226.000,2226.000,2169.000,2174.000,9001,14476,2195.000
2026-06-05,2170.000,2180.000,2129.000,2143.000,10364,14947,2150.000
2026-06-08,2149.000,2189.000,2130.000,2145.000,10482,15389,2153.000
2026-06-09,2145.000,2145.000,2115.000,2132.000,6141,15819,2128.000
2026-06-10,2137.000,2178.000,2128.000,2169.000,7242,16163,2157.000
2026-06-11,2178.000,2210.000,2167.000,2196.000,5979,16001,2190.000
2026-06-12,2194.000,2248.000,2183.000,2247.000,8069,15535,2220.000
2026-06-15,2246.000,2270.000,2225.000,2235.000,7064,15595,2245.000
2026-06-16,2234.000,2234.000,2183.000,2189.000,5215,16203,2201.000
2026-06-17,2189.000,2211.000,2164.000,2166.000,4731,16707,2186.000
2026-06-18,2170.000,2186.000,2155.000,2183.000,5186,16673,2169.000
2026-06-22,2188.000,2195.000,2148.000,2148.000,3437,16842,2166.000
2026-06-23,2147.000,2155.000,2106.000,2108.000,7086,17421,2125.000
2026-06-24,2106.000,2115.000,2089.000,2106.000,4397,17454,2106.000
2026-06-25,2102.000,2137.000,2102.000,2114.000,5624,17030,2122.000
2026-06-26,2117.000,2128.000,2072.000,2091.000,6449,16885,2098.000
2026-06-29,2087.000,2091.000,2055.000,2078.000,7190,17357,2073.000
2026-06-30,2075.000,2075.000,2032.000,2039.000,6635,18001,2045.000
2026-07-01,2035.000,2049.000,2000.000,2001.000,8119,18497,2026.000
2026-07-02,2006.000,2034.000,2004.000,2023.000,8560,18937,2018.000
2026-07-03,2032.000,2033.000,2008.000,2015.000,7262,18753,2018.000
2026-07-06,2012.000,2057.000,2003.000,2041.000,7727,19083,2032.000
2026-07-07,2038.000,2042.000,2001.000,2007.000,7003,18498,2018.000
2026-07-08,2013.000,2076.000,2011.000,2073.000,12542,18647,2048.000
2026-07-09,2080.000,2098.000,2056.000,2095.000,11981,20343,2077.000
2026-07-10,2085.000,2099.000,2057.000,2096.000,10363,21325,2080.000
2026-07-13,2095.000,2103.000,2059.000,2062.000,12209,20966,2079.000
2026-07-14,2065.000,2092.000,2048.000,2092.000,12775,21765,2065.000
2026-07-15,2097.000,2097.000,2031.000,2041.000,13539,21405,2060.000
2026-07-16,2035.000,2047.000,2021.000,2023.000,8505,21721,2035.000
2026-07-17,2026.000,2028.000,1977.000,1979.000,19581,20458,1991.000
