date,open,high,low,close,volume,open_interest,settle
2024-09-18,12580.000,12580.000,12500.000,12530.000,5,4,12530.000
2024-09-19,12650.000,12720.000,12400.000,12670.000,21,11,12630.000
2024-09-20,12550.000,12590.000,12500.000,12500.000,11,17,12535.000
2024-09-23,12455.000,12635.000,12455.000,12560.000,14,24,12560.000
2024-09-24,12600.000,12750.000,12530.000,12750.000,15,27,12620.000
2024-09-25,12780.000,13160.000,12780.000,12835.000,22,38,0.000
2024-09-26,12860.000,12860.000,12770.000,12830.000,8,44,12800.000
2024-09-27,12975.000,13015.000,12905.000,12990.000,53,72,12970.000
2024-09-30,13230.000,13460.000,13090.000,13165.000,51,91,13150.000
2024-10-08,13165.000,13650.000,12985.000,12985.000,78,129,13395.000
2024-10-09,13030.000,13190.000,13020.000,13040.000,24,141,13105.000
2024-10-10,13115.000,13140.000,12965.000,12980.000,25,153,13045.000
2024-10-11,13015.000,13155.000,12960.000,13145.000,32,163,13050.000
2024-10-14,13210.000,13255.000,13030.000,13060.000,41,165,13115.000
2024-10-15,13065.000,13120.000,12970.000,13015.000,21,160,13040.000
2024-10-16,13120.000,13120.000,13005.000,13050.000,12,162,13065.000
2024-10-17,13595.000,13595.000,12850.000,12940.000,42,168,13050.000
2024-10-18,12805.000,13000.000,12730.000,12805.000,115,210,12825.000
2024-10-21,12805.000,12890.000,12765.000,12805.000,53,234,12815.000
2024-10-22,12700.000,13100.000,12675.000,13000.000,175,243,12890.000
2024-10-23,13125.000,13465.000,13030.000,13335.000,135,253,13155.000
2024-10-24,13215.000,13285.000,13100.000,13140.000,37,256,13190.000
2024-10-25,13195.000,13415.000,13120.000,13385.000,133,304,13280.000
2024-10-28,13390.000,13430.000,13210.000,13315.000,140,339,13330.000
2024-10-29,13320.000,13375.000,13020.000,13075.000,100,371,13130.000
2024-10-30,13115.000,13190.000,13055.000,13125.000,32,376,13135.000
2024-10-31,13185.000,13345.000,13100.000,13290.000,67,386,13175.000
2024-11-01,13275.000,13300.000,13055.000,13090.000,336,458,13215.000
2024-11-04,13110.000,13155.000,13070.000,13150.000,42,465,13110.000
2024-11-05,13080.000,13150.000,12965.000,12965.000,98,481,13065.000
2024-11-06,12880.000,13040.000,12835.000,12835.000,175,517,12905.000
2024-11-07,12840.000,12915.000,12760.000,12890.000,57,545,12860.000
2024-11-08,12955.000,12985.000,12720.000,12760.000,118,563,12815.000
2024-11-11,12720.000,12885.000,12650.000,12780.000,76,590,12700.000
2024-11-12,12815.000,12895.000,12755.000,12800.000,85,604,12815.000
2024-11-13,12780.000,12920.000,12780.000,12845.000,150,588,12860.000
2024-11-14,12875.000,12945.000,12765.000,12780.000,135,602,12820.000
2024-11-15,12760.000,12810.000,12620.000,12755.000,115,625,12730.000
2024-11-18,12705.000,12790.000,12590.000,12710.000,37,623,12700.000
2024-11-19,12710.000,12755.000,12600.000,12710.000,92,653,12655.000
2024-11-20,12755.000,12825.000,12650.000,12760.000,81,664,12730.000
2024-11-21,12790.000,12845.000,12730.000,12770.000,33,661,12790.000
2024-11-22,12665.000,12785.000,12615.000,12615.000,117,676,12675.000
2024-11-25,12640.000,12640.000,12515.000,12545.000,119,669,12580.000
2024-11-26,12500.000,12525.000,11900.000,12170.000,496,853,12205.000
2024-11-27,12290.000,12495.000,12290.000,12455.000,189,828,12410.000
2024-11-28,12480.000,12480.000,12170.000,12240.000,73,863,12310.000
2024-11-29,12140.000,12650.000,12140.000,12565.000,285,860,12525.000
2024-12-02,12610.000,12705.000,12465.000,12500.000,130,861,12575.000
2024-12-03,12505.000,12580.000,12470.000,12485.000,46,859,12510.000
2024-12-04,12420.000,12420.000,12110.000,12210.000,150,868,12255.000
2024-12-05,12235.000,12310.000,12200.000,12215.000,53,891,12225.000
2024-12-06,12190.000,12235.000,12165.000,12165.000,101,903,12195.000
2024-12-09,12095.000,12160.000,11985.000,12060.000,103,910,12050.000
2024-12-10,12150.000,12300.000,12005.000,12055.000,83,954,12130.000
2024-12-11,12025.000,12165.000,12025.000,12120.000,113,1029,12120.000
2024-12-12,12085.000,12155.000,12080.000,12110.000,33,1038,12110.000
2024-12-13,12025.000,12100.000,11950.000,11960.000,105,1096,12000.000
2024-12-16,11960.000,12000.000,11870.000,12000.000,63,1131,11910.000
2024-12-17,11990.000,11990.000,11845.000,11865.000,58,1163,11895.000
2024-12-18,11850.000,11875.000,11760.000,11785.000,140,1173,11800.000
2024-12-19,11765.000,11765.000,11615.000,11615.000,99,1195,11670.000
2024-12-20,11610.000,11645.000,11555.000,11580.000,90,1227,11595.000
2024-12-23,11620.000,11655.000,11580.000,11655.000,73,1249,11630.000
2024-12-24,11665.000,11780.000,11615.000,11775.000,87,1243,11730.000
2024-12-25,11780.000,11900.000,11705.000,11855.000,130,1298,11790.000
2024-12-26,11820.000,11820.000,11525.000,11530.000,181,1388,11605.000
2024-12-27,11520.000,11545.000,11415.000,11415.000,221,1493,11470.000
2024-12-30,11425.000,11560.000,11425.000,11490.000,116,1496,11475.000
2024-12-31,11420.000,11420.000,11255.000,11300.000,243,1506,11325.000
