date,open,high,low,close,volume,open_interest,settle
2021-04-27,7326.000,7326.000,7326.000,7326.000,1,1,7326.000
2021-04-28,7262.000,7262.000,7262.000,7262.000,1,0,7262.000
2021-04-29,7156.000,7156.000,7156.000,7156.000,1500,1500,7156.000
2021-04-30,7428.000,7428.000,7036.000,7100.000,597,2096,7316.000
2021-05-07,7548.000,7548.000,7532.000,7532.000,30,2126,7540.000
2021-05-10,7500.000,7500.000,7500.000,7500.000,1,2126,7500.000
2021-05-11,7642.000,7642.000,7642.000,7642.000,65,2191,7642.000
2021-05-18,7506.000,7506.000,7506.000,7506.000,225,1966,7506.000
2021-05-19,7494.000,7494.000,7448.000,7448.000,3,1969,7464.000
2021-05-20,7210.000,7528.000,7150.000,7528.000,307,1666,7520.000
2021-05-25,7500.000,7500.000,7500.000,7500.000,225,1891,7500.000
2021-05-26,7266.000,7266.000,7266.000,7266.000,1,1892,7266.000
2021-05-27,7226.000,7226.000,7226.000,7226.000,45,1937,7226.000
2021-05-28,7416.000,7416.000,7416.000,7416.000,250,2187,7416.000
2021-05-31,7732.000,7732.000,7732.000,7732.000,40,2227,7732.000
2021-06-01,7802.000,7802.000,7802.000,7802.000,1,2227,7802.000
2021-06-03,7796.000,7798.000,7660.000,7676.000,4,2227,7734.000
2021-06-15,7384.000,7384.000,7384.000,7384.000,1,2227,7384.000
2021-06-17,7392.000,7392.000,7392.000,7392.000,1,2227,7392.000
2021-06-21,7466.000,7466.000,7466.000,7466.000,75,2152,7466.000
2021-06-23,7538.000,7538.000,7538.000,7538.000,40,2112,7538.000
2021-06-25,7650.000,7656.000,7650.000,7656.000,140,1972,7654.000
2021-06-28,7716.000,7716.000,7716.000,7716.000,25,1947,7716.000
2021-07-01,7400.000,7400.000,7400.000,7400.000,1,1947,7400.000
2021-07-02,7386.000,7386.000,7306.000,7306.000,401,1548,7386.000
2021-07-05,7354.000,7354.000,7354.000,7354.000,1,1548,7354.000
2021-07-06,7584.000,7584.000,7584.000,7584.000,17,1533,7584.000
2021-07-07,7538.000,7578.000,7538.000,7578.000,31,1505,7576.000
2021-07-16,7772.000,7772.000,7736.000,7736.000,3,1505,7760.000
2021-07-23,7622.000,7730.000,7622.000,7666.000,4,1508,7688.000
2021-07-26,7612.000,7612.000,7610.000,7610.000,6,1512,7612.000
2021-07-28,7802.000,7804.000,7756.000,7756.000,4,1509,7792.000
2021-07-30,7792.000,7792.000,7792.000,7792.000,1,1510,7792.000
2021-08-06,7738.000,7738.000,7738.000,7738.000,2,1510,7738.000
2021-08-10,7692.000,7692.000,7692.000,7692.000,1000,510,7692.000
2021-08-12,7730.000,7808.000,7730.000,7808.000,4,510,7770.000
2021-08-13,7808.000,7808.000,7808.000,7808.000,1,511,7808.000
2021-08-16,7656.000,7662.000,7616.000,7616.000,8,511,7636.000
2021-08-17,7834.000,7834.000,7834.000,7834.000,1,511,7834.000
2021-08-24,7734.000,7734.000,7734.000,7734.000,1,511,7734.000
2021-08-25,7848.000,7848.000,7714.000,7726.000,3,512,7764.000
2021-08-30,8250.000,8250.000,8250.000,8250.000,1,513,8250.000
2021-08-31,8400.000,8466.000,8334.000,8458.000,5,510,8410.000
2021-09-01,8400.000,8438.000,8386.000,8404.000,25,511,8402.000
2021-09-02,8304.000,8468.000,8284.000,8308.000,7,511,8346.000
2021-09-03,8236.000,8236.000,8236.000,8236.000,1,511,8236.000
2021-09-06,8376.000,8376.000,8376.000,8376.000,1,511,8376.000
2021-09-09,8046.000,8572.000,8046.000,8572.000,4,510,8422.000
2021-09-10,8584.000,8584.000,8436.000,8436.000,2,508,8510.000
2021-09-13,8822.000,8864.000,8810.000,8812.000,7,509,8822.000
2021-09-14,9000.000,9004.000,8936.000,8936.000,10,512,8988.000
2021-09-15,9118.000,9228.000,9034.000,9226.000,28,522,9140.000
2021-09-16,9344.000,9452.000,9276.000,9298.000,10,525,9342.000
2021-09-17,9350.000,9350.000,9350.000,9350.000,4,527,9350.000
2021-09-23,10814.000,10814.000,10814.000,10814.000,1,528,10814.000
2021-09-24,10558.000,10672.000,9988.000,10184.000,29,530,10372.000
2021-09-28,10878.000,11732.000,10862.000,11630.000,40,553,11094.000
2021-09-29,11630.000,11630.000,10820.000,11112.000,121,595,11366.000
2021-09-30,11384.000,11500.000,11384.000,11500.000,2,595,11442.000
2021-10-08,11388.000,11452.000,11388.000,11452.000,7,598,11434.000
2021-10-12,11316.000,11316.000,11162.000,11162.000,4,596,11236.000
2021-10-13,11262.000,11262.000,10112.000,10514.000,9,595,10664.000
2021-10-14,10114.000,10600.000,10114.000,10600.000,5,594,10290.000
2021-10-15,10468.000,10468.000,10468.000,10468.000,1,595,10468.000
2021-10-19,11500.000,11532.000,11100.000,11100.000,60,627,11434.000
2021-10-21,10618.000,10900.000,10250.000,10250.000,95,629,10458.000
2021-10-22,10412.000,10496.000,9746.000,9892.000,85,616,10052.000
2021-10-25,9892.000,9894.000,9370.000,9502.000,22,620,9646.000
2021-10-26,9280.000,9782.000,9142.000,9554.000,29,625,9428.000
2021-10-27,8990.000,9108.000,8640.000,8640.000,5,628,8836.000
2021-10-28,8642.000,9378.000,8642.000,9286.000,10,629,9066.000
2021-10-29,9188.000,9188.000,9004.000,9124.000,4,625,9108.000
2021-11-01,9088.000,9184.000,8966.000,9052.000,1154,696,9088.000
2021-11-02,9072.000,9092.000,8462.000,8754.000,851,707,8898.000
2021-11-03,8692.000,8930.000,8564.000,8930.000,730,718,8692.000
2021-11-04,8604.000,8728.000,8456.000,8692.000,309,749,8572.000
2021-11-05,8484.000,8548.000,8380.000,8380.000,249,732,8466.000
2021-11-08,8408.000,8506.000,8388.000,8484.000,97,724,8456.000
2021-11-09,8560.000,8626.000,8524.000,8580.000,150,711,8572.000
2021-11-10,8264.000,8378.000,8222.000,8352.000,164,748,8280.000
