date,open,high,low,close,volume,open_interest,settle
2019-11-25,137500.000,137500.000,137500.000,137500.000,16,16,137500.000
2019-11-28,137600.000,137600.000,137600.000,137600.000,16,0,137600.000
2020-02-05,134630.000,134630.000,134630.000,134630.000,1,1,134630.000
2020-02-07,132870.000,132870.000,132870.000,132870.000,1,0,132870.000
2020-03-30,115730.000,115730.000,115730.000,115730.000,1,1,115730.000
2020-04-27,126770.000,126770.000,126770.000,126770.000,1,2,126770.000
2020-04-29,125370.000,126520.000,125370.000,126520.000,2,0,125940.000
2020-05-12,131790.000,131790.000,127840.000,128420.000,15,0,129530.000
2020-05-27,131340.000,131340.000,131020.000,131020.000,2,2,131180.000
2020-06-02,132040.000,132040.000,132040.000,132040.000,1,2,132040.000
2020-06-05,132450.000,132450.000,132450.000,132450.000,1,2,132450.000
2020-06-12,135490.000,135490.000,135310.000,135310.000,2,4,135400.000
2020-06-15,134170.000,134620.000,133400.000,133400.000,4,8,134200.000
2020-06-16,135470.000,136460.000,135470.000,136250.000,8,10,136260.000
2020-06-17,136550.000,137020.000,136550.000,137020.000,2,11,136780.000
2020-06-18,136510.000,137280.000,136510.000,137280.000,2,13,136890.000
2020-06-19,136120.000,136120.000,136120.000,136120.000,2,14,136120.000
2020-06-22,136820.000,137220.000,136380.000,136380.000,11,18,136640.000
2020-06-23,137330.000,137330.000,137330.000,137330.000,1,17,137330.000
2020-06-29,137080.000,137100.000,136660.000,137070.000,38,28,136890.000
2020-06-30,136760.000,138590.000,136760.000,138410.000,24,42,137900.000
2020-07-01,138220.000,138610.000,137600.000,138410.000,26,48,138190.000
2020-07-02,138000.000,138160.000,137710.000,138110.000,11,52,137950.000
2020-07-03,138460.000,139450.000,138410.000,139190.000,40,54,138960.000
2020-07-06,139170.000,141990.000,139060.000,141990.000,16,52,140660.000
2020-07-07,141690.000,141690.000,140490.000,140940.000,13,54,140950.000
2020-07-08,140660.000,141430.000,140510.000,140670.000,18,57,141010.000
2020-07-09,140850.000,141200.000,139890.000,140620.000,20,57,140860.000
2020-07-10,142120.000,142120.000,138960.000,138960.000,79,83,140260.000
2020-07-13,139510.000,144060.000,139510.000,143940.000,74,82,142310.000
2020-07-14,143100.000,143640.000,141430.000,142400.000,27,86,143170.000
2020-07-15,142440.000,142870.000,141880.000,142010.000,30,88,142280.000
2020-07-16,140990.000,141380.000,139660.000,139660.000,54,99,140900.000
2020-07-17,141520.000,142060.000,141360.000,141380.000,61,107,141800.000
2020-07-20,140820.000,141450.000,140210.000,140570.000,85,117,140770.000
2020-07-21,141360.000,142390.000,141290.000,141890.000,85,139,141930.000
2020-07-22,142790.000,143990.000,142140.000,143330.000,90,168,142990.000
2020-07-23,142830.000,142830.000,141190.000,141730.000,66,190,141930.000
2020-07-24,142710.000,143600.000,141890.000,142300.000,191,283,143190.000
2020-07-27,142330.000,146510.000,142330.000,146300.000,1138,1170,144350.000
2020-07-28,145230.000,154250.000,145220.000,148580.000,2882,2475,149340.000
2020-07-29,148450.000,150300.000,146300.000,147460.000,4501,4403,148880.000
2020-07-30,147330.000,148140.000,146590.000,147400.000,5838,6786,147340.000
2020-07-31,146990.000,147330.000,145320.000,146890.000,7982,9126,146020.000
2020-08-03,146150.000,147720.000,143500.000,146370.000,9459,10813,145930.000
2020-08-04,146350.000,148460.000,145320.000,146180.000,11866,11686,146940.000
2020-08-05,146390.000,147490.000,145520.000,146390.000,12384,12485,146410.000
2020-08-06,146300.000,147920.000,145340.000,146150.000,15138,12494,146580.000
2020-08-07,146320.000,148920.000,146080.000,146940.000,17923,13232,147210.000
