date,open,high,low,close,volume,open_interest,settle
2022-11-16,6028.000,6084.000,6028.000,6084.000,4,4,6054.000
2022-11-17,6062.000,6062.000,6062.000,6062.000,1,5,6062.000
2022-11-18,6094.000,6122.000,6078.000,6122.000,3,5,6098.000
2022-11-21,6112.000,6154.000,6078.000,6078.000,11,12,6122.000
2022-11-22,6130.000,6130.000,6102.000,6106.000,3,13,6112.000
2022-11-23,6086.000,6174.000,6086.000,6146.000,13,19,6144.000
2022-11-24,6196.000,6196.000,6164.000,6166.000,4,18,6172.000
2022-11-25,6232.000,6232.000,6156.000,6232.000,17,15,6204.000
2022-11-28,6214.000,6240.000,6214.000,6240.000,5,14,6230.000
2022-11-29,6316.000,6318.000,6316.000,6318.000,3,16,6316.000
2022-11-30,6380.000,6380.000,6380.000,6380.000,1,16,6380.000
2022-12-01,6380.000,6446.000,6344.000,6344.000,164,170,6380.000
2022-12-02,6396.000,6416.000,6374.000,6416.000,10,171,6398.000
2022-12-05,6448.000,6548.000,6438.000,6502.000,9,170,6484.000
2022-12-06,6482.000,6500.000,6434.000,6460.000,16,175,6474.000
2022-12-07,6482.000,6484.000,6482.000,6484.000,3,177,6482.000
2022-12-08,6494.000,6500.000,6494.000,6500.000,2,178,6496.000
2022-12-09,6484.000,6580.000,6484.000,6580.000,15,181,6534.000
2022-12-12,6600.000,6624.000,6520.000,6530.000,57,198,6564.000
2022-12-13,6468.000,6492.000,6440.000,6440.000,11,207,6470.000
2022-12-14,6480.000,6538.000,6450.000,6450.000,18,206,6490.000
2022-12-15,6350.000,6494.000,6350.000,6460.000,38,231,6468.000
2022-12-16,6500.000,6500.000,6296.000,6332.000,78,270,6372.000
2022-12-19,6322.000,6376.000,6284.000,6284.000,31,286,6334.000
2022-12-20,6392.000,6392.000,6236.000,6248.000,65,326,6290.000
2022-12-21,6270.000,6292.000,6252.000,6288.000,21,334,6272.000
2022-12-22,6300.000,6304.000,6250.000,6262.000,13,337,6280.000
2022-12-23,6238.000,6248.000,6200.000,6202.000,33,353,6220.000
2022-12-26,6232.000,6442.000,6232.000,6414.000,86,308,6366.000
2022-12-27,6404.000,6404.000,6354.000,6402.000,50,270,6392.000
2022-12-28,6388.000,6388.000,6320.000,6338.000,17,270,6346.000
2022-12-29,6322.000,6362.000,6322.000,6330.000,9,272,6334.000
2022-12-30,6370.000,6450.000,6370.000,6400.000,53,294,6404.000
2023-01-03,6320.000,6344.000,6304.000,6312.000,29,310,6324.000
2023-01-04,6358.000,6390.000,6280.000,6280.000,35,328,6308.000
