date,open,high,low,close,volume,open_interest,settle
2023-03-15,6020.000,6020.000,5963.000,5978.000,14,10,6008.000
2023-03-16,5936.000,5961.000,5890.000,5899.000,189,158,5904.000
2023-03-17,5906.000,5950.000,5890.000,5950.000,10,157,5927.000
2023-03-20,5950.000,6015.000,5950.000,5978.000,49,191,5971.000
2023-03-21,5973.000,6006.000,5973.000,5980.000,18,194,5988.000
2023-03-22,6011.000,6012.000,5995.000,6012.000,15,184,6005.000
2023-03-23,6026.000,6066.000,6026.000,6047.000,37,187,6051.000
2023-03-24,6040.000,6040.000,6007.000,6031.000,26,190,6026.000
2023-03-27,6000.000,6031.000,6000.000,6021.000,29,190,6020.000
2023-03-28,6024.000,6064.000,6024.000,6050.000,104,218,6044.000
2023-03-29,6060.000,6099.000,6053.000,6099.000,79,220,6082.000
2023-03-30,6084.000,6140.000,6084.000,6140.000,93,250,6103.000
2023-03-31,6161.000,6203.000,6161.000,6186.000,153,298,6185.000
2023-04-03,6200.000,6290.000,6200.000,6235.000,162,305,6256.000
2023-04-04,6222.000,6273.000,6131.000,6173.000,223,340,6198.000
2023-04-06,6240.000,6255.000,6193.000,6218.000,449,553,6213.000
2023-04-07,6206.000,6359.000,6205.000,6336.000,435,646,6298.000
2023-04-10,6363.000,6395.000,6153.000,6282.000,465,505,6308.000
2023-04-11,6290.000,6337.000,6278.000,6313.000,142,545,6309.000
2023-04-12,6299.000,6395.000,6299.000,6370.000,462,674,6341.000
2023-04-13,6352.000,6377.000,6318.000,6345.000,307,678,6358.000
2023-04-14,6394.000,6463.000,6363.000,6416.000,464,822,6408.000
2023-04-17,6412.000,6486.000,6375.000,6483.000,703,1035,6428.000
2023-04-18,6471.000,6501.000,6450.000,6485.000,321,1036,6480.000
2023-04-19,6483.000,6520.000,6453.000,6476.000,198,1079,6488.000
2023-04-20,6499.000,6516.000,6463.000,6480.000,420,1113,6487.000
2023-04-21,6489.000,6655.000,6484.000,6596.000,1271,1398,6586.000
2023-04-24,6586.000,6588.000,6448.000,6452.000,877,1506,6518.000
2023-04-25,6470.000,6563.000,6445.000,6482.000,999,1815,6507.000
2023-04-26,6465.000,6603.000,6459.000,6603.000,1081,1957,6541.000
2023-04-27,6580.000,6600.000,6540.000,6566.000,709,1965,6569.000
2023-04-28,6603.000,6688.000,6603.000,6680.000,836,2120,6646.000
2023-05-04,6578.000,6613.000,6521.000,6567.000,819,2149,6571.000
2023-05-05,6575.000,6620.000,6519.000,6593.000,989,2502,6571.000
2023-05-08,6616.000,6666.000,6603.000,6634.000,925,2873,6635.000
2023-05-09,6615.000,6634.000,6585.000,6587.000,767,2757,6608.000
2023-05-10,6596.000,6615.000,6562.000,6593.000,764,2771,6589.000
2023-05-11,6592.000,6609.000,6532.000,6592.000,1206,3080,6584.000
2023-05-12,6563.000,6566.000,6384.000,6384.000,3405,3844,6469.000
2023-05-15,6421.000,6438.000,6330.000,6430.000,2128,4095,6396.000
2023-05-16,6400.000,6417.000,6358.000,6413.000,1185,4014,6393.000
2023-05-17,6420.000,6460.000,6410.000,6427.000,2178,4603,6431.000
2023-05-18,6400.000,6479.000,6400.000,6466.000,1175,4844,6435.000
2023-05-19,6439.000,6462.000,6393.000,6438.000,2890,4858,6434.000
2023-05-22,6475.000,6617.000,6465.000,6593.000,2886,5242,6535.000
2023-05-23,6587.000,6647.000,6579.000,6605.000,1608,5483,6619.000
2023-05-24,6609.000,6626.000,6520.000,6534.000,2115,5842,6570.000
2023-05-25,6525.000,6525.000,6350.000,6388.000,4879,5716,6433.000
2023-05-26,6354.000,6389.000,6275.000,6371.000,7369,5438,6335.000
2023-05-29,6394.000,6500.000,6350.000,6464.000,4809,5276,6441.000
2023-05-30,6460.000,6493.000,6415.000,6475.000,3648,5256,6462.000
2023-05-31,6498.000,6529.000,6417.000,6468.000,3102,5211,6453.000
2023-06-01,6445.000,6562.000,6412.000,6537.000,50791,25125,6474.000
2023-06-02,6548.000,6574.000,6307.000,6383.000,70083,60172,6395.000
2023-06-05,6388.000,6401.000,6277.000,6351.000,50941,78409,6336.000
2023-06-06,6332.000,6366.000,6247.000,6303.000,46431,91598,6300.000
2023-06-07,6320.000,6369.000,6298.000,6339.000,28033,98474,6338.000
2023-06-08,6347.000,6424.000,6334.000,6369.000,26142,103308,6375.000
2023-06-09,6406.000,6511.000,6397.000,6502.000,33202,110481,6455.000
2023-06-12,6483.000,6498.000,6445.000,6448.000,25482,115459,6470.000
2023-06-13,6481.000,6498.000,6450.000,6469.000,25510,120988,6468.000
2023-06-14,6458.000,6476.000,6423.000,6461.000,42136,130823,6452.000
2023-06-15,6484.000,6526.000,6472.000,6521.000,39712,138632,6499.000
2023-06-16,6550.000,6556.000,6478.000,6497.000,44431,144446,6511.000
2023-06-19,6500.000,6548.000,6487.000,6520.000,42043,149342,6523.000
2023-06-20,6527.000,6550.000,6519.000,6546.000,25860,154515,6541.000
2023-06-21,6543.000,6561.000,6518.000,6540.000,47277,162996,6544.000
2023-06-26,6439.000,6496.000,6410.000,6474.000,38519,170050,6456.000
2023-06-27,6488.000,6501.000,6325.000,6332.000,49223,180182,6396.000
2023-06-28,6286.000,6352.000,6259.000,6327.000,41525,186591,6300.000
2023-06-29,6325.000,6360.000,6289.000,6350.000,39898,193885,6320.000
2023-06-30,6334.000,6427.000,6329.000,6404.000,51785,200685,6376.000
2023-07-03,6419.000,6450.000,6398.000,6448.000,36978,211426,6423.000
2023-07-04,6457.000,6457.000,6396.000,6403.000,43402,225317,6426.000
2023-07-05,6403.000,6419.000,6379.000,6404.000,32046,233991,6401.000
2023-07-06,6418.000,6429.000,6386.000,6392.000,23559,241667,6409.000
