date,open,high,low,close,volume,open_interest,settle
2025-11-18,12800.000,12845.000,12750.000,12800.000,8,3,12805.000
2025-11-19,12850.000,13030.000,12790.000,12810.000,20,10,12840.000
2025-11-20,12775.000,12775.000,12775.000,12775.000,1,11,12775.000
2025-11-21,12785.000,12785.000,12695.000,12725.000,12,16,12745.000
2025-11-24,12710.000,12780.000,12635.000,12780.000,22,21,12705.000
2025-11-25,12825.000,12825.000,12825.000,12825.000,1,22,12825.000
2025-11-26,12850.000,12850.000,12840.000,12840.000,2,21,12845.000
2025-11-27,12830.000,12830.000,12830.000,12830.000,1,22,12830.000
2025-11-28,12810.000,12810.000,12770.000,12770.000,4,23,12790.000
2025-12-01,12815.000,12880.000,12790.000,12870.000,14,25,12850.000
2025-12-02,12820.000,12900.000,12820.000,12885.000,16,33,12860.000
2025-12-03,12870.000,12875.000,12835.000,12845.000,8,31,12845.000
2025-12-04,12875.000,12875.000,12850.000,12850.000,12,41,12870.000
2025-12-05,12920.000,12920.000,12895.000,12905.000,3,40,12905.000
2025-12-08,12920.000,12990.000,12920.000,12985.000,13,38,12970.000
2025-12-09,12960.000,13000.000,12960.000,12980.000,14,38,12980.000
2025-12-10,12960.000,13020.000,12960.000,13020.000,12,40,12990.000
2025-12-11,13005.000,13060.000,13005.000,13020.000,8,45,13030.000
2025-12-12,12995.000,12995.000,12960.000,12960.000,15,43,12975.000
2025-12-15,12990.000,13010.000,12940.000,12940.000,5,45,12990.000
2025-12-16,12860.000,12860.000,12785.000,12785.000,13,51,12835.000
2025-12-17,12810.000,12810.000,12645.000,12790.000,24,46,12740.000
2025-12-19,12830.000,13070.000,12830.000,13060.000,8,41,12995.000
2025-12-22,13135.000,13305.000,13130.000,13220.000,83,47,13210.000
2025-12-23,13265.000,13335.000,13245.000,13335.000,13,53,13295.000
2025-12-24,13310.000,13440.000,13310.000,13405.000,7,54,13375.000
2025-12-25,13330.000,13425.000,13260.000,13425.000,41,55,13305.000
2025-12-26,13440.000,13440.000,13395.000,13395.000,2,57,13415.000
2025-12-29,13365.000,13425.000,13365.000,13390.000,3,57,13390.000
2025-12-30,13445.000,13585.000,13415.000,13540.000,32,57,13465.000
2025-12-31,13595.000,13660.000,13595.000,13620.000,22,59,13620.000
2026-01-05,13690.000,13750.000,13610.000,13610.000,8,62,13680.000
2026-01-06,13635.000,13860.000,13625.000,13845.000,38,59,13690.000
2026-01-07,14120.000,14295.000,14080.000,14255.000,36,71,14205.000
2026-01-08,14355.000,14365.000,13825.000,13965.000,65,63,14155.000
2026-01-09,13845.000,14055.000,13845.000,14050.000,5,61,13955.000
2026-01-12,14130.000,14180.000,14120.000,14130.000,19,55,14145.000
2026-01-13,14230.000,14230.000,14050.000,14050.000,5,58,14125.000
2026-01-14,14160.000,14265.000,14160.000,14180.000,6,59,14200.000
2026-01-15,14305.000,14745.000,14255.000,14580.000,41,53,14475.000
2026-01-16,14570.000,14695.000,14410.000,14410.000,108,56,14585.000
2026-01-19,14345.000,14490.000,14345.000,14460.000,9,57,14425.000
2026-01-20,14460.000,14625.000,14460.000,14490.000,17,57,14500.000
