date,open,high,low,close,volume,open_interest,settle
2021-03-15,96.325,96.355,96.250,96.270,55,51,0.000
2021-03-16,96.185,96.465,96.185,96.410,9,53,0.000
2021-03-17,96.315,96.525,96.315,96.435,29,67,0.000
2021-03-18,96.335,96.335,96.335,96.335,1,68,0.000
2021-03-19,96.335,96.595,96.335,96.555,8,71,0.000
2021-03-22,96.650,96.700,96.590,96.605,86,108,0.000
2021-03-23,96.600,96.690,96.600,96.675,29,121,0.000
2021-03-24,96.980,97.030,96.925,97.000,27,138,0.000
2021-03-25,97.085,97.085,96.950,96.980,6,141,0.000
2021-03-26,96.980,96.980,96.830,96.885,49,161,0.000
2021-03-29,96.830,96.900,96.825,96.865,13,161,0.000
2021-03-30,96.900,97.070,96.785,96.805,49,158,0.000
2021-03-31,96.845,96.885,96.835,96.875,9,156,0.000
2021-04-01,96.940,96.940,96.800,96.800,23,164,0.000
2021-04-02,96.905,97.000,96.800,96.845,11,168,0.000
2021-04-06,96.815,96.865,96.790,96.865,17,181,0.000
2021-04-07,96.780,96.780,96.650,96.650,50,197,0.000
2021-04-08,96.765,96.765,96.585,96.585,42,215,0.000
2021-04-09,96.670,96.725,96.630,96.630,10,220,0.000
2021-04-12,96.785,96.890,96.780,96.855,22,220,0.000
2021-04-13,97.090,97.220,97.050,97.220,41,232,0.000
2021-04-14,97.220,97.240,97.150,97.205,23,233,0.000
2021-04-15,97.205,97.215,97.145,97.165,13,239,0.000
2021-04-16,97.205,97.235,97.100,97.160,77,277,0.000
2021-04-19,97.180,97.405,97.105,97.180,167,321,0.000
2021-04-20,97.325,97.360,97.250,97.250,48,342,0.000
2021-04-21,97.300,97.350,97.215,97.335,105,378,0.000
2021-04-22,97.195,97.230,97.150,97.210,33,398,0.000
2021-04-23,97.245,97.255,97.145,97.215,37,424,0.000
2021-04-26,97.000,97.030,96.940,96.970,85,486,0.000
2021-04-27,96.970,97.000,96.805,96.850,118,532,0.000
2021-04-28,96.900,96.940,96.845,96.855,27,547,0.000
2021-04-29,96.945,97.010,96.850,96.850,84,596,0.000
2021-04-30,96.860,97.190,96.860,97.175,90,641,0.000
2021-05-06,97.185,97.280,97.175,97.220,74,664,0.000
2021-05-07,97.280,97.280,97.070,97.130,138,717,0.000
2021-05-10,97.150,97.150,96.980,97.085,119,770,0.000
2021-05-11,97.160,97.300,97.100,97.300,198,846,0.000
2021-05-12,97.390,97.400,97.220,97.325,126,896,0.000
2021-05-13,97.325,97.450,97.180,97.320,159,923,0.000
2021-05-14,97.415,97.515,97.400,97.440,138,928,0.000
2021-05-17,97.420,97.535,97.325,97.365,174,952,0.000
2021-05-18,97.425,97.475,97.325,97.435,82,974,0.000
2021-05-19,97.495,97.735,97.495,97.730,156,1027,0.000
2021-05-20,97.800,98.000,97.740,98.000,482,1279,0.000
2021-05-21,98.005,98.290,97.960,98.270,445,1480,0.000
2021-05-24,98.205,98.300,98.060,98.145,567,1686,0.000
2021-05-25,98.065,98.100,97.975,98.090,437,1948,0.000
2021-05-26,98.160,98.365,98.160,98.220,366,2069,0.000
2021-05-27,98.140,98.170,98.050,98.050,296,2187,0.000
2021-05-28,98.040,98.040,97.905,97.935,521,2322,0.000
2021-05-31,97.910,98.105,97.825,98.065,1328,2398,0.000
2021-06-01,98.120,98.240,98.045,98.080,1025,2438,0.000
2021-06-02,98.000,98.085,97.875,97.900,1265,2576,0.000
2021-06-03,97.975,97.995,97.875,97.955,906,2634,0.000
2021-06-04,98.000,98.040,97.680,97.715,1483,2835,0.000
2021-06-07,97.640,97.640,97.480,97.500,1250,3209,0.000
2021-06-08,97.550,97.645,97.500,97.550,952,3349,0.000
2021-06-09,97.550,97.580,97.410,97.445,1264,3518,0.000
2021-06-10,97.510,97.660,97.510,97.565,780,3575,0.000
2021-06-11,97.610,97.620,97.355,97.380,1293,3814,0.000
2021-06-15,97.350,97.480,97.300,97.420,1741,4004,0.000
2021-06-16,97.420,97.515,97.400,97.420,1054,4149,0.000
2021-06-17,97.335,97.505,97.320,97.350,931,4207,0.000
2021-06-18,97.350,97.660,97.350,97.630,1595,4291,0.000
2021-06-21,97.720,97.920,97.700,97.915,1015,4289,0.000
2021-06-22,97.825,97.960,97.795,97.960,965,4464,0.000
2021-06-23,97.955,98.040,97.900,97.965,1039,4595,0.000
2021-06-24,98.020,98.090,97.900,97.950,648,4638,0.000
2021-06-25,97.950,98.015,97.870,97.900,1045,4914,0.000
2021-06-28,97.950,98.030,97.780,97.780,1010,4989,0.000
2021-06-29,97.720,97.960,97.720,97.940,1187,5143,0.000
2021-06-30,97.910,98.070,97.900,98.040,1207,5273,0.000
2021-07-01,98.075,98.145,97.900,97.915,1354,5410,0.000
2021-07-02,97.950,98.065,97.940,97.980,1094,5673,0.000
2021-07-05,98.075,98.085,97.930,98.000,997,5753,0.000
2021-07-06,97.985,98.035,97.870,97.870,1029,5899,0.000
2021-07-07,97.925,98.320,97.905,98.285,2809,6737,0.000
2021-07-08,98.550,98.735,98.500,98.680,3077,7699,0.000
2021-07-09,98.680,98.735,98.510,98.620,2197,8106,0.000
2021-07-12,98.710,99.010,98.665,98.980,3394,8418,0.000
2021-07-13,99.050,99.085,98.945,99.035,1804,8661,0.000
2021-07-14,99.130,99.335,99.055,99.215,2289,8952,0.000
2021-07-15,99.120,99.145,98.820,98.870,5227,8877,0.000
2021-07-16,98.870,99.040,98.845,99.005,1902,9160,0.000
2021-07-19,99.045,99.065,98.910,98.960,2413,9483,0.000
2021-07-20,99.055,99.215,99.030,99.100,3333,10082,0.000
2021-07-21,99.080,99.250,99.055,99.240,2686,10677,0.000
2021-07-22,99.185,99.190,99.090,99.150,2078,10892,0.000
2021-07-23,99.175,99.340,99.175,99.305,2963,11331,0.000
2021-07-26,99.485,99.545,99.390,99.470,4575,12053,0.000
2021-07-27,99.530,99.620,99.100,99.150,7801,13148,0.000
2021-07-28,99.350,99.430,99.220,99.250,5354,13952,0.000
2021-07-29,99.300,99.485,99.285,99.400,4557,14655,0.000
2021-07-30,99.545,99.935,99.545,99.930,6667,16339,0.000
2021-08-02,100.060,100.235,99.910,100.075,12643,19749,0.000
2021-08-03,100.060,100.075,99.835,99.915,9656,23260,0.000
2021-08-04,99.960,99.960,99.760,99.895,9933,26470,0.000
2021-08-05,100.000,100.180,99.920,100.150,8592,29031,0.000
2021-08-06,100.045,100.110,99.995,100.085,9880,32393,0.000
2021-08-09,99.950,99.975,99.525,99.540,24289,41509,0.000
2021-08-10,99.450,99.650,99.405,99.530,21295,46469,0.000
2021-08-11,99.470,99.540,99.305,99.365,20979,53780,0.000
2021-08-12,99.410,99.680,99.410,99.625,26557,66088,0.000
2021-08-13,99.640,99.665,99.455,99.530,31612,78579,0.000
2021-08-16,99.570,99.670,99.440,99.460,44184,91624,0.000
2021-08-17,99.480,99.670,99.405,99.630,43590,104384,0.000
2021-08-18,99.570,100.055,99.565,100.045,62277,118006,0.000
2021-08-19,100.130,100.195,99.955,100.130,66313,127296,0.000
2021-08-20,100.130,100.155,99.950,99.995,56698,127379,0.000
2021-08-23,99.925,99.990,99.805,99.845,53560,127340,0.000
2021-08-24,99.770,100.005,99.750,99.995,57279,132096,0.000
2021-08-25,100.095,100.220,100.060,100.115,60105,135336,0.000
2021-08-26,99.980,99.995,99.725,99.730,73647,135741,0.000
2021-08-27,99.840,99.935,99.810,99.900,58772,139852,0.000
2021-08-30,99.890,100.150,99.785,100.100,59585,144312,0.000
2021-08-31,100.120,100.210,99.940,99.995,60332,144436,0.000
2021-09-01,100.065,100.480,100.060,100.460,81600,152216,0.000
2021-09-02,100.375,100.480,100.295,100.340,55019,152178,0.000
2021-09-03,100.300,100.440,100.260,100.275,47436,152475,0.000
2021-09-06,100.320,100.465,100.165,100.200,65629,149977,0.000
2021-09-07,100.220,100.230,99.950,99.960,61435,146198,0.000
2021-09-08,99.960,100.090,99.840,99.960,66031,150324,0.000
2021-09-09,99.955,100.045,99.855,99.880,49071,150888,0.000
