date,open,high,low,close,volume,open_interest,settle
2021-11-18,5766.000,5766.000,5034.000,5034.000,940,890,5726.000
2021-11-19,5382.000,5382.000,5382.000,5382.000,10,895,5382.000
2021-11-22,5012.000,5092.000,5012.000,5092.000,16,899,5056.000
2021-11-23,5032.000,5048.000,5010.000,5048.000,8,896,5030.000
2021-11-24,5078.000,5156.000,5078.000,5138.000,5,898,5128.000
2021-11-25,5172.000,5186.000,5104.000,5176.000,15,901,5136.000
2021-11-26,5118.000,5124.000,5038.000,5038.000,17,897,5090.000
2021-11-29,4952.000,4964.000,4856.000,4870.000,24,908,4902.000
2021-11-30,4860.000,4892.000,4712.000,4748.000,29,932,4768.000
2021-12-01,4716.000,4804.000,4646.000,4768.000,20,935,4720.000
2021-12-02,4778.000,4778.000,4698.000,4722.000,7,938,4716.000
2021-12-03,4718.000,4774.000,4660.000,4774.000,21,936,4718.000
2021-12-06,4784.000,4814.000,4756.000,4774.000,11,930,4782.000
2021-12-07,4860.000,4878.000,4852.000,4878.000,4,932,4868.000
2021-12-08,4826.000,4848.000,4814.000,4814.000,5,928,4824.000
2021-12-09,4890.000,4890.000,4876.000,4886.000,4,925,4884.000
2021-12-10,4842.000,4890.000,4842.000,4860.000,6,923,4870.000
2021-12-13,4862.000,4910.000,4862.000,4896.000,5,924,4890.000
2021-12-14,4846.000,4846.000,4796.000,4814.000,15,921,4812.000
2021-12-15,4800.000,4800.000,4764.000,4764.000,4,923,4782.000
2021-12-16,4856.000,4856.000,4856.000,4856.000,1,923,4856.000
2021-12-20,4724.000,4726.000,4712.000,4718.000,8,929,4722.000
2021-12-21,4750.000,4802.000,4750.000,4792.000,10,931,4782.000
2021-12-22,4844.000,4920.000,4840.000,4910.000,15,931,4874.000
2021-12-23,4896.000,4980.000,4896.000,4958.000,11,933,4958.000
2021-12-24,4950.000,4998.000,4948.000,4984.000,7,929,4978.000
2021-12-27,4992.000,4992.000,4940.000,4976.000,13,927,4968.000
2021-12-28,5008.000,5050.000,5008.000,5032.000,8,927,5040.000
2021-12-29,5076.000,5096.000,5040.000,5096.000,118,991,5064.000
2021-12-30,5072.000,5074.000,5072.000,5072.000,3,991,0.000
2021-12-31,5116.000,5116.000,5116.000,5116.000,1,991,5116.000
2022-01-04,5116.000,5166.000,5116.000,5134.000,6,992,5146.000
2022-01-05,5180.000,5300.000,5180.000,5244.000,39,969,5276.000
2022-01-06,5246.000,5270.000,5166.000,5208.000,47,964,5232.000
2022-01-07,5266.000,5404.000,5266.000,5400.000,134,958,5306.000
2022-01-10,5376.000,5386.000,5306.000,5310.000,11,960,5340.000
2022-01-11,5282.000,5340.000,5282.000,5316.000,104,880,5298.000
2022-01-12,5302.000,5390.000,5270.000,5350.000,68,883,5320.000
2022-01-13,5362.000,5426.000,5358.000,5366.000,19,883,5392.000
2022-01-14,5390.000,5528.000,5390.000,5496.000,2062,2894,5476.000
2022-01-17,5460.000,5468.000,5390.000,5426.000,28,2898,5430.000
2022-01-18,5390.000,5510.000,5346.000,5492.000,139,2896,5472.000
2022-01-19,5468.000,5554.000,5464.000,5500.000,123,2901,5512.000
2022-01-20,5504.000,5526.000,5426.000,5492.000,70,2882,5484.000
2022-01-21,5462.000,5472.000,5312.000,5356.000,39,2880,5354.000
2022-01-24,5384.000,5476.000,5384.000,5462.000,49,2880,5456.000
2022-01-25,5354.000,5396.000,5322.000,5386.000,52,2881,5348.000
2022-01-26,5350.000,5508.000,5348.000,5492.000,44,2883,5446.000
2022-01-27,5506.000,5600.000,5506.000,5544.000,201,2885,5562.000
2022-01-28,5586.000,5616.000,5514.000,5538.000,36,2882,5574.000
2022-02-07,5782.000,5842.000,5764.000,5804.000,175,2897,5830.000
2022-02-08,5796.000,5826.000,5724.000,5726.000,576,2938,5784.000
2022-02-09,5652.000,5672.000,5596.000,5606.000,637,3431,5640.000
2022-02-10,5592.000,5656.000,5522.000,5628.000,572,3944,5612.000
2022-02-11,5660.000,5724.000,5502.000,5502.000,256,4027,5590.000
2022-02-14,5568.000,5746.000,5530.000,5664.000,135,4012,5692.000
2022-02-15,5600.000,5660.000,5540.000,5620.000,1707,5602,5604.000
