date,open,high,low,close,volume,open_interest,settle
2023-03-13,100.070,100.070,99.880,99.920,521,239,0.000
2023-03-14,99.950,100.020,99.935,100.010,428,332,0.000
2023-03-15,99.980,99.980,99.900,99.955,331,508,0.000
2023-03-16,100.015,100.105,99.990,100.105,194,529,0.000
2023-03-17,100.065,100.140,100.060,100.110,331,654,0.000
2023-03-20,100.165,100.225,100.130,100.195,203,699,0.000
2023-03-21,100.200,100.230,100.130,100.145,244,833,0.000
2023-03-22,100.135,100.190,100.125,100.175,191,938,0.000
2023-03-23,100.205,100.205,100.140,100.180,228,1111,0.000
2023-03-24,100.170,100.180,100.080,100.085,210,1259,0.000
2023-03-27,100.150,100.230,100.150,100.215,203,1331,0.000
2023-03-28,100.210,100.240,100.195,100.230,87,1370,0.000
2023-03-29,100.230,100.235,100.185,100.235,135,1422,0.000
2023-03-30,100.270,100.290,100.185,100.190,274,1536,0.000
2023-03-31,100.225,100.280,100.190,100.280,140,1602,0.000
2023-04-03,100.235,100.235,100.180,100.195,125,1635,0.000
2023-04-04,100.225,100.225,100.190,100.225,119,1629,0.000
2023-04-06,100.200,100.215,100.130,100.210,221,1654,0.000
2023-04-07,100.180,100.335,100.165,100.305,440,1762,0.000
2023-04-10,100.275,100.330,100.275,100.330,146,1781,0.000
2023-04-11,100.355,100.445,100.345,100.430,316,1839,0.000
2023-04-12,100.425,100.485,100.425,100.470,172,1874,0.000
2023-04-13,100.435,100.475,100.420,100.445,217,1947,0.000
2023-04-14,100.425,100.490,100.415,100.455,243,1997,0.000
2023-04-17,100.420,100.420,100.355,100.370,298,2132,0.000
2023-04-18,100.390,100.455,100.345,100.445,245,2243,0.000
2023-04-19,100.470,100.505,100.470,100.485,138,2275,0.000
2023-04-20,100.485,100.490,100.415,100.445,146,2293,0.000
2023-04-21,100.485,100.565,100.425,100.545,269,2319,0.000
2023-04-24,100.535,100.605,100.535,100.590,409,2317,0.000
2023-04-25,100.600,100.630,100.575,100.615,681,2545,0.000
2023-04-26,100.635,100.795,100.620,100.765,540,2573,0.000
2023-04-27,100.860,100.950,100.840,100.945,295,2677,0.000
2023-04-28,100.915,100.915,100.865,100.895,163,2709,0.000
2023-05-04,101.015,101.015,100.955,100.980,177,2740,0.000
2023-05-05,101.030,101.255,101.030,101.240,259,2717,0.000
2023-05-08,101.250,101.250,101.115,101.155,159,2692,0.000
2023-05-09,101.145,101.190,101.145,101.160,198,2755,0.000
2023-05-10,101.205,101.370,101.205,101.330,376,2727,0.000
2023-05-11,101.415,101.515,101.395,101.440,363,2844,0.000
2023-05-12,101.395,101.400,101.320,101.375,202,2892,0.000
2023-05-15,101.330,101.395,101.295,101.335,375,2996,0.000
2023-05-16,101.335,101.335,101.255,101.325,221,2993,0.000
2023-05-17,101.365,101.365,101.250,101.265,122,3017,0.000
2023-05-18,101.230,101.270,101.185,101.270,292,3004,0.000
2023-05-19,101.210,101.360,101.210,101.355,294,3034,0.000
2023-05-22,101.390,101.495,101.350,101.470,603,3141,0.000
2023-05-23,101.545,101.675,101.535,101.635,519,3122,0.000
2023-05-24,101.630,101.670,101.605,101.635,844,3574,0.000
2023-05-25,101.625,101.640,101.560,101.580,512,3687,0.000
2023-05-26,101.620,101.620,101.490,101.495,517,3817,0.000
2023-05-29,101.465,101.610,101.435,101.605,549,3952,0.000
2023-05-30,101.640,101.660,101.555,101.560,1308,4093,0.000
2023-05-31,101.595,101.665,101.545,101.640,684,4176,0.000
2023-06-01,101.770,101.770,101.655,101.735,1319,4371,0.000
2023-06-02,101.680,101.710,101.360,101.425,2759,4601,0.000
2023-06-05,101.470,101.555,101.450,101.515,1666,4590,0.000
2023-06-06,101.545,101.640,101.535,101.625,1278,4672,0.000
2023-06-07,101.640,101.690,101.615,101.660,1462,4792,0.000
2023-06-08,101.640,101.660,101.540,101.580,2339,4718,0.000
2023-06-09,101.590,101.800,101.570,101.755,2335,4856,0.000
2023-06-12,101.720,101.825,101.705,101.750,2125,4995,0.000
2023-06-13,101.830,102.010,101.830,101.935,1913,5017,0.000
2023-06-14,102.000,102.130,101.935,101.975,1787,5145,0.000
2023-06-15,101.900,101.905,101.725,101.760,1561,5245,0.000
2023-06-16,101.720,101.745,101.480,101.560,2776,5225,0.000
2023-06-19,101.550,101.555,101.385,101.410,1935,5364,0.000
2023-06-20,101.470,101.565,101.450,101.550,1886,5485,0.000
2023-06-21,101.610,101.670,101.575,101.665,1708,5524,0.000
2023-06-26,101.700,101.730,101.660,101.690,1511,5440,0.000
2023-06-27,101.650,101.650,101.555,101.620,1338,5516,0.000
2023-06-28,101.690,101.725,101.655,101.725,731,5559,0.000
2023-06-29,101.670,101.800,101.655,101.775,1578,5658,0.000
2023-06-30,101.825,101.910,101.785,101.895,1346,5591,0.000
2023-07-03,101.870,101.870,101.795,101.845,1095,5628,0.000
2023-07-04,101.845,101.930,101.640,101.755,3321,5668,0.000
2023-07-05,101.795,101.870,101.795,101.870,1273,5650,0.000
2023-07-06,101.880,101.925,101.850,101.855,1705,5911,0.000
2023-07-07,101.910,101.955,101.885,101.905,2111,6050,0.000
2023-07-10,101.855,101.935,101.820,101.915,2491,6528,0.000
2023-07-11,101.965,101.995,101.920,101.935,1197,6686,0.000
2023-07-12,101.925,101.925,101.865,101.905,1280,6751,0.000
2023-07-13,101.930,101.930,101.840,101.865,1700,6689,0.000
2023-07-14,101.865,101.990,101.780,101.855,4508,6566,0.000
2023-07-17,101.865,102.000,101.865,101.975,1878,6482,0.000
2023-07-18,102.005,102.050,101.975,102.015,1333,6573,0.000
2023-07-19,102.015,102.055,101.985,102.015,1136,6629,0.000
2023-07-20,101.985,102.050,101.980,102.030,1224,6636,0.000
2023-07-21,102.070,102.125,102.055,102.085,1648,6700,0.000
2023-07-24,102.135,102.145,102.075,102.130,1199,6899,0.000
2023-07-25,102.030,102.030,101.695,101.710,4414,7698,0.000
2023-07-26,101.735,101.825,101.690,101.820,5210,9309,0.000
2023-07-27,101.860,101.920,101.810,101.885,6440,10116,0.000
2023-07-28,101.890,101.900,101.745,101.775,6773,12525,0.000
2023-07-31,101.640,101.715,101.620,101.710,7911,14692,0.000
2023-08-01,101.740,101.825,101.715,101.720,8435,17515,0.000
2023-08-02,101.750,101.835,101.750,101.785,7590,19423,0.000
2023-08-03,101.830,101.920,101.830,101.905,9415,22438,0.000
2023-08-04,101.880,102.070,101.850,101.945,13618,26154,0.000
2023-08-07,101.940,101.970,101.915,101.950,7556,28337,0.000
2023-08-08,101.980,102.010,101.935,101.985,8289,30002,0.000
2023-08-09,102.005,102.015,101.955,101.965,7527,32429,0.000
2023-08-10,101.965,101.970,101.925,101.960,7336,33644,0.000
2023-08-11,101.980,102.015,101.960,102.000,10148,36233,0.000
2023-08-14,102.100,102.190,102.100,102.115,20401,43850,0.000
2023-08-15,102.345,102.515,102.290,102.300,32022,52504,0.000
2023-08-16,102.385,102.410,102.345,102.400,26692,58419,0.000
2023-08-17,102.415,102.420,102.280,102.305,23083,61734,0.000
2023-08-18,102.350,102.410,102.310,102.385,33838,68016,0.000
2023-08-21,102.445,102.570,102.420,102.520,38344,77054,0.000
2023-08-22,102.470,102.535,102.430,102.465,52176,83453,0.000
2023-08-23,102.460,102.505,102.415,102.460,44961,89717,0.000
2023-08-24,102.480,102.505,102.440,102.490,48668,93742,0.000
2023-08-25,102.500,102.505,102.320,102.355,48308,94313,0.000
2023-08-28,102.150,102.340,102.105,102.340,52970,96125,0.000
2023-08-29,102.345,102.345,102.110,102.205,52139,95300,0.000
2023-08-30,102.190,102.365,102.160,102.335,50429,98186,0.000
2023-08-31,102.390,102.390,102.285,102.345,39615,99021,0.000
2023-09-01,102.285,102.295,102.070,102.095,61059,102677,0.000
2023-09-04,101.950,102.030,101.920,102.020,58873,103743,0.000
2023-09-05,102.025,102.085,101.980,102.015,48755,107146,0.000
2023-09-06,102.015,102.035,101.810,101.830,70907,107865,0.000
2023-09-07,101.800,101.905,101.740,101.760,65446,108532,0.000
2023-09-08,101.840,101.875,101.690,101.830,58924,109832,0.000
2023-09-11,101.775,101.835,101.660,101.800,56843,108584,0.000
2023-09-12,101.910,101.960,101.840,101.855,47839,105926,0.000
2023-09-13,101.905,102.010,101.890,101.975,54967,105326,0.000
2023-09-14,101.960,102.090,101.920,102.085,49031,106592,0.000
2023-09-15,102.075,102.085,101.910,101.920,65984,106915,0.000
2023-09-18,101.810,101.870,101.730,101.805,64749,108974,0.000
2023-09-19,101.790,101.845,101.770,101.825,58729,109101,0.000
2023-09-20,101.770,101.885,101.760,101.835,52406,110455,0.000
