date,open,high,low,close,volume,open_interest,settle
2024-09-18,114.620,114.950,114.530,114.920,340,196,0.000
2024-09-19,115.180,115.300,114.250,114.390,840,418,0.000
2024-09-20,114.640,115.100,114.640,115.090,510,605,0.000
2024-09-23,115.260,115.490,115.080,115.340,595,802,0.000
2024-09-24,115.660,115.780,113.890,114.020,1873,1169,0.000
2024-09-25,113.910,114.380,113.490,114.320,1504,1416,0.000
2024-09-26,114.920,115.000,113.220,113.260,1732,1500,0.000
2024-09-27,112.480,112.580,109.640,110.440,3419,1773,0.000
2024-09-30,108.000,110.380,107.920,109.660,2705,1853,0.000
2024-10-08,108.750,111.260,108.610,110.140,4024,2088,0.000
2024-10-09,110.310,111.380,110.310,111.380,2135,2627,0.000
2024-10-10,111.470,112.180,111.120,112.040,933,2735,0.000
2024-10-11,112.380,112.610,111.670,112.010,1423,2825,0.000
2024-10-14,112.050,112.610,111.500,111.770,2559,3025,0.000
2024-10-15,111.760,112.180,111.230,112.180,1602,3225,0.000
2024-10-16,112.310,112.310,111.400,111.610,1229,3317,0.000
2024-10-17,111.620,112.570,111.490,112.370,936,3468,0.000
2024-10-18,112.500,112.960,111.690,111.990,2709,3730,0.000
2024-10-21,111.940,112.110,111.700,112.020,616,3719,0.000
2024-10-22,112.090,112.090,111.350,111.360,1231,3606,0.000
2024-10-23,111.320,111.470,110.560,111.020,1520,3696,0.000
2024-10-24,111.180,111.540,110.800,110.940,671,3665,0.000
2024-10-25,111.000,111.110,110.630,110.770,1016,3778,0.000
2024-10-28,110.660,110.850,110.200,110.330,1685,3965,0.000
2024-10-29,110.380,110.960,110.100,110.950,1320,3951,0.000
2024-10-30,110.900,111.080,110.730,110.870,704,4092,0.000
2024-10-31,110.780,111.080,110.610,111.040,991,4309,0.000
2024-11-01,111.090,111.700,111.080,111.690,1183,4499,0.000
2024-11-04,111.640,111.860,111.420,111.550,941,4646,0.000
2024-11-05,111.690,112.120,111.490,112.100,1061,4899,0.000
2024-11-06,112.120,112.510,111.910,111.930,817,4933,0.000
2024-11-07,112.040,112.140,111.790,112.040,1532,4720,0.000
2024-11-08,111.840,112.430,111.840,112.200,679,4670,0.000
2024-11-11,112.340,112.470,112.090,112.380,1137,5017,0.000
2024-11-12,112.470,113.100,112.470,113.100,1681,5563,0.000
2024-11-13,113.020,113.220,112.680,112.830,3980,6765,0.000
2024-11-14,112.740,112.810,112.450,112.620,2460,7566,0.000
2024-11-15,112.570,112.820,112.350,112.530,1827,7791,0.000
2024-11-18,112.370,112.400,111.480,111.480,3158,8774,0.000
2024-11-19,111.420,112.120,111.360,112.120,4565,9975,0.000
2024-11-20,112.090,112.150,111.800,112.020,2977,11235,0.000
2024-11-21,112.000,112.610,111.840,112.550,2957,11654,0.000
2024-11-22,112.690,113.000,112.500,112.970,5094,12764,0.000
2024-11-25,112.910,113.740,112.860,113.640,10346,15931,0.000
2024-11-26,113.630,113.990,113.510,113.740,6105,17562,0.000
2024-11-27,113.800,114.130,113.360,113.440,7326,18892,0.000
2024-11-28,113.560,114.090,113.540,114.080,7061,20219,0.000
2024-11-29,114.500,114.550,113.940,114.180,11162,21907,0.000
2024-12-02,114.290,115.170,114.290,115.050,7327,22021,0.000
2024-12-03,114.950,114.970,114.490,114.550,9515,22261,0.000
2024-12-04,114.700,115.340,114.700,115.340,5854,21917,0.000
2024-12-05,115.130,115.540,115.030,115.350,6435,22306,0.000
2024-12-06,115.250,115.440,114.730,115.030,8162,23800,0.000
2024-12-09,115.120,115.430,114.970,115.100,6438,24633,0.000
2024-12-10,116.080,116.900,115.660,116.580,14794,23854,0.000
2024-12-11,116.330,116.760,116.060,116.600,8030,24206,0.000
2024-12-12,116.850,117.030,116.520,116.710,9804,23458,0.000
2024-12-13,117.200,117.520,117.090,117.340,10809,23340,0.000
2024-12-16,117.600,118.210,117.600,117.890,12388,23613,0.000
2024-12-17,117.780,117.880,117.400,117.800,10429,24438,0.000
2024-12-18,117.830,118.110,116.210,117.180,20500,24592,0.000
2024-12-19,117.020,117.250,116.420,116.750,12371,24298,0.000
2024-12-20,117.100,117.980,117.090,117.970,8632,23801,0.000
2024-12-23,118.550,118.700,117.610,117.670,12127,23814,0.000
2024-12-24,117.670,118.000,116.740,117.060,14563,25024,0.000
2024-12-25,117.150,117.220,116.570,116.960,11806,26127,0.000
2024-12-26,117.130,117.230,116.680,116.800,8706,26307,0.000
2024-12-27,117.200,118.190,117.180,118.170,10954,26339,0.000
2024-12-30,118.000,118.130,117.490,117.670,8994,26909,0.000
2024-12-31,118.080,118.570,118.010,118.400,11143,26444,0.000
2025-01-02,119.100,119.580,118.850,119.540,13517,25844,0.000
2025-01-03,120.100,120.500,119.170,119.680,24924,24770,0.000
2025-01-06,119.380,120.200,119.030,120.180,13924,24971,0.000
2025-01-07,120.000,120.100,119.370,119.760,10596,25661,0.000
2025-01-08,119.610,119.960,119.450,119.740,10541,26135,0.000
2025-01-09,119.730,119.760,119.010,119.080,11273,26978,0.000
2025-01-10,118.150,119.290,117.900,119.240,16200,28499,0.000
2025-01-13,119.400,119.620,119.010,119.380,11320,29145,0.000
2025-01-14,119.070,119.480,118.900,119.380,12751,30064,0.000
2025-01-15,119.850,120.120,119.720,120.000,9430,30486,0.000
2025-01-16,119.910,120.270,119.610,120.000,12612,30843,0.000
2025-01-17,120.090,120.260,119.460,119.510,12374,32510,0.000
2025-01-20,119.350,119.650,119.170,119.310,7894,33432,0.000
2025-01-21,119.170,119.920,119.070,119.920,8958,33794,0.000
2025-01-22,119.970,120.150,119.780,119.880,7216,34071,0.000
2025-01-23,119.940,120.060,119.700,119.780,7232,35106,0.000
2025-01-24,119.750,119.960,119.250,119.960,9960,36751,0.000
2025-01-27,120.150,120.720,120.060,120.610,9107,38573,0.000
2025-02-05,120.640,121.060,120.450,121.030,8982,40268,0.000
2025-02-06,121.010,121.540,121.010,121.490,15095,42726,0.000
2025-02-07,121.570,121.680,121.260,121.300,18694,47620,0.000
2025-02-10,121.150,121.240,120.750,120.810,20536,52843,0.000
