date,open,high,low,close,volume,open_interest,settle
2025-09-15,102.260,102.296,102.260,102.290,393,110,0.000
2025-09-16,102.270,102.318,102.268,102.316,124,112,0.000
2025-09-17,102.296,102.340,102.284,102.340,490,148,0.000
2025-09-18,102.310,102.318,102.296,102.312,162,156,0.000
2025-09-19,102.288,102.308,102.256,102.280,359,315,0.000
2025-09-22,102.298,102.312,102.296,102.310,87,333,0.000
2025-09-23,102.274,102.312,102.266,102.282,472,379,0.000
2025-09-24,102.308,102.308,102.256,102.260,683,428,0.000
2025-09-25,102.250,102.256,102.210,102.246,319,395,0.000
2025-09-26,102.258,102.276,102.258,102.264,21,402,0.000
2025-09-29,102.292,102.292,102.262,102.274,631,486,0.000
2025-09-30,102.278,102.336,102.266,102.332,581,566,0.000
2025-10-09,102.350,102.366,102.334,102.352,437,601,0.000
2025-10-10,102.332,102.346,102.316,102.336,311,605,0.000
2025-10-13,102.350,102.360,102.318,102.336,367,662,0.000
2025-10-14,102.298,102.340,102.298,102.340,430,717,0.000
2025-10-15,102.312,102.324,102.304,102.318,276,727,0.000
2025-10-16,102.316,102.330,102.312,102.312,471,740,0.000
2025-10-17,102.322,102.328,102.306,102.316,567,773,0.000
2025-10-20,102.296,102.304,102.282,102.288,293,813,0.000
2025-10-21,102.280,102.312,102.280,102.306,215,819,0.000
2025-10-22,102.302,102.304,102.284,102.296,445,859,0.000
2025-10-23,102.290,102.306,102.278,102.280,241,882,0.000
2025-10-24,102.268,102.284,102.256,102.270,499,924,0.000
2025-10-27,102.258,102.310,102.256,102.310,342,939,0.000
2025-10-28,102.356,102.392,102.356,102.388,606,1006,0.000
2025-10-29,102.394,102.514,102.394,102.474,1258,1170,0.000
2025-10-30,102.480,102.504,102.480,102.498,460,1198,0.000
2025-10-31,102.506,102.510,102.486,102.494,281,1321,0.000
2025-11-03,102.490,102.490,102.458,102.476,394,1397,0.000
2025-11-04,102.466,102.478,102.444,102.464,297,1453,0.000
2025-11-05,102.490,102.490,102.438,102.452,124,1459,0.000
2025-11-06,102.450,102.464,102.450,102.462,181,1450,0.000
2025-11-07,102.454,102.460,102.442,102.444,30,1451,0.000
2025-11-10,102.446,102.448,102.430,102.430,332,1426,0.000
2025-11-11,102.446,102.446,102.416,102.424,73,1442,0.000
2025-11-12,102.418,102.444,102.418,102.442,21,1438,0.000
2025-11-13,102.430,102.438,102.418,102.426,54,1454,0.000
2025-11-14,102.426,102.438,102.406,102.414,249,1476,0.000
2025-11-17,102.414,102.460,102.414,102.456,381,1648,0.000
2025-11-18,102.452,102.472,102.450,102.468,162,1701,0.000
2025-11-19,102.460,102.470,102.454,102.460,488,1922,0.000
2025-11-20,102.460,102.484,102.452,102.474,964,2043,0.000
2025-11-21,102.474,102.480,102.438,102.456,288,2071,0.000
2025-11-24,102.446,102.482,102.442,102.472,325,2157,0.000
2025-11-25,102.464,102.484,102.458,102.470,288,2226,0.000
2025-11-26,102.470,102.472,102.416,102.416,567,2219,0.000
2025-11-27,102.434,102.446,102.422,102.436,238,2246,0.000
2025-11-28,102.444,102.454,102.412,102.420,280,2304,0.000
2025-12-01,102.416,102.448,102.406,102.444,199,2288,0.000
2025-12-02,102.444,102.456,102.428,102.432,197,2326,0.000
2025-12-03,102.446,102.460,102.440,102.456,102,2338,0.000
2025-12-04,102.444,102.446,102.382,102.388,554,2514,0.000
2025-12-05,102.408,102.430,102.406,102.430,220,2506,0.000
2025-12-08,102.432,102.444,102.408,102.422,616,2554,0.000
2025-12-09,102.440,102.448,102.426,102.444,114,2556,0.000
2025-12-10,102.442,102.474,102.434,102.466,310,2550,0.000
2025-12-11,102.482,102.502,102.482,102.492,365,2524,0.000
2025-12-12,102.518,102.518,102.470,102.482,152,2557,0.000
2025-12-15,102.482,102.512,102.474,102.494,429,2550,0.000
2025-12-16,102.488,102.496,102.460,102.470,338,2399,0.000
2025-12-17,102.476,102.482,102.460,102.468,161,2342,0.000
2025-12-18,102.480,102.498,102.472,102.482,217,2300,0.000
2025-12-19,102.492,102.530,102.492,102.526,492,2510,0.000
2025-12-22,102.516,102.526,102.498,102.504,231,2517,0.000
2025-12-23,102.514,102.578,102.514,102.566,360,2609,0.000
2025-12-24,102.566,102.568,102.546,102.566,116,2598,0.000
2025-12-25,102.568,102.582,102.558,102.562,223,2699,0.000
2025-12-26,102.554,102.614,102.554,102.596,343,2763,0.000
2025-12-29,102.566,102.568,102.516,102.528,270,2698,0.000
2025-12-30,102.536,102.538,102.510,102.526,125,2667,0.000
2025-12-31,102.518,102.518,102.470,102.492,472,2687,0.000
2026-01-05,102.480,102.486,102.440,102.452,636,3061,0.000
2026-01-06,102.422,102.422,102.388,102.390,1116,3367,0.000
2026-01-07,102.368,102.396,102.354,102.362,3496,4713,0.000
2026-01-08,102.362,102.404,102.344,102.394,1762,5410,0.000
2026-01-09,102.382,102.386,102.366,102.378,1059,5302,0.000
2026-01-12,102.378,102.400,102.352,102.374,1713,5959,0.000
2026-01-13,102.374,102.376,102.346,102.356,1994,5988,0.000
2026-01-14,102.348,102.364,102.342,102.360,1282,6373,0.000
2026-01-15,102.370,102.422,102.354,102.402,1606,6775,0.000
2026-01-16,102.386,102.452,102.382,102.430,2687,6960,0.000
2026-01-19,102.440,102.444,102.420,102.428,730,7201,0.000
2026-01-20,102.428,102.472,102.416,102.470,1233,7248,0.000
2026-01-21,102.474,102.482,102.446,102.462,1726,6986,0.000
2026-01-22,102.462,102.464,102.436,102.444,1090,6991,0.000
2026-01-23,102.444,102.464,102.440,102.450,1687,7004,0.000
2026-01-26,102.450,102.456,102.410,102.416,2055,7715,0.000
2026-01-27,102.412,102.428,102.392,102.414,2512,8163,0.000
2026-01-28,102.416,102.422,102.392,102.414,2592,8315,0.000
2026-01-29,102.418,102.438,102.416,102.428,3079,9651,0.000
2026-01-30,102.428,102.436,102.408,102.418,1747,9944,0.000
2026-02-02,102.424,102.428,102.396,102.408,3970,10586,0.000
2026-02-03,102.406,102.444,102.404,102.444,3261,11491,0.000
2026-02-04,102.438,102.440,102.412,102.424,4248,12450,0.000
2026-02-05,102.430,102.460,102.418,102.460,4680,14298,0.000
2026-02-06,102.464,102.476,102.448,102.474,4230,15835,0.000
2026-02-09,102.480,102.518,102.470,102.514,11070,20349,0.000
2026-02-10,102.518,102.518,102.490,102.504,9212,23830,0.000
2026-02-11,102.510,102.516,102.492,102.504,12717,28979,0.000
2026-02-12,102.508,102.526,102.500,102.508,18616,36339,0.000
2026-02-13,102.502,102.520,102.476,102.496,24347,43243,0.000
2026-02-24,102.496,102.528,102.458,102.524,40337,57211,0.000
2026-02-25,102.520,102.540,102.458,102.458,59254,64682,0.000
2026-02-26,102.446,102.466,102.426,102.432,30257,65477,0.000
2026-02-27,102.434,102.462,102.424,102.456,26718,66060,0.000
2026-03-02,102.462,102.470,102.444,102.464,23875,64360,0.000
2026-03-03,102.464,102.478,102.452,102.470,24625,66908,0.000
2026-03-04,102.470,102.526,102.470,102.518,35956,68744,0.000
2026-03-05,102.512,102.538,102.494,102.502,34487,70165,0.000
2026-03-06,102.502,102.516,102.494,102.496,29119,71117,0.000
2026-03-09,102.480,102.498,102.450,102.460,39934,70785,0.000
2026-03-10,102.466,102.474,102.448,102.460,28465,70771,0.000
2026-03-11,102.460,102.470,102.446,102.450,28051,71442,0.000
2026-03-12,102.448,102.478,102.442,102.474,27647,71840,0.000
2026-03-13,102.476,102.478,102.454,102.466,24591,72240,0.000
2026-03-16,102.466,102.466,102.424,102.432,37358,75792,0.000
2026-03-17,102.436,102.466,102.436,102.460,31132,75280,0.000
2026-03-18,102.464,102.502,102.460,102.500,39291,74784,0.000
2026-03-19,102.496,102.536,102.486,102.530,43788,75768,0.000
2026-03-20,102.528,102.534,102.508,102.524,38457,77167,0.000
2026-03-23,102.520,102.532,102.482,102.502,52048,74236,0.000
2026-03-24,102.510,102.510,102.466,102.478,45045,74893,0.000
2026-03-25,102.482,102.498,102.474,102.490,32899,73526,0.000
2026-03-26,102.494,102.514,102.482,102.510,29546,71708,0.000
2026-03-27,102.514,102.520,102.500,102.514,26621,71219,0.000
2026-03-30,102.516,102.548,102.516,102.544,42326,76359,0.000
2026-03-31,102.544,102.546,102.516,102.538,36912,76741,0.000
2026-04-01,102.526,102.548,102.492,102.496,48784,76314,0.000
2026-04-02,102.492,102.510,102.472,102.506,45425,72948,0.000
2026-04-03,102.512,102.532,102.482,102.498,39369,73238,0.000
2026-04-07,102.496,102.508,102.476,102.488,35134,73824,0.000
2026-04-08,102.478,102.490,102.464,102.484,36876,74686,0.000
2026-04-09,102.490,102.500,102.454,102.492,49194,74516,0.000
2026-04-10,102.496,102.504,102.458,102.482,52685,75519,0.000
2026-04-13,102.486,102.516,102.482,102.510,43053,77560,0.000
2026-04-14,102.512,102.528,102.476,102.524,46775,79550,0.000
2026-04-15,102.516,102.556,102.512,102.556,51418,84070,0.000
2026-04-16,102.572,102.572,102.534,102.548,49891,84401,0.000
2026-04-17,102.540,102.576,102.540,102.574,44057,85703,0.000
2026-04-20,102.578,102.578,102.550,102.562,43296,83517,0.000
2026-04-21,102.568,102.574,102.550,102.572,29046,85292,0.000
2026-04-22,102.576,102.602,102.564,102.596,31707,89042,0.000
2026-04-23,102.594,102.608,102.576,102.596,41441,86564,0.000
2026-04-24,102.598,102.636,102.590,102.596,50856,90844,0.000
2026-04-27,102.588,102.600,102.544,102.548,50729,90724,0.000
2026-04-28,102.562,102.580,102.558,102.566,37829,90306,0.000
2026-04-29,102.576,102.588,102.554,102.586,35606,87428,0.000
2026-04-30,102.578,102.590,102.552,102.566,36821,86563,0.000
2026-05-06,102.552,102.552,102.512,102.534,54598,84368,0.000
2026-05-07,102.520,102.544,102.512,102.536,35781,82534,0.000
2026-05-08,102.538,102.556,102.534,102.546,42184,80206,0.000
2026-05-11,102.544,102.564,102.528,102.556,44431,76548,0.000
2026-05-12,102.554,102.564,102.538,102.558,39915,72491,0.000
2026-05-13,102.550,102.594,102.550,102.586,48965,70043,0.000
2026-05-14,102.582,102.590,102.568,102.582,37513,68380,0.000
2026-05-15,102.590,102.626,102.582,102.608,50927,69048,0.000
2026-05-18,102.608,102.654,102.584,102.648,49732,65869,0.000
2026-05-19,102.654,102.674,102.642,102.666,40303,63957,0.000
2026-05-20,102.660,102.690,102.658,102.688,35108,60888,0.000
2026-05-21,102.684,102.696,102.654,102.668,56202,53884,0.000
