date,open,high,low,close,volume,open_interest,settle
2024-06-18,1967.000,1967.000,1941.000,1945.000,116,96,1951.000
2024-06-19,1955.000,1959.000,1945.000,1946.000,138,201,1953.000
2024-06-20,1941.000,1957.000,1937.000,1955.000,128,263,1952.000
2024-06-21,1961.000,1975.000,1952.000,1964.000,216,157,1960.000
2024-06-24,1967.000,1967.000,1940.000,1948.000,118,256,1948.000
2024-06-25,1957.000,1980.000,1954.000,1980.000,265,205,1965.000
2024-06-26,1965.000,1986.000,1962.000,1986.000,84,189,1976.000
2024-06-27,1995.000,1995.000,1980.000,1983.000,52,203,1986.000
2024-06-28,1977.000,1992.000,1973.000,1985.000,104,255,1983.000
2024-07-01,1980.000,1980.000,1948.000,1965.000,295,463,1957.000
2024-07-02,1963.000,1972.000,1957.000,1969.000,135,483,1964.000
2024-07-03,1973.000,2018.000,1960.000,2016.000,217,401,1993.000
2024-07-04,2013.000,2013.000,1998.000,2002.000,115,460,2006.000
2024-07-05,1991.000,2003.000,1984.000,1999.000,151,506,1996.000
2024-07-08,1996.000,1996.000,1960.000,1966.000,265,726,1970.000
2024-07-09,1960.000,1975.000,1948.000,1957.000,309,817,1962.000
2024-07-10,1951.000,1952.000,1930.000,1935.000,308,983,1940.000
2024-07-11,1942.000,1954.000,1934.000,1942.000,105,996,1944.000
2024-07-12,1941.000,1947.000,1929.000,1931.000,160,1076,1935.000
2024-07-15,1940.000,1956.000,1922.000,1926.000,368,1203,1938.000
2024-07-16,1934.000,1936.000,1912.000,1917.000,127,1242,1920.000
2024-07-17,1928.000,1933.000,1909.000,1916.000,246,1314,1920.000
2024-07-18,1916.000,1916.000,1903.000,1913.000,212,1352,1908.000
2024-07-19,1907.000,1921.000,1905.000,1911.000,236,1449,1913.000
2024-07-22,1907.000,1907.000,1891.000,1902.000,294,1584,1897.000
2024-07-23,1894.000,1903.000,1891.000,1896.000,229,1630,1897.000
2024-07-24,1894.000,1912.000,1888.000,1905.000,354,1587,1899.000
2024-07-25,1902.000,1909.000,1895.000,1898.000,157,1618,1901.000
2024-07-26,1906.000,1910.000,1901.000,1903.000,117,1626,1907.000
2024-07-29,1900.000,1904.000,1895.000,1898.000,147,1671,1899.000
2024-07-30,1906.000,1921.000,1906.000,1910.000,222,1648,1914.000
2024-07-31,1914.000,1926.000,1913.000,1921.000,135,1604,1920.000
2024-08-01,1925.000,1941.000,1925.000,1941.000,154,1590,1937.000
2024-08-02,1938.000,1962.000,1924.000,1958.000,166,1510,1944.000
2024-08-05,1950.000,1950.000,1923.000,1941.000,106,1479,1938.000
2024-08-06,1933.000,1935.000,1905.000,1908.000,182,1584,1924.000
2024-08-07,1904.000,1920.000,1896.000,1905.000,310,1555,1907.000
2024-08-08,1910.000,1912.000,1893.000,1895.000,174,1662,1899.000
2024-08-09,1900.000,1916.000,1885.000,1909.000,214,1546,1901.000
2024-08-12,1905.000,1925.000,1896.000,1905.000,119,1577,1909.000
2024-08-13,1909.000,1924.000,1904.000,1909.000,188,1568,1913.000
2024-08-14,1905.000,1905.000,1845.000,1851.000,463,1631,1864.000
2024-08-15,1849.000,1863.000,1834.000,1856.000,234,1636,1849.000
2024-08-16,1866.000,1875.000,1818.000,1823.000,332,1692,1838.000
2024-08-19,1825.000,1829.000,1809.000,1809.000,228,1721,1817.000
2024-08-20,1810.000,1828.000,1806.000,1828.000,240,1753,1815.000
2024-08-21,1830.000,1850.000,1826.000,1844.000,236,1696,1838.000
2024-08-22,1840.000,1855.000,1829.000,1831.000,137,1693,1844.000
2024-08-23,1823.000,1830.000,1810.000,1811.000,126,1706,1817.000
2024-08-26,1816.000,1835.000,1797.000,1834.000,266,1757,1812.000
2024-08-27,1832.000,1832.000,1818.000,1824.000,160,1793,1823.000
2024-08-28,1825.000,1830.000,1809.000,1817.000,180,1808,1819.000
2024-08-29,1809.000,1834.000,1809.000,1825.000,109,1818,1825.000
2024-08-30,1826.000,1827.000,1814.000,1823.000,224,1864,1822.000
2024-09-02,1805.000,1818.000,1796.000,1816.000,254,1927,1807.000
2024-09-03,1809.000,1809.000,1796.000,1801.000,315,2103,1803.000
2024-09-04,1798.000,1802.000,1789.000,1791.000,438,2309,1794.000
2024-09-05,1792.000,1794.000,1779.000,1784.000,220,2336,1785.000
2024-09-06,1781.000,1789.000,1775.000,1782.000,287,2448,1780.000
2024-09-09,1775.000,1781.000,1744.000,1751.000,333,2455,1754.000
2024-09-10,1751.000,1753.000,1725.000,1725.000,397,2476,1741.000
2024-09-11,1719.000,1755.000,1710.000,1750.000,531,2400,1735.000
2024-09-12,1746.000,1768.000,1730.000,1767.000,365,2383,1751.000
2024-09-13,1765.000,1771.000,1744.000,1745.000,283,2411,1753.000
