date,open,high,low,close,volume,open_interest,settle
2019-09-17,6395.000,6435.000,6395.000,6425.000,184,154,6415.000
2019-09-18,6405.000,6405.000,6350.000,6400.000,708,784,6375.000
2019-09-19,6400.000,6405.000,6305.000,6305.000,966,1622,6355.000
2019-09-20,6305.000,6335.000,6285.000,6285.000,1620,3102,6310.000
2019-09-23,6290.000,6325.000,6290.000,6315.000,1590,4388,6310.000
2019-09-24,6325.000,6325.000,6290.000,6300.000,1796,5858,6300.000
2019-09-25,6295.000,6295.000,6280.000,6285.000,2304,7646,6285.000
2019-09-26,6280.000,6290.000,6260.000,6275.000,1714,8746,6275.000
2019-09-27,6275.000,6280.000,6235.000,6260.000,2316,10136,6250.000
2019-09-30,6245.000,6295.000,6245.000,6295.000,728,10362,6270.000
2019-10-08,6270.000,6290.000,6250.000,6260.000,252,10460,6265.000
2019-10-09,6235.000,6270.000,6235.000,6235.000,1854,11868,6245.000
2019-10-10,6235.000,6250.000,6230.000,6240.000,2430,13690,6235.000
2019-10-11,6255.000,6270.000,6235.000,6255.000,3134,15324,6245.000
2019-10-14,6260.000,6290.000,6250.000,6270.000,2774,16868,6275.000
2019-10-15,6270.000,6270.000,6235.000,6245.000,2340,18742,6245.000
2019-10-16,6245.000,6270.000,6230.000,6230.000,3516,21352,6245.000
2019-10-17,6235.000,6235.000,6200.000,6225.000,4902,23882,6210.000
2019-10-18,6240.000,6240.000,6200.000,6215.000,1368,24590,6205.000
2019-10-21,6235.000,6235.000,6200.000,6200.000,1912,25572,6205.000
2019-10-22,6230.000,6230.000,6200.000,6210.000,934,25916,6215.000
2019-10-23,6205.000,6230.000,6205.000,6230.000,918,25936,6220.000
2019-10-24,6215.000,6230.000,6205.000,6225.000,2112,27540,6215.000
2019-10-25,6235.000,6260.000,6220.000,6225.000,1004,27446,6235.000
2019-10-28,6220.000,6275.000,6215.000,6260.000,1298,27228,6245.000
2019-10-29,6250.000,6255.000,6225.000,6235.000,704,27352,6235.000
2019-10-30,6230.000,6240.000,6200.000,6215.000,1982,28874,6210.000
2019-10-31,6215.000,6230.000,6210.000,6225.000,972,28842,6215.000
2019-11-01,6220.000,6230.000,6205.000,6230.000,822,28834,6215.000
2019-11-04,6235.000,6285.000,6225.000,6270.000,3328,28164,6255.000
2019-11-05,6290.000,6290.000,6225.000,6260.000,1812,28660,6250.000
2019-11-06,6265.000,6265.000,6250.000,6265.000,1330,28660,6260.000
2019-11-07,6260.000,6260.000,6235.000,6240.000,1686,29312,6245.000
2019-11-08,6240.000,6255.000,6235.000,6235.000,1352,29776,6240.000
2019-11-11,6235.000,6245.000,6220.000,6235.000,2118,30782,6230.000
2019-11-12,6240.000,6300.000,6235.000,6280.000,7306,30520,6265.000
2019-11-13,6270.000,6275.000,6240.000,6265.000,3042,30782,6255.000
2019-11-14,6265.000,6290.000,6230.000,6285.000,4950,29786,6260.000
2019-11-15,6280.000,6305.000,6250.000,6290.000,11504,29198,6280.000
2019-11-18,6285.000,6285.000,6235.000,6245.000,9376,30044,6260.000
2019-11-19,6240.000,6255.000,6215.000,6245.000,4358,32268,6230.000
2019-11-20,6240.000,6255.000,6225.000,6250.000,2418,32428,6240.000
2019-11-21,6255.000,6255.000,6230.000,6245.000,2960,32090,6240.000
2019-11-22,6255.000,6260.000,6230.000,6240.000,4638,32500,6245.000
2019-11-25,6245.000,6275.000,6230.000,6270.000,7376,33602,6260.000
2019-11-26,6270.000,6295.000,6260.000,6295.000,4582,34672,6280.000
2019-11-27,6300.000,6370.000,6300.000,6360.000,7974,36662,6335.000
2019-11-28,6360.000,6495.000,6350.000,6420.000,18340,42594,6430.000
2019-11-29,6425.000,6485.000,6410.000,6460.000,5090,41082,6445.000
2019-12-02,6460.000,6470.000,6405.000,6425.000,10126,40680,6430.000
2019-12-03,6430.000,6440.000,6365.000,6370.000,9296,42600,6390.000
2019-12-04,6380.000,6395.000,6335.000,6365.000,16736,41422,6365.000
2019-12-05,6385.000,6400.000,6365.000,6380.000,5244,41834,6380.000
2019-12-06,6380.000,6415.000,6375.000,6410.000,7298,46268,6395.000
2019-12-09,6405.000,6490.000,6405.000,6480.000,10138,45262,6435.000
2019-12-10,6475.000,6520.000,6465.000,6515.000,14976,38010,0.000
2019-12-11,6500.000,6545.000,6490.000,6535.000,5922,37474,6510.000
2019-12-12,6545.000,6555.000,6435.000,6455.000,6446,37538,6485.000
2019-12-13,6465.000,6485.000,6460.000,6475.000,2184,37546,6475.000
2019-12-16,6485.000,6520.000,6465.000,6495.000,4202,38008,6490.000
2019-12-17,6505.000,6510.000,6455.000,6470.000,5884,40026,6485.000
2019-12-18,6470.000,6500.000,6450.000,6485.000,2866,40678,6475.000
2019-12-19,6485.000,6520.000,6475.000,6515.000,6192,39960,6495.000
2019-12-20,6530.000,6545.000,6500.000,6525.000,9376,41288,6520.000
