date,open,high,low,close,volume,open_interest,settle
2025-07-21,3543.000,3544.000,3543.000,3544.000,2,2,3543.000
2025-07-23,3685.000,3839.000,3602.000,3839.000,3,3,3708.000
2025-08-13,3534.000,3534.000,3533.000,3533.000,3,5,3533.000
2025-08-22,3407.000,3407.000,3407.000,3407.000,1,5,3407.000
2025-08-25,3435.000,3435.000,3435.000,3435.000,1,5,3435.000
2025-08-26,3441.000,3442.000,3440.000,3440.000,4,6,3441.000
2025-08-27,3440.000,3440.000,3440.000,3440.000,1,5,3440.000
2025-08-28,3396.000,3396.000,3396.000,3396.000,2,3,3396.000
2025-09-02,3375.000,3375.000,3375.000,3375.000,2,5,3375.000
2025-09-11,3372.000,3372.000,3372.000,3372.000,1,5,3372.000
2025-09-26,3384.000,3384.000,3383.000,3383.000,2,7,3383.000
2025-09-30,3260.000,3330.000,3260.000,3330.000,9,9,3296.000
2025-10-09,3356.000,3356.000,3356.000,3356.000,1,8,3356.000
2025-10-10,3292.000,3396.000,3292.000,3393.000,4,7,3360.000
2025-10-24,3361.000,3361.000,3361.000,3361.000,2,9,3361.000
2025-10-27,3377.000,3377.000,3377.000,3377.000,1,9,3377.000
2025-11-06,3351.000,3351.000,3351.000,3351.000,2,10,3351.000
2025-11-07,3386.000,3386.000,3386.000,3386.000,1,10,3386.000
2025-11-11,3475.000,3475.000,3360.000,3360.000,2,11,3417.000
2025-11-12,3357.000,3357.000,3357.000,3357.000,1,11,3357.000
2025-11-20,3326.000,3326.000,3326.000,3326.000,1,11,3326.000
2025-11-21,3395.000,3395.000,3395.000,3395.000,1,11,3395.000
2025-11-24,3330.000,3350.000,3330.000,3347.000,4,11,3343.000
2025-11-26,3384.000,3384.000,3384.000,3384.000,1,11,3384.000
2025-11-27,3318.000,3374.000,3318.000,3374.000,5,9,3346.000
2025-12-01,3430.000,3430.000,3370.000,3395.000,7,9,3390.000
2025-12-02,3368.000,3368.000,3368.000,3368.000,2,7,3368.000
2025-12-03,3357.000,3357.000,3357.000,3357.000,7,0,3357.000
2025-12-09,3351.000,3362.000,3351.000,3362.000,2,0,3356.000
2025-12-10,3412.000,3412.000,3412.000,3412.000,1,1,3412.000
2025-12-11,3378.000,3378.000,3374.000,3374.000,3,2,3375.000
2025-12-12,3382.000,3382.000,3382.000,3382.000,2,0,3382.000
2025-12-29,3530.000,3530.000,3503.000,3503.000,8,4,3519.000
2025-12-30,3485.000,3485.000,3485.000,3485.000,1,4,3485.000
2026-01-05,3510.000,3510.000,3403.000,3456.000,14,5,3452.000
2026-01-06,3490.000,3490.000,3490.000,3490.000,1,6,3490.000
2026-01-07,3547.000,3547.000,3547.000,3547.000,1,5,3547.000
2026-01-08,3543.000,3638.000,3502.000,3516.000,4,5,3549.000
2026-01-13,3449.000,3449.000,3449.000,3449.000,2,5,3449.000
2026-01-15,3420.000,3420.000,3420.000,3420.000,3,3,3420.000
2026-01-16,3486.000,3486.000,3444.000,3444.000,2,3,3465.000
2026-01-19,3453.000,3541.000,3453.000,3501.000,7,2,3478.000
2026-01-21,3447.000,3447.000,3447.000,3447.000,1,1,3447.000
2026-01-30,3545.000,3545.000,3545.000,3545.000,1,1,3545.000
2026-02-09,3450.000,3450.000,3376.000,3435.000,4,1,3427.000
2026-02-13,3378.000,3378.000,3377.000,3377.000,3,3,3377.000
2026-03-09,3596.000,3596.000,3596.000,3596.000,1,3,3596.000
2026-03-24,3359.000,3359.000,3359.000,3359.000,3,2,3359.000
2026-03-25,3415.000,3415.000,3415.000,3415.000,1,2,3415.000
2026-04-23,3409.000,3409.000,3409.000,3409.000,1,2,3409.000
2026-05-12,3561.000,3561.000,3561.000,3561.000,1,1,3561.000
2026-05-14,3599.000,3599.000,3599.000,3599.000,1,1,3599.000
2026-05-19,3566.000,3566.000,3566.000,3566.000,1,1,3566.000
2026-05-22,3550.000,3550.000,3550.000,3550.000,1,1,3550.000
2026-05-26,3565.000,3565.000,3565.000,3565.000,1,1,3565.000
2026-05-28,3400.000,3570.000,3400.000,3570.000,17,1,3475.000
2026-05-29,3550.000,3550.000,3400.000,3400.000,2,0,3475.000
