date,open,high,low,close,volume,open_interest,settle
2020-12-21,7258.000,7260.000,7228.000,7230.000,9,6,7244.000
2020-12-22,7180.000,7364.000,7132.000,7134.000,9,8,7180.000
2020-12-23,7144.000,7144.000,7144.000,7144.000,1,10,7144.000
2020-12-24,7252.000,7330.000,7252.000,7330.000,8,9,7276.000
2020-12-28,7300.000,7300.000,7300.000,7300.000,1,8,7300.000
2020-12-31,7372.000,7372.000,7372.000,7372.000,1,8,7372.000
2021-01-04,7344.000,7478.000,7344.000,7438.000,19,19,7446.000
2021-01-05,7456.000,7456.000,7354.000,7354.000,6,23,7408.000
2021-01-06,7498.000,7500.000,7402.000,7498.000,14,16,7488.000
2021-01-07,7544.000,7588.000,7462.000,7532.000,13,18,7550.000
2021-01-08,7526.000,7580.000,7494.000,7532.000,9,24,7518.000
2021-01-11,7630.000,7630.000,7448.000,7448.000,19,29,7546.000
2021-01-12,7452.000,7452.000,7318.000,7386.000,11,39,7408.000
2021-01-13,7482.000,7534.000,7424.000,7424.000,17,49,7474.000
2021-01-14,7312.000,7312.000,7210.000,7210.000,14,62,7270.000
2021-01-15,7158.000,7302.000,7136.000,7136.000,24,82,7184.000
2021-01-18,7122.000,7230.000,7102.000,7218.000,28,96,7160.000
2021-01-19,7218.000,7218.000,7150.000,7150.000,4,94,7178.000
2021-01-20,7150.000,7160.000,7020.000,7022.000,20,100,7070.000
2021-01-21,7038.000,7130.000,7032.000,7130.000,5,98,7074.000
2021-01-22,7148.000,7148.000,7026.000,7026.000,6,99,7046.000
2021-01-25,7040.000,7040.000,6904.000,6972.000,7,101,6964.000
2021-01-26,7070.000,7070.000,7070.000,7070.000,3,99,7070.000
2021-01-27,7132.000,7176.000,7132.000,7176.000,4,95,7154.000
2021-01-28,7214.000,7244.000,7150.000,7150.000,12,84,7212.000
2021-01-29,7218.000,7232.000,7218.000,7232.000,2,84,7224.000
2021-02-01,7222.000,7222.000,7192.000,7192.000,8,81,7194.000
2021-02-02,7110.000,7110.000,7110.000,7110.000,1,80,7110.000
2021-02-03,7006.000,7006.000,6998.000,6998.000,4,80,7004.000
2021-02-04,6946.000,6994.000,6920.000,6920.000,2,80,6952.000
2021-02-05,7002.000,7064.000,7002.000,7064.000,5,83,7050.000
2021-02-08,7060.000,7090.000,7056.000,7080.000,10,82,7072.000
2021-02-09,7204.000,7222.000,7204.000,7222.000,6,76,7218.000
2021-02-10,7244.000,7258.000,7244.000,7258.000,6,75,7246.000
2021-02-18,7406.000,7428.000,7404.000,7428.000,8,76,7410.000
2021-02-22,7456.000,7600.000,7456.000,7456.000,1,79,7566.000
2021-02-23,7646.000,7696.000,7646.000,7680.000,8,64,7678.000
2021-02-24,7680.000,7690.000,7652.000,7688.000,10,62,7680.000
2021-02-25,7690.000,7806.000,7682.000,7790.000,42,50,7754.000
2021-02-26,7832.000,7858.000,7632.000,7632.000,40,51,7704.000
2021-03-01,7588.000,7878.000,7580.000,7790.000,1992,1240,7752.000
2021-03-02,7752.000,7788.000,7656.000,7676.000,613,1683,7722.000
2021-03-03,7734.000,7806.000,7642.000,7750.000,1527,2729,7714.000
2021-03-04,7700.000,7836.000,7672.000,7790.000,1073,3459,7816.000
2021-03-05,7830.000,7868.000,7744.000,7796.000,2171,4144,7810.000
2021-03-08,7810.000,8174.000,7810.000,8076.000,2077,4816,8000.000
2021-03-09,8076.000,8164.000,8022.000,8024.000,1366,4959,8080.000
2021-03-10,8108.000,8114.000,7946.000,8114.000,1906,4968,8030.000
2021-03-11,8050.000,8124.000,7960.000,8096.000,1396,4957,8056.000
2021-03-12,8188.000,8328.000,8178.000,8210.000,2935,4996,8258.000
2021-03-15,8178.000,8358.000,8114.000,8290.000,2635,4931,8230.000
2021-03-16,8262.000,8426.000,8262.000,8292.000,1565,4995,8356.000
2021-03-17,8202.000,8266.000,8158.000,8244.000,2984,5193,8212.000
2021-03-18,8212.000,8226.000,8020.000,8064.000,3540,5730,8126.000
2021-03-19,8022.000,8022.000,7834.000,7874.000,2336,5930,7904.000
2021-03-22,7900.000,8006.000,7894.000,7972.000,6164,6227,7954.000
2021-03-23,8030.000,8366.000,8030.000,8258.000,6887,6202,8228.000
2021-03-24,8228.000,8236.000,8140.000,8222.000,5157,6340,8196.000
2021-03-25,8194.000,8282.000,8158.000,8278.000,7050,6498,8228.000
2021-03-26,8162.000,8162.000,7844.000,7910.000,9857,6660,8024.000
2021-03-29,7922.000,7972.000,7730.000,7812.000,5799,6698,7860.000
2021-03-30,7864.000,7872.000,7668.000,7718.000,8289,6878,7798.000
2021-03-31,7668.000,7668.000,7500.000,7638.000,5140,7593,7618.000
2021-04-01,7714.000,7916.000,7586.000,7856.000,10472,12852,7742.000
2021-04-02,7742.000,7920.000,7742.000,7884.000,13499,19329,7824.000
2021-04-06,7824.000,8042.000,7824.000,8028.000,6844,22025,7942.000
2021-04-07,8118.000,8170.000,8024.000,8048.000,13614,26451,8098.000
2021-04-08,8072.000,8100.000,7864.000,7894.000,10487,27853,7964.000
2021-04-09,7930.000,7964.000,7852.000,7884.000,8446,29292,7916.000
2021-04-12,7916.000,7916.000,7722.000,7778.000,10421,30484,7822.000
2021-04-13,7792.000,7858.000,7674.000,7840.000,9280,31782,7766.000
2021-04-14,7864.000,7904.000,7808.000,7862.000,7446,33143,7844.000
2021-04-15,7844.000,7964.000,7816.000,7914.000,6259,33450,7902.000
2021-04-16,7902.000,8074.000,7834.000,8040.000,7466,33594,7990.000
2021-04-19,8002.000,8084.000,7990.000,8012.000,7094,34673,8028.000
2021-04-20,8028.000,8128.000,7970.000,8112.000,3816,34408,8026.000
2021-04-21,8140.000,8284.000,8140.000,8270.000,2572,35076,8230.000
2021-04-22,8230.000,8414.000,8200.000,8354.000,3561,34499,8318.000
2021-04-23,8322.000,8502.000,8322.000,8490.000,4209,35856,8432.000
2021-04-26,8432.000,8570.000,8282.000,8308.000,6457,35960,8402.000
2021-04-27,8328.000,8486.000,8170.000,8428.000,7276,38183,8372.000
2021-04-28,8464.000,8490.000,8194.000,8264.000,7777,37363,8314.000
2021-04-29,8314.000,8388.000,8266.000,8308.000,3642,37289,8318.000
2021-04-30,8346.000,8368.000,8172.000,8254.000,5783,36649,8288.000
2021-05-06,8488.000,8778.000,8488.000,8736.000,8612,40874,8598.000
2021-05-07,8726.000,8882.000,8696.000,8830.000,6287,43084,8766.000
2021-05-10,8854.000,8880.000,8670.000,8714.000,11348,47970,8802.000
2021-05-11,8774.000,8774.000,8578.000,8722.000,5954,47593,8686.000
2021-05-12,8730.000,9032.000,8678.000,9020.000,6770,46389,8886.000
2021-05-13,8996.000,9114.000,8904.000,9046.000,9959,46091,8984.000
2021-05-14,8984.000,8984.000,8694.000,8800.000,9282,47259,8854.000
2021-05-17,8810.000,9028.000,8696.000,8722.000,11570,48038,8780.000
2021-05-18,8764.000,8972.000,8730.000,8948.000,5715,48717,8872.000
2021-05-19,8982.000,9006.000,8760.000,8800.000,8450,49295,8882.000
2021-05-20,8724.000,8730.000,8506.000,8726.000,8310,50044,8622.000
2021-05-21,8616.000,8616.000,8344.000,8344.000,7333,50515,8478.000
2021-05-24,8354.000,8376.000,8136.000,8298.000,6827,50037,8276.000
2021-05-25,8314.000,8400.000,8284.000,8316.000,5833,50920,8328.000
2021-05-26,8322.000,8368.000,8212.000,8354.000,5186,53581,8328.000
2021-05-27,8328.000,8328.000,8146.000,8152.000,4788,54501,8246.000
2021-05-28,8182.000,8398.000,8182.000,8350.000,6998,58189,8270.000
2021-05-31,8302.000,8446.000,8242.000,8304.000,3587,59025,8318.000
2021-06-01,8318.000,8428.000,8298.000,8414.000,2336,58726,8388.000
2021-06-02,8426.000,8608.000,8426.000,8608.000,6230,59754,8502.000
2021-06-03,8688.000,8888.000,8644.000,8864.000,5863,59157,8768.000
2021-06-04,8834.000,8874.000,8678.000,8716.000,3891,59020,8756.000
2021-06-07,8756.000,8962.000,8712.000,8828.000,5583,58874,8844.000
2021-06-08,8844.000,8878.000,8550.000,8556.000,3965,59210,8744.000
2021-06-09,8644.000,8692.000,8538.000,8540.000,2819,59709,8614.000
2021-06-10,8488.000,8666.000,8452.000,8632.000,3764,59439,8538.000
2021-06-11,8590.000,8650.000,8444.000,8486.000,3115,59098,8560.000
2021-06-15,8086.000,8156.000,7992.000,8132.000,2625,59143,8064.000
2021-06-16,8158.000,8200.000,7910.000,7922.000,5996,60409,8092.000
2021-06-17,7962.000,7992.000,7764.000,7878.000,4246,61807,7902.000
2021-06-18,7762.000,7810.000,7568.000,7650.000,4323,63828,7704.000
2021-06-21,7750.000,7828.000,7692.000,7784.000,6966,67704,7748.000
2021-06-22,7748.000,7998.000,7748.000,7914.000,8485,70380,7810.000
2021-06-23,7906.000,8084.000,7876.000,8016.000,8030,71318,7958.000
2021-06-24,8030.000,8102.000,7942.000,7948.000,6895,73381,8000.000
2021-06-25,7906.000,8088.000,7886.000,8076.000,8983,76009,7972.000
2021-06-28,8088.000,8110.000,7856.000,8022.000,7149,78388,8004.000
2021-06-29,8046.000,8564.000,7444.000,8014.000,7775,77986,7996.000
2021-06-30,8208.000,8208.000,8064.000,8148.000,11294,77556,8126.000
2021-07-01,8106.000,8394.000,8094.000,8376.000,17801,75196,8208.000
2021-07-02,8426.000,8482.000,8378.000,8462.000,14840,78280,8424.000
2021-07-05,8496.000,8560.000,8388.000,8428.000,13794,79842,8446.000
2021-07-06,8436.000,8534.000,8436.000,8492.000,11166,77494,8474.000
2021-07-07,8474.000,8474.000,8236.000,8338.000,11378,77782,8324.000
2021-07-08,8306.000,8360.000,8210.000,8346.000,11659,77954,8284.000
2021-07-09,8284.000,8476.000,8266.000,8464.000,13769,77598,8342.000
2021-07-12,8402.000,8592.000,8402.000,8498.000,15338,77390,8488.000
2021-07-13,8488.000,8632.000,8488.000,8620.000,12956,77319,8566.000
2021-07-14,8644.000,8714.000,8590.000,8696.000,12072,75931,8642.000
2021-07-15,8680.000,8800.000,8656.000,8770.000,14050,76992,8724.000
2021-07-16,8790.000,8862.000,8710.000,8764.000,14607,74853,8782.000
2021-07-19,8786.000,8934.000,8786.000,8810.000,14256,75858,8866.000
2021-07-20,8692.000,8892.000,8638.000,8848.000,11986,75602,8742.000
2021-07-21,8810.000,8908.000,8716.000,8784.000,13131,74585,8806.000
2021-07-22,8806.000,8828.000,8676.000,8740.000,15623,74298,8744.000
2021-07-23,8730.000,8844.000,8666.000,8818.000,15788,71999,8742.000
2021-07-26,8854.000,8856.000,8674.000,8790.000,14136,72512,8756.000
2021-07-27,8802.000,9010.000,8796.000,8996.000,13910,70872,8924.000
2021-07-28,8970.000,9018.000,8824.000,8824.000,13662,71553,8956.000
2021-07-29,8844.000,8878.000,8800.000,8850.000,11235,71993,8838.000
2021-07-30,8838.000,8884.000,8750.000,8838.000,11785,70890,8820.000
2021-08-02,8818.000,8818.000,8510.000,8516.000,16081,75645,8626.000
2021-08-03,8508.000,8540.000,8412.000,8490.000,23485,83132,8486.000
2021-08-04,8460.000,8676.000,8416.000,8656.000,25645,81013,8502.000
2021-08-05,8618.000,8710.000,8618.000,8692.000,16114,82296,8670.000
2021-08-06,8670.000,8752.000,8644.000,8752.000,16835,82018,8694.000
2021-08-09,8742.000,8856.000,8716.000,8802.000,15210,82654,8776.000
2021-08-10,8748.000,8860.000,8686.000,8848.000,17837,82697,8788.000
2021-08-11,8790.000,9114.000,8790.000,9108.000,16911,84979,8946.000
2021-08-12,9168.000,9168.000,9042.000,9074.000,21175,84686,9074.000
2021-08-13,9074.000,9130.000,8994.000,9058.000,23958,84918,9058.000
2021-08-16,9108.000,9364.000,9090.000,9192.000,17844,84576,9248.000
2021-08-17,9242.000,9378.000,9182.000,9306.000,18622,84842,9292.000
2021-08-18,9292.000,9322.000,9128.000,9176.000,16527,83500,9206.000
2021-08-19,9200.000,9238.000,9084.000,9180.000,9976,83293,9170.000
2021-08-20,9170.000,9170.000,9014.000,9140.000,11929,83158,9088.000
2021-08-23,9088.000,9172.000,8910.000,9088.000,16708,83230,9050.000
2021-08-24,9118.000,9168.000,9008.000,9144.000,8757,83778,9078.000
2021-08-25,9144.000,9290.000,9144.000,9276.000,15550,88072,9224.000
2021-08-26,9248.000,9408.000,9244.000,9274.000,24446,90302,9328.000
2021-08-27,9316.000,9322.000,9154.000,9248.000,36731,89760,9254.000
2021-08-30,9298.000,9372.000,9178.000,9184.000,29402,91618,9266.000
2021-08-31,9238.000,9294.000,9128.000,9276.000,23049,89536,9204.000
2021-09-01,9204.000,9242.000,9108.000,9148.000,40037,78900,9166.000
2021-09-02,9130.000,9206.000,9076.000,9178.000,35257,80203,9134.000
2021-09-03,9208.000,9470.000,9174.000,9406.000,24512,78614,9282.000
2021-09-06,9356.000,9460.000,9356.000,9430.000,24803,76828,9406.000
2021-09-07,9414.000,9494.000,9384.000,9478.000,18487,75858,9424.000
2021-09-08,9462.000,9518.000,9362.000,9464.000,38024,74070,9450.000
2021-09-09,9488.000,9550.000,9330.000,9430.000,22369,73733,9428.000
