date,open,high,low,close,volume,open_interest,settle
2020-02-17,549.000,549.000,548.800,548.800,25,25,549.000
2020-03-03,544.800,544.800,544.800,544.800,25,0,544.800
2020-03-30,514.000,514.000,497.400,509.000,5,1,505.200
2020-04-01,486.200,487.200,486.200,486.800,3,2,486.800
2020-04-02,495.600,502.000,495.600,502.000,2,1,498.800
2020-04-03,504.200,504.200,503.800,503.800,2,1,504.000
2020-06-19,537.000,537.000,523.600,523.600,2,1,530.400
2020-06-22,543.200,543.200,526.400,526.400,2,1,534.800
2020-08-13,553.000,553.000,549.000,549.000,2,2,551.000
2020-08-25,539.400,539.400,539.400,539.400,1,1,539.400
2020-09-01,552.600,565.800,547.400,555.200,2465,993,556.800
2020-09-02,555.200,559.600,555.200,555.600,1074,1435,557.800
2020-09-03,554.800,556.200,554.200,555.000,835,1898,555.000
2020-09-04,553.600,557.400,551.800,556.400,1195,2481,554.400
2020-09-07,552.600,560.000,552.600,558.200,2591,3644,557.000
2020-09-08,559.400,563.200,558.000,562.600,1618,4064,560.400
2020-09-09,561.400,561.800,559.400,560.200,1864,4380,560.400
2020-09-10,562.200,566.600,562.000,566.200,4310,5018,564.600
2020-09-11,566.200,567.000,557.000,557.800,6815,5945,562.200
2020-09-14,557.000,563.400,556.400,562.400,7881,6672,560.800
2020-09-15,563.000,564.800,561.400,564.600,8753,7359,563.200
2020-09-16,566.400,568.800,563.200,563.400,10981,7909,566.000
2020-09-17,562.800,564.800,558.200,559.800,12915,8130,561.000
2020-09-18,559.200,563.600,557.600,561.600,8123,8381,561.000
2020-09-21,562.000,567.200,562.000,565.800,7317,8619,564.800
2020-09-22,564.800,566.000,562.000,563.600,8998,8531,564.600
2020-09-23,564.000,569.400,564.000,568.600,11576,8497,566.000
2020-09-24,570.600,570.600,564.600,567.800,7634,8606,566.400
2020-09-25,567.200,576.000,565.800,571.000,11852,8409,571.000
2020-09-28,573.000,580.600,566.800,575.400,7402,8049,576.200
2020-09-29,575.800,577.400,573.800,576.200,7885,6777,576.000
2020-09-30,576.600,576.600,560.600,564.400,7149,6838,565.400
2020-10-09,564.800,570.400,564.800,569.800,5445,7161,568.600
2020-10-12,570.400,584.400,570.400,583.200,5029,8230,578.400
2020-10-13,580.600,583.400,568.600,573.200,6489,7582,577.800
2020-10-14,575.400,575.400,570.400,572.600,4085,7912,571.800
2020-10-15,572.200,575.800,569.200,572.400,9759,8500,573.600
2020-10-16,571.600,572.200,563.600,567.200,11094,8867,567.200
2020-10-19,567.200,573.600,563.800,572.200,4977,8654,570.800
2020-10-20,572.800,575.200,566.400,567.200,7002,8989,570.000
2020-10-21,569.600,570.000,563.600,564.200,12681,9573,567.400
2020-10-22,565.200,566.600,561.400,564.400,16305,9675,563.800
2020-10-23,564.400,568.600,563.200,564.400,13893,9864,566.000
2020-10-26,565.800,570.200,565.200,567.800,22590,10242,568.000
2020-10-27,568.800,573.800,568.400,571.200,12323,10560,570.800
2020-10-28,572.200,572.200,567.000,570.600,19561,10793,569.600
2020-10-29,570.200,578.400,568.600,577.400,19316,11333,575.000
2020-10-30,577.600,585.400,575.800,583.000,20786,11700,579.200
2020-11-02,584.000,595.200,580.000,591.000,17070,12632,586.800
2020-11-03,591.400,591.400,580.600,582.200,26089,13155,584.000
2020-11-04,585.400,587.000,580.000,583.200,22324,12659,583.400
2020-11-05,585.200,586.400,577.400,583.000,18962,12612,581.600
2020-11-06,584.000,584.800,580.000,581.600,21938,12104,581.800
2020-11-09,578.200,581.400,573.200,574.600,30498,11219,577.000
2020-11-10,575.000,581.200,572.800,578.800,29231,11143,576.800
2020-11-11,577.000,589.600,576.200,585.000,27724,12012,580.800
2020-11-12,584.200,585.400,578.600,579.000,26567,11862,581.800
2020-11-13,580.800,593.800,577.200,589.800,35892,13303,584.600
2020-11-16,591.000,597.200,588.000,595.000,23547,14256,593.800
2020-11-17,595.600,601.800,593.200,599.000,22311,14934,597.800
2020-11-18,593.000,593.000,583.800,589.600,35721,13714,588.000
2020-11-19,590.600,594.800,586.000,587.400,24305,14504,590.000
2020-11-20,586.400,589.200,583.400,587.200,20204,14055,586.600
2020-11-23,588.400,594.000,586.400,591.000,18544,13630,591.000
2020-11-24,592.000,601.200,592.000,599.600,28238,14452,596.800
2020-11-25,603.000,609.000,602.400,606.600,16675,15732,605.800
2020-11-26,609.000,622.600,607.800,618.600,28927,20437,616.200
2020-11-27,619.400,634.600,616.800,630.400,30079,21503,626.000
2020-11-30,629.200,640.600,625.400,636.200,28258,24089,633.400
2020-12-01,638.000,651.800,636.400,648.200,31966,24635,646.400
2020-12-02,648.600,672.400,648.600,672.400,29911,24800,663.600
2020-12-03,665.000,669.600,648.600,656.400,38382,25970,657.800
2020-12-04,655.200,674.800,654.600,674.200,38705,27649,666.000
2020-12-07,679.800,692.600,676.600,681.000,64673,32751,686.800
2020-12-08,681.800,700.800,681.800,698.600,40243,34972,690.400
