date,open,high,low,close,volume,open_interest,settle
2019-01-16,18800.000,19015.000,18690.000,18920.000,68,54,18770.000
2019-01-17,18970.000,19005.000,18890.000,19000.000,60,92,18980.000
2019-01-18,19100.000,19510.000,19000.000,19470.000,28,96,19220.000
2019-01-21,19525.000,19675.000,19525.000,19645.000,26,106,19615.000
2019-01-22,19720.000,19735.000,19445.000,19495.000,30,108,19555.000
2019-01-23,19605.000,19760.000,19605.000,19760.000,24,102,19655.000
2019-01-24,19785.000,19890.000,19615.000,19615.000,26,108,19755.000
2019-01-25,19720.000,19860.000,19715.000,19815.000,18,110,19790.000
2019-01-28,19875.000,20050.000,19875.000,20035.000,20,112,19975.000
2019-01-29,20155.000,20205.000,19875.000,19875.000,46,122,20145.000
2019-01-30,20150.000,20150.000,20045.000,20045.000,26,124,20100.000
2019-01-31,20000.000,20275.000,20000.000,20275.000,18,126,20175.000
2019-02-01,20415.000,20565.000,20300.000,20460.000,36,122,20415.000
2019-02-11,20335.000,20565.000,19955.000,19955.000,38,122,20165.000
2019-02-12,19975.000,20010.000,19925.000,19935.000,24,122,19970.000
2019-02-13,19995.000,19995.000,19770.000,19820.000,34,146,19810.000
2019-02-14,19855.000,19925.000,19795.000,19880.000,276,342,19880.000
2019-02-15,19930.000,19930.000,19690.000,19765.000,74,402,19780.000
2019-02-18,20070.000,20190.000,19985.000,20020.000,130,374,20090.000
2019-02-19,20025.000,20080.000,19955.000,19960.000,78,346,20045.000
2019-02-20,20100.000,20195.000,20080.000,20195.000,54,352,20155.000
2019-02-21,20195.000,20340.000,20045.000,20045.000,302,234,20190.000
2019-02-22,20005.000,20375.000,20005.000,20375.000,134,240,20165.000
2019-02-25,20405.000,20635.000,20320.000,20505.000,40,226,20465.000
2019-02-26,20740.000,20740.000,20435.000,20435.000,4,228,20585.000
2019-02-27,20465.000,20600.000,20405.000,20500.000,24,240,20465.000
2019-02-28,20495.000,20495.000,20410.000,20410.000,24,244,20480.000
2019-03-01,20565.000,20835.000,20505.000,20835.000,52,230,20625.000
2019-03-04,20865.000,20920.000,20700.000,20725.000,60,222,20765.000
2019-03-05,20545.000,20545.000,20205.000,20375.000,42,224,20400.000
2019-03-06,20530.000,20550.000,20450.000,20450.000,18,218,20490.000
2019-03-07,20500.000,20655.000,20425.000,20495.000,74,220,20520.000
2019-03-08,20440.000,20440.000,20155.000,20155.000,104,248,20225.000
2019-03-11,20300.000,20370.000,20275.000,20335.000,110,226,20305.000
2019-03-12,20340.000,20400.000,20235.000,20400.000,16,226,20335.000
2019-03-13,20650.000,20745.000,20650.000,20700.000,76,226,20705.000
2019-03-14,20725.000,20730.000,20670.000,20730.000,10,226,20710.000
2019-03-15,20590.000,21015.000,20515.000,20520.000,210,298,20675.000
