signal_date,entry,exit,n_sel,n_fill,capital_ret,net_yuan
2010-01-04,2010-01-05,2010-02-02,133,133,-0.06348717157870654,-63487.17157870659
2010-02-01,2010-02-02,2010-03-09,126,122,0.07029114611940468,65828.56006525806
2010-03-08,2010-03-09,2010-04-07,134,133,0.046623782774337874,46732.947162525146
2010-04-06,2010-04-07,2010-05-06,151,147,-0.0972383552666013,-102010.26295091864
2010-05-05,2010-05-06,2010-06-03,98,94,-0.09481986691821442,-89800.48933626153
2010-06-02,2010-06-03,2010-07-06,42,38,-0.09723920513293227,-83359.62943552004
2010-07-05,2010-07-06,2010-08-03,25,22,0.17941253733182672,138848.07202506438
2010-08-02,2010-08-03,2010-08-31,90,87,0.05870384545602403,53582.05387112626
2010-08-30,2010-08-31,2010-10-08,151,147,0.016741310919443197,16177.69928236364
2010-09-30,2010-10-08,2010-11-05,162,159,0.12533359762149998,123141.73598072154
2010-11-04,2010-11-05,2010-12-03,165,164,-0.012670556456884752,-14009.245284645818
2010-12-02,2010-12-03,2010-12-31,167,161,-0.05325455483344477,-58135.02962473349
2010-12-30,2010-12-31,2011-01-31,164,157,-0.028242560789091486,-29188.9475417661
2011-01-28,2011-01-31,2011-03-07,162,157,0.13047244773501454,131036.12688997027
2011-03-04,2011-03-07,2011-04-06,178,173,-0.02008256528477892,-22800.86941659311
2011-04-01,2011-04-06,2011-05-05,195,180,-0.10615387159301448,-118102.07900624792
2011-05-04,2011-05-05,2011-06-02,118,114,-0.11163714239992362,-111017.94376347167
2011-06-01,2011-06-02,2011-07-01,33,33,0.018169254417904845,16051.364858023124
2011-06-30,2011-07-01,2011-07-29,22,22,0.041235474676781125,37090.76896525244
2011-07-28,2011-07-29,2011-08-26,110,108,-0.007723453219974141,-7233.613752853125
2011-08-25,2011-08-26,2011-09-26,192,189,-0.06614380676537224,-61470.35309034248
2011-09-23,2011-09-26,2011-10-31,201,191,-0.02159815368483664,-18744.469428912387
2011-10-28,2011-10-31,2011-11-28,199,189,-0.012460367243958492,-10580.461979698855
2011-11-25,2011-11-28,2011-12-26,201,196,-0.16590765879540903,-139121.66204012372
2011-12-23,2011-12-26,2012-02-01,216,203,0.028571327839098437,19983.560998492874
2012-01-31,2012-02-01,2012-02-29,201,197,0.16859893958840821,121291.87471954
2012-02-28,2012-02-29,2012-03-28,215,208,-0.014375854280318179,-12085.817159076338
2012-03-27,2012-03-28,2012-05-02,222,212,-0.04151133159220233,-34396.983403037884
2012-04-27,2012-05-02,2012-05-30,146,137,-0.01774156081365863,-14090.697746103047
2012-05-29,2012-05-30,2012-06-28,56,55,-0.07332238629610066,-57200.922705522156
2012-06-27,2012-06-28,2012-07-26,47,47,-0.10382739080128323,-75059.73997691646
2012-07-25,2012-07-26,2012-08-23,152,148,0.026848140856840397,17394.06140471762
2012-08-22,2012-08-23,2012-09-20,288,286,0.009072478740031809,6035.579316238756
2012-09-19,2012-09-20,2012-10-25,375,371,0.013804116449724235,9266.675989720388
2012-10-24,2012-10-25,2012-11-22,409,401,-0.08013532305335425,-54537.271476773196
2012-11-21,2012-11-22,2012-12-20,413,406,0.012636352270506634,7910.703020614572
2012-12-19,2012-12-20,2013-01-22,417,413,0.17990632672816442,114049.47923505038
2013-01-21,2013-01-22,2013-02-26,418,414,0.008959581066318778,6701.655566454516
2013-02-25,2013-02-26,2013-03-26,418,414,-0.009497733149100296,-7167.837189177633
2013-03-25,2013-03-26,2013-04-25,418,410,-0.04402941365626856,-32912.92988254852
2013-04-24,2013-04-25,2013-05-28,415,407,0.07137554595717277,51005.57123223867
2013-05-27,2013-05-28,2013-06-28,406,397,-0.1948649328384343,-149191.3329302983
2013-06-27,2013-06-28,2013-07-26,403,393,0.07100902268695375,43771.575611024746
2013-07-25,2013-07-26,2013-08-23,404,397,0.07272261511169242,48011.05637738202
2013-08-22,2013-08-23,2013-09-24,405,388,0.06840058746176103,48441.66279558174
2013-09-23,2013-09-24,2013-10-29,401,390,-0.02388285403523127,-18070.890446316684
2013-10-28,2013-10-29,2013-11-26,399,384,0.020902339066489972,15437.968783900491
2013-11-25,2013-11-26,2013-12-24,394,387,-0.027349269811706045,-20621.73514490691
2013-12-23,2013-12-24,2014-01-22,396,386,-0.00784386086347455,-5752.6276918263175
2014-01-21,2014-01-22,2014-02-26,394,384,0.03780183119316827,27506.114627270144
2014-02-25,2014-02-26,2014-03-26,394,384,0.05034887466081339,38020.743993717944
2014-03-25,2014-03-26,2014-04-24,390,374,-0.015409638724602326,-12222.410735759302
2014-04-23,2014-04-24,2014-05-26,378,369,-0.04428811733372806,-34586.54783159273
2014-05-23,2014-05-26,2014-06-24,372,354,0.009023130089369724,6734.482080914429
2014-06-23,2014-06-24,2014-07-22,373,356,0.04788586421114438,36062.467107060715
2014-07-21,2014-07-22,2014-08-19,370,350,0.12721585597661011,100392.97658960917
2014-08-18,2014-08-19,2014-09-17,368,348,0.04455651517663339,39635.13962477993
2014-09-16,2014-09-17,2014-10-22,361,350,0.038099828755396414,35401.70196674892
2014-10-21,2014-10-22,2014-11-19,359,347,0.011252609507306,10854.091675454285
2014-11-18,2014-11-19,2014-12-17,358,338,0.07097766244885695,69234.3445405335
2014-12-16,2014-12-17,2015-01-16,355,332,-0.06086908591763773,-63588.28108549293
2015-01-15,2015-01-16,2015-02-13,352,334,0.09370581063638439,91933.32425263338
2015-02-12,2015-02-13,2015-03-20,350,323,0.20501316383396917,219982.79185894737
2015-03-19,2015-03-20,2015-04-20,357,335,0.14602564479264157,188811.25784388115
2015-04-17,2015-04-20,2015-05-19,344,327,0.05263390946157198,77993.55531411641
2015-05-18,2015-05-19,2015-06-16,328,305,0.23881433304198274,372503.908245001
2015-06-15,2015-06-16,2015-07-15,293,210,-0.20356768738511277,-393355.7559185133
2015-07-14,2015-07-15,2015-08-12,182,168,0.08908708235229956,137100.89004766452
2015-08-11,2015-08-12,2015-09-11,186,182,-0.23882899050353235,-400290.412471246
2015-09-10,2015-09-11,2015-10-16,194,183,0.1782326503681495,227382.82068970753
2015-10-15,2015-10-16,2015-11-13,313,297,0.15668686491839612,235523.381945065
2015-11-12,2015-11-13,2015-12-11,354,345,-0.03333872510571789,-57965.051998923765
2015-12-10,2015-12-11,2016-01-11,371,355,-0.0674588241503069,-113378.40142806387
2016-01-08,2016-01-11,2016-02-15,377,363,-0.1444385358302701,-226382.3984293358
2016-02-05,2016-02-15,2016-03-14,397,379,0.022336017379146922,29951.35904607596
2016-03-11,2016-03-14,2016-04-12,406,380,0.209688055511414,287460.4812616955
2016-04-11,2016-04-12,2016-05-11,398,383,-0.08938504586680007,-148232.25509920693
2016-05-10,2016-05-11,2016-06-08,391,380,0.028852210177009452,43570.41671133251
2016-06-07,2016-06-08,2016-07-08,398,387,0.04373106451812814,67944.71330984356
2016-07-07,2016-07-08,2016-08-05,410,400,-0.036173018117623856,-58659.58372422354
