signal_date,entry,exit,n_sel,n_fill,capital_ret,net_yuan
2010-01-05,2010-01-06,2010-02-03,209,204,-0.08716880981912034,-87168.80981912033
2010-02-03,2010-02-04,2010-03-11,240,238,0.07659417483328257,69917.55177398771
2010-03-16,2010-03-17,2010-04-15,246,236,0.09014527375375159,88590.15437467641
2010-04-14,2010-04-15,2010-05-14,223,212,-0.18860741442448048,-202062.45920909184
2010-05-13,2010-05-14,2010-06-11,168,158,0.02171592339730366,18877.14051958872
2010-06-11,2010-06-17,2010-07-15,206,200,-0.08277126714220429,-73513.59703814832
2010-07-20,2010-07-21,2010-08-18,257,249,0.13808155715256576,112486.75704024523
2010-08-18,2010-08-19,2010-09-16,269,260,0.006722377487632825,6232.495909307967
2010-09-15,2010-09-16,2010-10-26,253,246,0.09991917737989109,93260.486816386
2010-10-27,2010-10-28,2010-11-25,274,268,0.08821579782058708,90564.07769059634
2010-11-29,2010-11-30,2010-12-28,269,264,-0.03587777876988352,-40082.0731520385
2011-01-06,2011-01-07,2011-02-11,267,261,-0.042711817454687884,-46004.97225433111
2011-02-16,2011-02-17,2011-03-17,293,287,0.02577185375218294,26573.27471369959
2011-03-16,2011-03-17,2011-04-18,308,296,-0.029805038473947998,-31523.895858378033
2011-04-15,2011-04-18,2011-05-17,250,224,-0.09554781789703803,-98046.0237090172
2011-05-16,2011-05-17,2011-06-15,182,174,-0.06038108559670341,-56039.69205128262
2011-06-16,2011-06-17,2011-07-15,271,258,0.12847003122307,112033.62883943075
2011-07-15,2011-07-18,2011-08-15,302,298,-0.08558319192983921,-84221.90949485905
2011-08-16,2011-08-17,2011-09-15,327,318,-0.04388228454395715,-39488.4450852701
2011-09-16,2011-09-19,2011-10-24,303,301,-0.12209543537644774,-105048.92122212378
2011-10-21,2011-10-24,2011-11-21,329,319,0.09736130716416058,73540.38043537433
2011-11-25,2011-11-28,2011-12-26,333,318,-0.15045303904187868,-124706.78518638434
2011-12-23,2011-12-26,2012-02-01,332,311,0.0014197212607718335,999.7227975808783
2012-01-31,2012-02-01,2012-02-29,321,316,0.17386027387356684,122600.716703307
2012-02-28,2012-02-29,2012-03-28,365,350,-0.02323482419921552,-19233.062627710635
2012-03-27,2012-03-28,2012-05-02,338,322,0.009967275099268091,8058.898157204851
2012-04-27,2012-05-02,2012-05-30,224,214,-0.022761361080333886,-18586.805435992195
2012-05-31,2012-06-01,2012-07-02,245,240,-0.04873086116089065,-38887.60894581152
2012-07-05,2012-07-06,2012-08-03,326,324,-0.08040182419851138,-61034.65085040266
2012-08-03,2012-08-06,2012-09-03,433,424,0.009315216780806601,6502.818451793515
2012-09-04,2012-09-05,2012-10-10,439,431,0.041320841049188095,29114.18496263784
2012-10-11,2012-10-12,2012-11-09,442,441,-0.057449311041847584,-42150.707572402316
2012-11-13,2012-11-14,2012-12-12,449,439,-0.044502934272915406,-30776.087402389385
2012-12-17,2012-12-18,2013-01-18,449,438,0.152508786550567,100774.11273616145
2013-01-17,2013-01-18,2013-02-22,446,443,0.017499890788372774,13327.039992523263
2013-02-22,2013-02-25,2013-03-25,450,443,-0.016199921284090868,-12552.945351853501
2013-03-22,2013-03-25,2013-04-24,451,444,-0.05793856335596048,-44167.95677198307
2013-04-23,2013-04-24,2013-05-27,443,434,0.0970702347562502,69711.57470288209
2013-05-24,2013-05-27,2013-06-27,444,428,-0.1510360595976159,-118996.4189333017
2013-06-26,2013-06-27,2013-07-25,443,431,0.06779350211222379,45345.1203402438
2013-07-26,2013-07-29,2013-08-26,445,433,0.05631060600219695,40217.953175639035
2013-08-28,2013-08-29,2013-09-30,440,432,0.023920958631347577,18046.790775233414
2013-09-30,2013-10-08,2013-11-05,439,421,-0.02929744427080927,-22631.720598666347
2013-12-02,2013-12-03,2013-12-31,437,418,0.019984854202874436,14985.629580896464
2014-01-06,2014-01-07,2014-02-11,438,433,0.05696173563492879,43566.32690517162
2014-02-11,2014-02-12,2014-03-12,440,432,-0.05756632501133263,-46536.691332023125
2014-03-12,2014-03-13,2014-04-11,433,412,0.02329444526060165,17747.213162267464
2014-04-10,2014-04-11,2014-05-13,422,409,-0.065724861238453,-51239.87807510991
2014-05-13,2014-05-14,2014-06-12,429,413,0.004967366253537442,3618.090157917468
2014-06-12,2014-06-13,2014-07-11,430,408,0.02924891863432988,21409.916616177652
2014-07-11,2014-07-14,2014-08-11,419,406,0.07092060764807995,53431.5815009583
2014-08-19,2014-08-20,2014-09-18,424,410,0.04304803485384334,34732.511430910905
2014-09-17,2014-09-18,2014-10-23,417,396,0.026281836108691614,22117.84797148686
2014-10-23,2014-10-24,2014-11-21,418,391,0.05291018287027138,45697.56622611638
2014-11-25,2014-11-26,2014-12-24,420,393,-0.08137755396283586,-74003.07497884065
2014-12-23,2014-12-24,2015-01-23,409,365,0.12143375893123087,101442.89291404735
2015-01-30,2015-02-02,2015-03-09,423,408,0.06530984148138685,61183.517655843636
2015-03-06,2015-03-09,2015-04-07,428,408,0.23939304568337683,238914.92560112127
2015-04-07,2015-04-08,2015-05-07,408,387,0.006915248087942194,8553.592812940478
2015-05-06,2015-05-07,2015-06-04,395,354,0.3658761325748501,455688.22265545395
2015-06-03,2015-06-04,2015-07-03,387,331,-0.26490867718121713,-450651.9189501158
2015-07-06,2015-07-07,2015-08-04,367,228,0.10543429104931601,131846.3826998847
2015-08-06,2015-08-07,2015-09-08,241,237,-0.2149796133370404,-297177.9255971834
2015-09-07,2015-09-08,2015-10-13,404,386,0.2661218416060649,288789.0518988711
2015-10-13,2015-10-14,2015-11-11,427,413,0.1492823933625358,205108.80049433722
2015-11-12,2015-11-13,2015-12-11,430,418,-0.03609292048975099,-56993.389214219525
2015-12-18,2015-12-21,2016-01-19,453,438,-0.24419922001219696,-371690.8768725146
2016-01-20,2016-01-21,2016-02-25,462,433,0.05523440837276006,63541.09158346313
2016-02-24,2016-02-25,2016-03-24,467,449,0.004809425115599009,5838.308985637734
2016-03-24,2016-03-25,2016-04-25,464,453,0.0072523702138538315,8846.216712739319
2016-04-22,2016-04-25,2016-05-24,454,441,-0.06378116615682772,-78362.51435239264
2016-05-23,2016-05-24,2016-06-23,461,445,0.03925056144509842,45148.066262141336
2016-06-24,2016-06-27,2016-07-25,473,459,0.07835308461627588,93663.3413486199
2016-07-27,2016-07-28,2016-08-25,480,470,0.024030903427903816,30977.376296695787
2016-08-30,2016-08-31,2016-09-30,497,482,-0.036080462978865024,-47627.7097138993
2016-10-11,2016-10-12,2016-11-09,489,477,0.034802126582217374,44282.70699305483
2016-11-11,2016-11-14,2016-12-12,506,487,-0.02416277908667752,-31815.04742010613
2016-12-12,2016-12-13,2017-01-11,503,488,0.02720112730691393,34950.22482869448
2017-01-13,2017-01-16,2017-02-20,512,484,0.00023100498705663775,304.88770688395016
2017-02-23,2017-02-24,2017-03-24,523,509,0.01114039349702467,14706.841158552328
2017-03-23,2017-03-24,2017-04-25,529,501,-0.0985859837915316,-131596.85354215326
2017-04-24,2017-04-25,2017-05-24,528,511,-0.09987014243471715,-120168.40777313523
2017-05-23,2017-05-24,2017-06-23,541,519,0.04896286739346478,53030.61314139818
2017-07-17,2017-07-18,2017-08-15,556,535,0.06016624118414793,68355.39545965218
2017-09-04,2017-09-05,2017-10-10,577,570,0.004555730980692507,5487.214804006275
2017-10-10,2017-10-11,2017-11-08,581,573,-0.055333164897508724,-66950.4403387194
2017-11-09,2017-11-10,2017-12-08,600,575,-0.10895478551178839,-124535.42440861813
2017-12-26,2017-12-27,2018-01-25,598,586,0.03662763918547607,37303.98815108766
2018-01-24,2018-01-25,2018-03-01,607,575,-0.08020102228791337,-84673.79508399556
2018-02-28,2018-03-01,2018-03-29,593,580,0.07533765585190633,73160.07578560198
2018-03-28,2018-03-29,2018-05-02,608,590,-0.0256230614433679,-26757.030633291113
2018-04-27,2018-05-02,2018-05-30,612,591,-0.020046861716768394,-20397.65721042361
2018-05-29,2018-05-30,2018-06-28,622,601,-0.1445784208697427,-144159.30484844884
2018-07-04,2018-07-05,2018-08-02,629,620,-0.007383180151003033,-6297.423052593251
2018-08-06,2018-08-07,2018-09-04,652,647,-0.019376359030261914,-16404.885641423985
2018-09-07,2018-09-10,2018-10-16,661,651,-0.11368261138030489,-94383.79474954528
2018-10-15,2018-10-16,2018-11-13,663,649,0.12425559605382586,91434.18961358897
2018-11-16,2018-11-19,2018-12-17,667,661,-0.0551851254809711,-45654.096811805386
2018-12-25,2018-12-26,2019-01-25,683,670,0.03381250199291452,26429.062074095826
2019-01-25,2019-01-28,2019-03-04,687,667,0.15070684238561838,121780.90393460123
2019-03-05,2019-03-06,2019-04-03,688,684,0.07130250926361281,66300.33640543045
2019-04-09,2019-04-10,2019-05-13,682,666,-0.1337074692954935,-133192.17451649578
2019-05-13,2019-05-14,2019-06-12,677,665,-0.03505315052077196,-30249.253957008594
2019-06-12,2019-06-13,2019-07-11,682,673,0.004117538601521309,3428.6936421325663
2019-07-22,2019-07-23,2019-08-20,685,674,0.022471914040099294,18789.51718156063
2019-08-20,2019-08-21,2019-09-19,689,686,0.0623551243522924,53308.82284432603
2019-09-20,2019-09-23,2019-10-28,691,679,-0.03808131056704478,-34586.653756788466
2019-10-28,2019-10-29,2019-11-26,695,687,-0.06968132413631178,-60876.74423701689
2019-11-25,2019-11-26,2019-12-24,698,692,0.05275588530439124,42878.31176611688
2019-12-24,2019-12-25,2020-01-23,701,685,0.03245394327830131,27769.106944270432
2020-01-22,2020-01-23,2020-02-28,704,666,-0.040055836757997065,-35385.95623743406
2020-02-27,2020-02-28,2020-03-27,716,712,-0.028672007351379758,-24314.715883964556
2020-03-30,2020-03-31,2020-04-29,716,706,-0.002732660895131911,-2250.933925152174
2020-04-28,2020-04-29,2020-06-01,715,686,0.0405477933584355,33308.55751613609
2020-06-01,2020-06-02,2020-07-02,709,694,0.026044932224249306,22262.496534627862
2020-07-03,2020-07-06,2020-08-03,709,701,0.07904326186856081,69323.72117801872
2020-08-10,2020-08-11,2020-09-08,717,710,-0.012269454114894218,-11611.307079662918
2020-09-07,2020-09-08,2020-10-14,720,718,0.002490087739809743,2327.603516866453
2020-10-22,2020-10-23,2020-11-20,729,728,0.0022621029060079234,2119.7605213010684
2020-11-19,2020-11-20,2020-12-18,741,739,-0.04337499833168246,-40737.579620110686
2020-12-18,2020-12-21,2021-01-19,754,748,-0.07219375983764631,-64863.01600560837
2021-01-18,2021-01-19,2021-02-23,762,756,0.008767221141605663,7308.306093831081
2021-02-22,2021-02-23,2021-03-23,767,763,-0.009911046056893635,-8334.225049986271
2021-03-23,2021-03-24,2021-04-22,775,775,0.055146634352326585,45913.347374648205
2021-04-26,2021-04-27,2021-05-28,784,772,0.011796307578906706,10362.841375041055
2021-05-27,2021-05-28,2021-06-28,785,781,0.009698286612529694,8620.269970776397
2021-07-01,2021-07-02,2021-07-30,800,796,-0.04111000059118619,-36894.7825472937
2021-07-30,2021-08-02,2021-08-30,815,814,0.028927216369903475,24893.89797335374
2021-08-30,2021-08-31,2021-09-30,825,820,-0.034426117173645854,-30483.087929450907
2021-10-13,2021-10-14,2021-11-11,834,831,0.04983045363753713,42604.08744159795
2021-11-12,2021-11-15,2021-12-13,845,841,0.064955418011029,58303.0098105513
2021-12-17,2021-12-20,2022-01-18,855,853,0.011690033979249614,11174.363483336638
2022-01-17,2022-01-18,2022-02-22,862,859,-0.061111759429083534,-59098.88398944179
2022-02-24,2022-02-25,2022-03-25,870,866,-0.04635318580067771,-42087.00098727795
2022-03-25,2022-03-28,2022-04-27,880,873,-0.2330800052779053,-201818.4998224842
2022-04-26,2022-04-27,2022-05-30,883,873,0.20934610942907983,139017.9593404854
2022-06-01,2022-06-02,2022-07-01,879,876,0.052393482591931884,42075.94644717686
2022-07-15,2022-07-18,2022-08-15,896,894,0.07543123460752632,63750.8519025424
2022-08-18,2022-08-19,2022-09-19,905,905,-0.062331836056990775,-56653.57786429697
2022-09-26,2022-09-27,2022-11-01,912,911,0.017312221164203834,14754.326338207815
2022-10-31,2022-11-01,2022-11-29,916,896,0.09306822271372495,80690.475674327
2022-12-01,2022-12-02,2022-12-30,926,925,-0.05753222246985146,-54522.94116279704
2023-01-03,2023-01-04,2023-02-08,934,933,0.09500213304880667,84853.15431626444
2023-02-09,2023-02-10,2023-03-10,941,941,-0.012025760179826817,-11761.484453807934
2023-03-10,2023-03-13,2023-04-11,948,946,-0.013063667733329454,-12622.935031343717
2023-04-10,2023-04-11,2023-05-12,952,936,-0.0321827891916423,-30690.787952941027
2023-05-12,2023-05-15,2023-06-12,942,940,0.017155083862056664,15833.26733148226
2023-06-09,2023-06-12,2023-07-12,949,947,0.02311752095679842,21702.318518015323
2023-07-14,2023-07-17,2023-08-14,957,957,-0.04404261642505114,-42302.25377591036
2023-08-21,2023-08-22,2023-09-19,966,965,0.010807202492004508,9922.982284036
2023-09-18,2023-09-19,2023-10-25,972,964,-0.053737351985223,-49873.921443523956
2023-10-24,2023-10-25,2023-11-22,979,977,0.08874145638623543,77935.53200337279
2023-12-01,2023-12-04,2024-01-02,984,982,-0.02362165355802981,-22586.243618339184
2024-01-02,2024-01-03,2024-01-31,987,976,-0.17272394762875254,-161251.73905352585
2024-01-31,2024-02-01,2024-03-08,990,977,0.08710103000382796,67270.64553909726
