signal_date,entry,exit,n_sel,n_fill,capital_ret,net_yuan
2010-01-28,2010-01-29,2010-03-05,296,284,0.06530758883198962,65307.58883198956
2010-03-30,2010-03-31,2010-04-29,305,295,-0.035991103877245134,-38341.59609086963
2010-04-29,2010-04-30,2010-05-31,307,295,-0.09657525990366755,-99179.50766120164
2010-05-28,2010-05-31,2010-07-01,309,297,-0.12476692016617819,-115757.06231522525
2010-06-30,2010-07-01,2010-07-29,318,305,0.13862486687059516,112567.47062576178
2010-07-29,2010-07-30,2010-08-27,324,316,0.03485592249199576,32227.677652357845
2010-08-30,2010-08-31,2010-10-08,330,322,0.01636453745985955,15657.991535344161
2010-09-30,2010-10-08,2010-11-05,339,333,0.10095992251003172,98181.76416024775
2010-11-29,2010-11-30,2010-12-28,347,336,-0.07031761463780095,-75286.56153403176
2010-12-30,2010-12-31,2011-01-31,351,337,-0.03424562003860754,-34087.32874206721
2011-01-28,2011-01-31,2011-03-07,359,348,0.1281875879479062,123225.50236749288
2011-03-30,2011-03-31,2011-05-03,367,351,-0.03641758516051674,-39495.451560271904
2011-04-29,2011-05-03,2011-05-31,372,356,-0.09632325568131939,-100659.77558747958
2011-05-30,2011-05-31,2011-06-29,378,356,0.027281358031717495,25763.442686485476
2011-06-29,2011-06-30,2011-07-28,381,357,0.013895675210769287,13480.530163227231
2011-07-28,2011-07-29,2011-08-26,395,383,-0.03902935539576091,-38389.45680152532
2011-08-30,2011-08-31,2011-09-29,401,384,-0.10127747273651644,-95729.009456589
2011-09-29,2011-09-30,2011-11-04,403,388,0.05228052777989478,44411.58783309313
2011-11-29,2011-11-30,2011-12-28,413,397,-0.19770192852837465,-176725.32017458533
2011-12-29,2011-12-30,2012-02-07,411,389,0.05832509200817215,41829.15122772241
2012-02-28,2012-02-29,2012-03-28,420,412,-0.03258214320914221,-24729.900037916494
2012-03-29,2012-03-30,2012-05-04,422,402,0.11428990859926325,83919.84972269088
2012-05-30,2012-05-31,2012-06-29,430,400,-0.09106912019864777,-74511.98796787777
2012-06-28,2012-06-29,2012-07-27,430,401,-0.04271210875092524,-31764.12390306918
2012-07-30,2012-07-31,2012-08-28,447,439,-0.007640873837757689,-5439.656327421428
2012-08-30,2012-08-31,2012-09-28,454,449,-2.7103201194922377e-05,-19.147756252088584
2012-09-27,2012-09-28,2012-11-02,460,457,0.042806590264061306,30241.0012501023
