signal_date,entry,exit,n_sel,n_fill,capital_ret,net_yuan
2010-03-25,2010-03-26,2010-04-26,305,293,0.022665942790903948,22665.94279090385
2010-06-24,2010-06-25,2010-07-23,321,300,-0.00929486904314969,-9505.54601313069
2010-09-21,2010-09-27,2010-11-01,336,325,0.07571255059759663,76708.95780451817
2010-12-27,2010-12-28,2011-01-26,350,336,-0.07367941689931379,-80300.93854205473
2011-03-25,2011-03-28,2011-04-27,364,350,-0.02937520486198142,-29656.279043368064
2011-06-24,2011-06-27,2011-07-25,383,366,0.03996929515766823,39166.397432209225
2011-09-26,2011-09-27,2011-11-01,403,397,-0.03550464810610543,-36182.02475739003
2011-12-26,2011-12-27,2012-02-02,411,398,-0.0026385871119974924,-2593.4580628470285
2012-03-26,2012-03-27,2012-04-27,422,399,0.03759464188498218,36854.14216398948
2012-06-25,2012-06-26,2012-07-24,432,410,-0.05627974992455598,-57245.352499498054
2012-09-24,2012-09-25,2012-10-30,459,451,0.00867346738295538,8325.764045796823
2012-12-25,2012-12-26,2013-01-28,464,453,0.04807793970590124,46550.86920951924
2013-03-25,2013-03-26,2013-04-25,464,455,-0.04117046768821375,-41779.31610095338
2013-06-24,2013-06-25,2013-07-23,463,450,0.048952690820151856,47631.416497686994
2013-09-24,2013-09-25,2013-10-30,462,450,-0.05465542627547393,-55783.54569659149
2013-12-25,2013-12-26,2014-01-24,461,447,-0.019603040494691082,-18914.131415559328
2014-03-25,2014-03-26,2014-04-24,457,430,-0.028359624334884703,-26826.58522423543
2014-06-24,2014-06-25,2014-07-23,455,444,0.06103224009004271,56095.72746060626
2014-09-24,2014-09-25,2014-10-30,451,428,0.020749740828494234,20235.3970838564
2014-12-25,2014-12-26,2015-01-27,455,426,0.05987705849559233,59604.46442252747
2015-03-25,2015-03-26,2015-04-24,452,418,0.17090184491125338,180310.31645304407
2015-06-24,2015-06-25,2015-07-23,449,407,-0.2515204895023263,-310718.90978631075
2015-09-24,2015-09-25,2015-10-30,459,431,0.16934973739528014,156588.10143182054
2015-12-25,2015-12-28,2016-01-26,494,479,-0.2548732919216411,-275577.00870772894
2016-03-25,2016-03-28,2016-04-26,497,463,-0.013987099827478033,-11268.768532490009
2016-06-24,2016-06-27,2016-07-25,503,486,0.0810722862185107,64402.65935896651
2016-09-26,2016-09-27,2016-11-01,518,497,0.043295373517627134,37181.559864889365
2016-12-26,2016-12-27,2017-01-25,538,524,-0.023796456284055134,-21320.90740633919
2017-03-27,2017-03-28,2017-04-27,561,542,-0.09359652384525019,-81864.10076501803
2017-06-26,2017-06-27,2017-07-25,581,561,0.001428075258707029,1132.156420432846
2017-09-25,2017-09-26,2017-10-31,610,595,-0.021441326098572633,-17022.63328978303
2017-12-25,2017-12-26,2018-01-24,628,606,0.02938049995340375,22825.544901616522
2018-03-26,2018-03-27,2018-04-26,634,614,-0.013841948849896646,-11069.682109214249
2018-06-25,2018-06-26,2018-07-24,643,631,0.024597242548263898,19398.620978046558
2018-09-21,2018-09-25,2018-10-30,674,667,-0.12325101762628188,-99592.84309959307
2018-12-24,2018-12-25,2019-01-24,692,687,0.028569118755442213,20239.963804655243
2019-03-25,2019-03-26,2019-04-24,693,678,0.02161208634393441,15748.640245306306
2019-06-24,2019-06-25,2019-07-23,691,683,-0.07113459999381222,-52955.7696436753
2019-09-24,2019-09-25,2019-10-30,703,696,-0.030147588326338348,-20846.720931062708
2019-12-25,2019-12-26,2020-02-03,711,84,0.00017210559611791076,115.42126197228208
2020-03-25,2020-03-26,2020-04-24,724,719,0.009514141810380794,6381.682375022909
2020-06-22,2020-06-23,2020-07-23,722,715,0.13123635608148287,88865.28436754411
2020-09-24,2020-09-25,2020-11-02,737,733,-0.04426881921125403,-33910.11511277454
2020-12-25,2020-12-28,2021-01-26,768,756,-0.04125172016472689,-30200.153060409357
2021-03-25,2021-03-26,2021-04-26,789,775,0.02434221702048678,17085.661929504015
2021-06-24,2021-06-25,2021-07-23,814,808,0.018588900206286008,13365.045657979674
2021-09-24,2021-09-27,2021-11-01,843,834,-0.08023390015226184,-58758.89144787437
2021-12-27,2021-12-28,2022-01-26,869,858,-0.06133402330662474,-41313.74290154537
2022-03-25,2022-03-28,2022-04-27,888,852,-0.16710916652134522,-105658.49937580747
2022-06-24,2022-06-27,2022-07-25,905,893,-0.003301328952755256,-1738.5254325222922
2022-09-26,2022-09-27,2022-11-01,920,914,-0.025235897801708762,-13245.699151963403
2022-12-26,2022-12-27,2023-02-01,943,939,0.05131026748494305,26251.85110855248
2023-03-27,2023-03-28,2023-04-26,955,946,-0.05339527008979095,-28720.324816410663
2023-06-26,2023-06-27,2023-07-25,964,955,0.043293177211062295,22043.202430239762
2023-09-22,2023-09-25,2023-10-31,981,975,-0.020913507249224028,-11109.345367338567
2023-12-25,2023-12-26,2024-01-24,991,979,-0.08449988098489514,-43947.96333689435
