signal_date,exit,capital_ret,equity
2012-01-04,2012-02-09,0.04699936715192199,1046999.367151922
2012-02-08,2012-03-08,0.07197407606208328,1122356.1792402675
2012-03-07,2012-04-10,-0.05768920186965154,1057608.3470464249
2012-04-09,2012-05-10,0.030569017800812892,1089938.3954335754
2012-05-09,2012-06-07,-0.05076338206011222,1034609.4362441951
2012-06-06,2012-07-06,-0.017575070651177804,1016426.1023058281
2012-07-05,2012-08-03,-0.06394179335734984,951433.9945091724
2012-08-02,2012-08-31,-0.0074423242379711985,944353.114231007
2012-08-30,2012-09-28,-0.010430762703221963,934502.7909884148
2012-09-27,2012-11-02,0.04342560841185117,975084.1432496597
2012-11-01,2012-11-30,-0.12304654174217333,855103.4115151591
2012-11-29,2012-12-28,0.15256893729330434,985565.630285906
2012-12-27,2013-01-30,0.09549838222983276,1079685.5535595354
2013-01-29,2013-03-06,0.0179440301805609,1099059.4637181233
2013-03-05,2013-04-03,-0.0369251585884689,1058476.518722174
2013-04-02,2013-05-08,0.0067951587338543895,1065669.0346829488
2013-05-07,2013-06-05,0.02649911623660861,1093908.3223027668
2013-06-04,2013-07-08,-0.1289177779335372,952884.0921284906
2013-07-05,2013-08-05,0.06997438137138112,1019561.5669938119
2013-08-02,2013-09-02,0.03182672324584335,1052010.8708186222
2013-08-30,2013-10-09,0.06627630146335917,1121734.2604357281
2013-10-08,2013-11-06,-0.021957755912426102,1097103.4933464746
2013-11-05,2013-12-04,0.03375707536466521,1134138.498654209
2013-12-03,2014-01-02,0.005546001781398413,1140428.4327880978
2013-12-31,2014-01-30,0.02639889573888654,1170534.4840829326
2014-01-29,2014-03-06,0.03432546202734388,1210713.6210680178
2014-03-05,2014-04-03,-0.025219718125954693,1180179.7648134285
2014-04-02,2014-05-06,-0.03769972436129598,1135687.3129831832
2014-05-05,2014-06-04,-0.009635884456264954,1124743.9612568312
2014-06-03,2014-07-02,0.03258020530966399,1161388.3504353834
2014-07-01,2014-07-30,0.033861398918344277,1200714.5846685937
2014-07-29,2014-08-27,0.06064806039544535,1273535.5953172666
2014-08-26,2014-09-25,0.10877783613358494,1412068.0416149758
2014-09-24,2014-10-30,0.032766449295803746,1458336.4975027777
2014-10-29,2014-11-27,0.054332212590247675,1537571.146113216
2014-11-26,2014-12-25,-0.010219369161404201,1521858.1389591617
2014-12-24,2015-01-26,0.04682257060305983,1593115.4491184184
2015-01-23,2015-03-02,0.06668763841175873,1699356.5561374142
2015-02-27,2015-03-30,0.18222865701916224,2009028.019159044
2015-03-27,2015-04-28,0.17141062642974925,2353396.770438014
2015-04-27,2015-05-27,0.1791342835230314,2774970.814755844
2015-05-26,2015-06-25,0.0018636685347876991,2780142.4405482584
2015-06-24,2015-07-23,-0.21221436504883462,2190156.277781992
2015-07-22,2015-08-20,-0.007983288630687757,2172671.628070146
2015-08-19,2015-09-21,-0.2733112463616675,1578856.037467661
2015-09-18,2015-10-26,0.26102805010243,1990981.750320294
2015-10-23,2015-11-23,0.12188523641014104,2233653.0316463592
2015-11-20,2015-12-21,0.018557314775984546,2275103.6340549528
2015-12-18,2016-01-19,-0.23039538913186453,1750930.2469715427
2016-01-18,2016-02-23,0.05633690816269343,1849572.2434944606
2016-02-22,2016-03-22,-0.0023756858333315867,1845178.2409178675
2016-03-21,2016-04-20,0.05509422121634322,1946836.8991065794
2016-04-19,2016-05-19,-0.1376956981504066,1678765.8330991261
2016-05-18,2016-06-20,0.05499450416100515,1771088.7276928492
2016-06-17,2016-07-18,0.0696213246588182,1894394.2710031264
2016-07-15,2016-08-15,-0.022404952011118362,1851950.4582711637
2016-08-12,2016-09-12,0.016827548134217274,1883114.2437499075
2016-09-09,2016-10-19,0.03796578047634935,1954608.145740003
2016-10-18,2016-11-16,0.035033879319346095,2023085.6516344692
2016-11-15,2016-12-14,-0.0647044553323648,1892182.9964547385
2016-12-13,2017-01-12,0.02684582067603203,1942980.2018637995
2017-01-11,2017-02-16,0.0053637267155906,1953401.8166804002
2017-02-15,2017-03-16,0.024095214133001308,2000469.4517411082
2017-03-15,2017-04-17,-0.02095783873669621,1958543.935573831
2017-04-14,2017-05-16,-0.11691806017014672,1729554.7778685337
2017-05-15,2017-06-15,-0.008446818745401208,1714945.5421496355
2017-06-14,2017-07-13,0.03275348870939099,1771115.991601654
2017-07-12,2017-08-10,0.026633119237340352,1818286.3349891414
2017-08-09,2017-09-07,0.03133529120130052,1875262.8667833717
2017-09-06,2017-10-12,0.007702098050584194,1889706.325253957
2017-10-11,2017-11-09,-0.03774095876712069,1818386.9967505801
2017-11-08,2017-12-07,-0.07049080609603586,1690207.431555082
2017-12-06,2018-01-05,0.034471509400958666,1748471.4329215034
2018-01-04,2018-02-02,-0.06510339525930364,1634640.0061244138
2018-02-01,2018-03-09,0.019363006600242594,1666291.5513520213
2018-03-08,2018-04-10,-0.021034532428633956,1631241.8876795485
2018-04-09,2018-05-10,-0.0073402439383357665,1619268.1743015493
2018-05-09,2018-06-07,-0.04418404920176,1547722.3496173655
2018-06-06,2018-07-06,-0.15136490966302152,1313451.4959840935
2018-07-05,2018-08-03,0.014837618019642784,1332939.9875688339
2018-08-02,2018-08-31,-0.027255800914687156,1296609.6406364322
2018-08-30,2018-10-08,-0.019070889565601545,1271882.1413701605
2018-09-28,2018-11-05,-0.054479313315781375,1202590.8756897086
2018-11-02,2018-12-03,0.039493621777040966,1250085.5448867185
2018-11-30,2019-01-02,-0.06456808557320137,1169369.9144506508
2018-12-28,2019-01-30,0.017348038215286632,1189656.1884143471
2019-01-29,2019-03-06,0.2177970869073882,1448759.8406723388
2019-03-05,2019-04-03,0.08764894415972568,1575742.1110482817
2019-04-02,2019-05-07,-0.11896070990309415,1388290.710893778
2019-05-06,2019-06-04,-0.012047187352083877,1371565.7126004829
2019-06-03,2019-07-03,0.03614999905804073,1421147.8118190311
2019-07-02,2019-07-31,-0.03856766556562552,1366337.4582934743
2019-07-30,2019-08-28,-0.021194723304236218,1337378.3139247308
2019-08-27,2019-09-26,0.01504928138636652,1357504.8964910086
2019-09-25,2019-10-31,-0.008498843307638504,1345967.6750863795
2019-10-30,2019-11-28,-0.025614491701852704,1311491.3972419174
2019-11-27,2019-12-26,0.04960621456748315,1376549.5208969084
2019-12-25,2020-02-03,0.001091158141423465,1378051.5541137075
2020-01-23,2020-03-02,0.006707044490247727,1387294.2071970033
2020-02-28,2020-03-30,-0.019885175107944297,1359707.6189606541
2020-03-27,2020-04-28,0.015323443601198194,1380543.0219739173
2020-04-27,2020-05-29,-0.0032235149416428577,1376092.8209150035
2020-05-28,2020-06-30,0.057101499625210383,1454669.7846127364
2020-06-29,2020-07-28,0.11092791658744994,1616033.2731425418
2020-07-27,2020-08-25,0.07074562408993756,1730360.5556011156
2020-08-24,2020-09-22,-0.040284929194097874,1660653.1031384647
2020-09-21,2020-10-28,-0.009976577785541285,1644085.4682802034
2020-10-27,2020-11-25,0.031600562163783374,1696039.493323165
2020-11-24,2020-12-23,-0.056159300901563514,1600791.101076694
2020-12-22,2021-01-21,-0.0023624337583912913,1597009.338139378
2021-01-20,2021-02-25,0.009828000775106593,1612704.7471524642
2021-02-24,2021-03-25,0.011297375203019433,1630924.077772736
2021-03-24,2021-04-23,0.03010530494077379,1680023.5444693344
2021-04-22,2021-05-26,-0.004168390942099531,1673020.5495440545
2021-05-25,2021-06-24,0.015006732831998493,1698127.1219535056
2021-06-23,2021-07-22,0.02761850867891935,1745026.860609087
2021-07-21,2021-08-19,0.01233848303210916,1766557.844919287
2021-08-18,2021-09-16,0.1123802351218961,1965084.0308877463
2021-09-15,2021-10-25,-0.07738664933436779,1813012.7620768703
2021-10-22,2021-11-22,0.0247042232911463,1857801.834180915
2021-11-19,2021-12-20,0.038143153312195865,1928664.2543657564
2021-12-17,2022-01-18,0.03840909536827963,2002742.5036450825
2022-01-17,2022-02-22,-0.021294502543978244,1960095.098306279
2022-02-21,2022-03-22,-0.05426174140082185,1853736.924960965
2022-03-21,2022-04-21,-0.026321009709755927,1804944.6973597344
2022-04-20,2022-05-24,-0.013787429903199921,1780059.1488657347
2022-05-23,2022-06-22,0.025817623511264598,1826016.0457989324
2022-06-21,2022-07-20,0.02742604358783307,1876096.4414630965
2022-07-19,2022-08-17,0.021406785422266594,1916257.635416975
2022-08-16,2022-09-15,-0.021864532354092803,1874359.558348623
2022-09-14,2022-10-20,-0.050607416841481845,1779503.0628684585
2022-10-19,2022-11-17,0.0342605356085528,1840469.790919392
2022-11-16,2022-12-15,0.0018090173641505114,1843799.2327293595
2022-12-14,2023-01-13,-0.010726550479170704,1824021.6271860318
2023-01-12,2023-02-17,0.05948928982611679,1932531.3784148067
2023-02-16,2023-03-17,-0.006174089907477365,1920599.7559354524
2023-03-16,2023-04-17,0.00781492963957331,1935609.1078938697
2023-04-14,2023-05-18,-0.005677339881354215,1924619.9971109114
2023-05-17,2023-06-15,-0.012686356108640662,1900203.5824537515
2023-06-14,2023-07-17,0.005189529206955923,1910064.7444440573
2023-07-14,2023-08-14,-0.023845811308696785,1864517.70096065
2023-08-11,2023-09-11,-0.012301368286037895,1841581.5820452964
2023-09-08,2023-10-17,-0.013428774235432872,1816851.3987438788
2023-10-16,2023-11-14,0.011307335143071473,1837395.146414634
2023-11-13,2023-12-12,-0.007319651522019632,1823946.0542346288
2023-12-11,2024-01-10,-0.025765049264713458,1776951.994291094
2024-01-09,2024-02-07,-0.1604495327275236,1491840.8771278467
2024-02-06,2024-03-14,0.18841004981816978,1772918.6911082864
