signal_date,entry,exit,n_sel,n_fill,capital_ret,net_yuan,equity
2012-01-04,2012-01-05,2012-02-09,417,400,0.04699936715192199,46999.367151921964,1046999.367151922
2012-02-08,2012-02-09,2012-03-08,418,407,0.07197407606208328,75356.81208834553,1122356.1792402675
2012-03-07,2012-03-08,2012-04-10,423,400,-0.05768920186965154,-64747.83219384262,1057608.3470464249
2012-04-09,2012-04-10,2012-05-10,421,389,0.030569017800812892,32330.048387150513,1089938.3954335754
2012-05-09,2012-05-10,2012-06-07,421,403,-0.05076338206011222,-55328.959189380286,1034609.4362441951
2012-06-06,2012-06-07,2012-07-06,430,423,-0.017575070651177804,-18183.333938366966,1016426.1023058281
2012-07-05,2012-07-06,2012-08-03,440,435,-0.06394179335734984,-64992.107796655735,951433.9945091724
2012-08-02,2012-08-03,2012-08-31,447,444,-0.0074423242379711985,-7080.880278165336,944353.114231007
2012-08-30,2012-08-31,2012-09-28,454,450,-0.010430762703221963,-9850.323242592276,934502.7909884148
2012-09-27,2012-09-28,2012-11-02,460,457,0.04342560841185117,40581.3522612449,975084.1432496597
2012-11-01,2012-11-02,2012-11-30,463,454,-0.12304654174217333,-119980.73173450062,855103.4115151591
2012-11-29,2012-11-30,2012-12-28,466,460,0.15256893729330434,130462.21877074696,985565.630285906
2012-12-27,2012-12-28,2013-01-30,464,458,0.09549838222983276,94119.92327362939,1079685.5535595354
2013-01-29,2013-01-30,2013-03-06,463,454,0.0179440301805609,19373.910158587852,1099059.4637181233
2013-03-05,2013-03-06,2013-04-03,464,458,-0.0369251585884689,-40582.94499594928,1058476.518722174
2013-04-02,2013-04-03,2013-05-08,464,454,0.0067951587338543895,7192.51596077485,1065669.0346829488
2013-05-07,2013-05-08,2013-06-05,468,462,0.02649911623660861,28239.287619818002,1093908.3223027668
2013-06-04,2013-06-05,2013-07-08,466,464,-0.1289177779335372,-141024.23017427628,952884.0921284906
2013-07-05,2013-07-08,2013-08-05,465,458,0.06997438137138112,66677.4748653213,1019561.5669938119
2013-08-02,2013-08-05,2013-09-02,464,451,0.03182672324584335,32449.30382481031,1052010.8708186222
2013-08-30,2013-09-02,2013-10-09,463,455,0.06627630146335917,69723.38961710595,1121734.2604357281
2013-10-08,2013-10-09,2013-11-06,463,453,-0.021957755912426102,-24630.767089253524,1097103.4933464746
2013-11-05,2013-11-06,2013-12-04,461,455,0.03375707536466521,37035.00530773448,1134138.498654209
2013-12-03,2013-12-04,2014-01-02,460,450,0.005546001781398413,6289.934133888688,1140428.4327880978
2013-12-31,2014-01-02,2014-01-30,461,456,0.02639889573888654,30106.05129483482,1170534.4840829326
2014-01-29,2014-01-30,2014-03-06,462,456,0.03432546202734388,40179.136985085206,1210713.6210680178
2014-03-05,2014-03-06,2014-04-03,460,450,-0.025219718125954693,-30533.85625458928,1180179.7648134285
2014-04-02,2014-04-03,2014-05-06,460,450,-0.03769972436129598,-44492.45183024532,1135687.3129831832
2014-05-05,2014-05-06,2014-06-04,455,447,-0.009635884456264954,-10943.351726352004,1124743.9612568312
2014-06-03,2014-06-04,2014-07-02,455,442,0.03258020530966399,36644.3891785522,1161388.3504353834
2014-07-01,2014-07-02,2014-07-30,454,435,0.033861398918344277,39326.23423321033,1200714.5846685937
2014-07-29,2014-07-30,2014-08-27,453,439,0.06064806039544535,72821.01064867293,1273535.5953172666
2014-08-26,2014-08-27,2014-09-25,453,432,0.10877783613358494,138532.44629770913,1412068.0416149758
2014-09-24,2014-09-25,2014-10-30,451,434,0.032766449295803746,46268.455887801945,1458336.4975027777
2014-10-29,2014-10-30,2014-11-27,452,433,0.054332212590247675,79234.64861043822,1537571.146113216
2014-11-26,2014-11-27,2014-12-25,451,429,-0.010219369161404201,-15713.007154054241,1521858.1389591617
2014-12-24,2014-12-25,2015-01-26,454,434,0.04682257060305983,71257.31015925668,1593115.4491184184
2015-01-23,2015-01-26,2015-03-02,453,438,0.06668763841175873,106241.1070189958,1699356.5561374142
2015-02-27,2015-03-02,2015-03-30,459,424,0.18222865701916224,309671.4630216297,2009028.019159044
2015-03-27,2015-03-30,2015-04-28,452,414,0.17141062642974925,344368.75127897016,2353396.770438014
2015-04-27,2015-04-28,2015-05-27,455,419,0.1791342835230314,421574.0443178299,2774970.814755844
2015-05-26,2015-05-27,2015-06-25,450,409,0.0018636685347876991,5171.625792414416,2780142.4405482584
2015-06-24,2015-06-25,2015-07-23,449,398,-0.21221436504883462,-589986.1627662661,2190156.277781992
2015-07-22,2015-07-23,2015-08-20,433,392,-0.007983288630687757,-17484.649711846374,2172671.628070146
2015-08-19,2015-08-20,2015-09-21,448,435,-0.2733112463616675,-593815.5906024848,1578856.037467661
2015-09-18,2015-09-21,2015-10-26,459,428,0.26102805010243,412125.71285263286,1990981.750320294
2015-10-23,2015-10-26,2015-11-23,463,441,0.12188523641014104,242671.2813260653,2233653.0316463592
2015-11-20,2015-11-23,2015-12-21,481,455,0.018557314775984546,41450.60240859352,2275103.6340549528
2015-12-18,2015-12-21,2016-01-19,492,474,-0.23039538913186453,-524173.38708341005,1750930.2469715427
2016-01-18,2016-01-19,2016-02-23,495,474,0.05633690816269343,98641.99652291788,1849572.2434944606
2016-02-22,2016-02-23,2016-03-22,497,468,-0.0023756858333315867,-4394.002576593077,1845178.2409178675
2016-03-21,2016-03-22,2016-04-20,500,469,0.05509422121634322,101658.65818871185,1946836.8991065794
2016-04-19,2016-04-20,2016-05-19,493,478,-0.1376956981504066,-268071.06600745325,1678765.8330991261
2016-05-18,2016-05-19,2016-06-20,496,472,0.05499450416100515,92322.89459372312,1771088.7276928492
2016-06-17,2016-06-20,2016-07-18,500,486,0.0696213246588182,123305.54331027716,1894394.2710031264
2016-07-15,2016-07-18,2016-08-15,508,501,-0.022404952011118362,-42443.81273196265,1851950.4582711637
2016-08-12,2016-08-15,2016-09-12,520,502,0.016827548134217274,31163.785478743725,1883114.2437499075
2016-09-09,2016-09-12,2016-10-19,521,505,0.03796578047634935,71493.90199009562,1954608.145740003
2016-10-18,2016-10-19,2016-11-16,526,511,0.035033879319346095,68477.50589446607,2023085.6516344692
2016-11-15,2016-11-16,2016-12-14,531,521,-0.0647044553323648,-130902.65517973062,1892182.9964547385
2016-12-13,2016-12-14,2017-01-12,537,526,0.02684582067603203,50797.20540906093,1942980.2018637995
2017-01-11,2017-01-12,2017-02-16,542,531,0.0053637267155906,10421.61481660069,1953401.8166804002
2017-02-15,2017-02-16,2017-03-16,549,537,0.024095214133001308,47067.63506070804,2000469.4517411082
2017-03-15,2017-03-16,2017-04-17,557,549,-0.02095783873669621,-41925.51616727724,1958543.935573831
2017-04-14,2017-04-17,2017-05-16,566,555,-0.11691806017014672,-228989.15770529723,1729554.7778685337
2017-05-15,2017-05-16,2017-06-15,566,553,-0.008446818745401208,-14609.235718898242,1714945.5421496355
2017-06-14,2017-06-15,2017-07-13,575,565,0.03275348870939099,56170.4494520186,1771115.991601654
2017-07-12,2017-07-13,2017-08-10,584,573,0.026633119237340352,47170.343387487344,1818286.3349891414
2017-08-09,2017-08-10,2017-09-07,593,583,0.03133529120130052,56976.53179423022,1875262.8667833717
2017-09-06,2017-09-07,2017-10-12,605,594,0.007702098050584194,14443.45847058529,1889706.325253957
2017-10-11,2017-10-12,2017-11-09,614,607,-0.03774095876712069,-71319.3285033768,1818386.9967505801
2017-11-08,2017-11-09,2017-12-07,625,605,-0.07049080609603586,-128179.56519549806,1690207.431555082
2017-12-06,2017-12-07,2018-01-05,624,613,0.034471509400958666,58264.00136642135,1748471.4329215034
2018-01-04,2018-01-05,2018-02-02,630,614,-0.06510339525930364,-113831.42679708963,1634640.0061244138
2018-02-01,2018-02-02,2018-03-09,632,610,0.019363006600242594,31651.54522760748,1666291.5513520213
2018-03-08,2018-03-09,2018-04-10,629,618,-0.021034532428633956,-35049.663672472816,1631241.8876795485
2018-04-09,2018-04-10,2018-05-10,635,624,-0.0073402439383357665,-11973.713377999142,1619268.1743015493
2018-05-09,2018-05-10,2018-06-07,641,630,-0.04418404920176,-71545.82468418381,1547722.3496173655
2018-06-06,2018-06-07,2018-07-06,645,638,-0.15136490966302152,-234270.853633272,1313451.4959840935
2018-07-05,2018-07-06,2018-08-03,653,650,0.014837618019642784,19488.491584740346,1332939.9875688339
2018-08-02,2018-08-03,2018-08-31,663,659,-0.027255800914687156,-36330.34693240165,1296609.6406364322
2018-08-30,2018-08-31,2018-10-08,670,661,-0.019070889565601545,-24727.499266271712,1271882.1413701605
2018-09-28,2018-10-08,2018-11-05,675,672,-0.054479313315781375,-69291.26568045188,1202590.8756897086
2018-11-02,2018-11-05,2018-12-03,678,671,0.039493621777040966,47494.66919700988,1250085.5448867185
2018-11-30,2018-12-03,2019-01-02,690,685,-0.06456808557320137,-80715.6304360677,1169369.9144506508
2018-12-28,2019-01-02,2019-01-30,692,684,0.017348038215286632,20286.273963696323,1189656.1884143471
2019-01-29,2019-01-30,2019-03-06,693,676,0.2177970869073882,259103.65225799172,1448759.8406723388
2019-03-05,2019-03-06,2019-04-03,694,683,0.08764894415972568,126982.27037594281,1575742.1110482817
2019-04-02,2019-04-03,2019-05-07,695,688,-0.11896070990309415,-187451.40015450376,1388290.710893778
2019-05-06,2019-05-07,2019-06-04,687,683,-0.012047187352083877,-16724.998293295037,1371565.7126004829
2019-06-03,2019-06-04,2019-07-03,690,685,0.03614999905804073,49582.099218548276,1421147.8118190311
2019-07-02,2019-07-03,2019-07-31,692,687,-0.03856766556562552,-54810.35352555686,1366337.4582934743
2019-07-30,2019-07-31,2019-08-28,694,686,-0.021194723304236218,-28959.144368743524,1337378.3139247308
2019-08-27,2019-08-28,2019-09-26,695,689,0.01504928138636652,20126.582566277822,1357504.8964910086
2019-09-25,2019-09-26,2019-10-31,703,699,-0.008498843307638504,-11537.221404629061,1345967.6750863795
2019-10-30,2019-10-31,2019-11-28,705,701,-0.025614491701852704,-34476.27784446208,1311491.3972419174
2019-11-27,2019-11-28,2019-12-26,708,706,0.04960621456748315,65058.12365499092,1376549.5208969084
2019-12-25,2019-12-26,2020-02-03,711,117,0.001091158141423465,1502.0332167991437,1378051.5541137075
2020-01-23,2020-02-03,2020-03-02,717,110,0.006707044490247727,9242.653083295794,1387294.2071970033
2020-02-28,2020-03-02,2020-03-30,722,716,-0.019885175107944297,-27586.58823634917,1359707.6189606541
2020-03-27,2020-03-30,2020-04-28,725,719,0.015323443601198194,20835.40301326313,1380543.0219739173
2020-04-27,2020-04-28,2020-05-29,727,718,-0.0032235149416428577,-4450.201058913721,1376092.8209150035
2020-05-28,2020-05-29,2020-06-30,718,711,0.057101499625210383,78576.96369773289,1454669.7846127364
2020-06-29,2020-06-30,2020-07-28,721,712,0.11092791658744994,161363.48852980533,1616033.2731425418
2020-07-27,2020-07-28,2020-08-25,725,717,0.07074562408993756,114327.28245857381,1730360.5556011156
2020-08-24,2020-08-25,2020-09-22,729,725,-0.040284929194097874,-69707.45246265084,1660653.1031384647
2020-09-21,2020-09-22,2020-10-28,736,736,-0.009976577785541285,-16567.63485826133,1644085.4682802034
2020-10-27,2020-10-28,2020-11-25,748,746,0.031600562163783374,51954.025042961584,1696039.493323165
2020-11-24,2020-11-25,2020-12-23,759,755,-0.056159300901563514,-95248.39224647102,1600791.101076694
2020-12-22,2020-12-23,2021-01-21,767,760,-0.0023624337583912913,-3781.7629373159725,1597009.338139378
2021-01-20,2021-01-21,2021-02-25,771,766,0.009828000775106593,15695.409013086231,1612704.7471524642
2021-02-24,2021-02-25,2021-03-25,780,777,0.011297375203019433,18219.330620271852,1630924.077772736
2021-03-24,2021-03-25,2021-04-23,789,786,0.03010530494077379,49099.466696598334,1680023.5444693344
2021-04-22,2021-04-23,2021-05-26,799,798,-0.004168390942099531,-7002.994925279869,1673020.5495440545
2021-05-25,2021-05-26,2021-06-24,801,794,0.015006732831998493,25106.572409451008,1698127.1219535056
2021-06-23,2021-06-24,2021-07-22,813,809,0.02761850867891935,46899.73865558137,1745026.860609087
2021-07-21,2021-07-22,2021-08-19,824,820,0.01233848303210916,21530.984310199972,1766557.844919287
2021-08-18,2021-08-19,2021-09-16,834,830,0.1123802351218961,198526.18596845935,1965084.0308877463
2021-09-15,2021-09-16,2021-10-25,842,836,-0.07738664933436779,-152071.26881087595,1813012.7620768703
2021-10-22,2021-10-25,2021-11-22,851,848,0.0247042232911463,44789.072104044724,1857801.834180915
2021-11-19,2021-11-22,2021-12-20,858,854,0.038143153312195865,70862.42018484138,1928664.2543657564
2021-12-17,2021-12-20,2022-01-18,865,858,0.03840909536827963,74078.24927932606,2002742.5036450825
2022-01-17,2022-01-18,2022-02-22,872,861,-0.021294502543978244,-42647.40533880354,1960095.098306279
2022-02-21,2022-02-22,2022-03-22,879,870,-0.05426174140082185,-106358.17334531387,1853736.924960965
2022-03-21,2022-03-22,2022-04-21,887,877,-0.026321009709755927,-48792.22760123061,1804944.6973597344
2022-04-20,2022-04-21,2022-05-24,892,885,-0.013787429903199921,-24885.548493999755,1780059.1488657347
2022-05-23,2022-05-24,2022-06-22,892,888,0.025817623511264598,45956.89693319774,1826016.0457989324
2022-06-21,2022-06-22,2022-07-20,906,902,0.02742604358783307,50080.3956641641,1876096.4414630965
2022-07-19,2022-07-20,2022-08-17,907,900,0.021406785422266594,40161.19395387848,1916257.635416975
2022-08-16,2022-08-17,2022-09-15,911,905,-0.021864532354092803,-41898.07706835191,1874359.558348623
2022-09-14,2022-09-15,2022-10-20,917,914,-0.050607416841481845,-94856.49548016465,1779503.0628684585
2022-10-19,2022-10-20,2022-11-17,924,919,0.0342605356085528,60966.72805093345,1840469.790919392
2022-11-16,2022-11-17,2022-12-15,932,929,0.0018090173641505114,3329.441809967626,1843799.2327293595
2022-12-14,2022-12-15,2023-01-13,941,936,-0.010726550479170704,-19777.60554332775,1824021.6271860318
2023-01-12,2023-01-13,2023-02-17,945,943,0.05948928982611679,108509.7512287749,1932531.3784148067
2023-02-16,2023-02-17,2023-03-17,950,950,-0.006174089907477365,-11931.622479354264,1920599.7559354524
2023-03-16,2023-03-17,2023-04-17,954,949,0.00781492963957331,15009.351958417334,1935609.1078938697
2023-04-14,2023-04-17,2023-05-18,958,953,-0.005677339881354215,-10989.110782958334,1924619.9971109114
2023-05-17,2023-05-18,2023-06-15,952,950,-0.012686356108640662,-24416.41465715994,1900203.5824537515
2023-06-14,2023-06-15,2023-07-17,961,959,0.005189529206955923,9861.161990305874,1910064.7444440573
2023-07-14,2023-07-17,2023-08-14,965,964,-0.023845811308696785,-45547.04348340724,1864517.70096065
2023-08-11,2023-08-14,2023-09-11,970,970,-0.012301368286037895,-22936.11891535367,1841581.5820452964
2023-09-08,2023-09-11,2023-10-17,977,973,-0.013428774235432872,-24730.183301417623,1816851.3987438788
2023-10-16,2023-10-17,2023-11-14,982,980,0.011307335143071473,20543.747670755256,1837395.146414634
2023-11-13,2023-11-14,2023-12-12,987,987,-0.007319651522019632,-13449.092180005275,1823946.0542346288
2023-12-11,2023-12-12,2024-01-10,990,988,-0.025765049264713458,-46994.0599435349,1776951.994291094
2024-01-09,2024-01-10,2024-02-07,992,990,-0.1604495327275236,-285111.1171632472,1491840.8771278467
2024-02-06,2024-02-07,2024-03-14,994,990,0.18841004981816978,281077.8139804397,1772918.6911082864
