signal_date,exit,capital_ret,equity
2011-07-18,2011-08-16,-0.037222017885542136,962777.9821144579
2011-08-15,2011-09-14,-0.07232540121586462,893144.6782762292
2011-09-13,2011-10-19,-0.06793453136574246,832469.3131157267
2011-10-18,2011-11-16,0.09455669177169201,911184.8573654026
2011-11-15,2011-12-14,-0.14595956435506763,778188.712537414
2011-12-13,2012-01-13,-0.0705851397394156,723260.1535193247
2012-01-12,2012-02-17,0.0791889195939921,780534.3436619049
2012-02-16,2012-03-16,0.03130740173756097,804970.8459288917
2012-03-15,2012-04-18,-0.05157342798717568,763455.7399746021
2012-04-17,2012-05-18,-0.003522933659657279,760766.136050587
2012-05-17,2012-06-15,-0.04225950662721556,728616.5344823961
2012-06-14,2012-07-16,-0.05336129208745166,689736.6147661342
2012-07-13,2012-08-13,-0.013771773697420886,680237.7181967498
2012-08-10,2012-09-10,0.010584945160275305,687437.9971398131
2012-09-07,2012-10-15,-0.03422468915449384,663910.6453747152
2012-10-12,2012-11-12,-0.04772821828265106,632223.373172095
2012-11-09,2012-12-10,-0.06624057002937356,590344.5365472821
2012-12-07,2013-01-10,0.1420928824966632,674228.2934114422
2013-01-09,2013-02-07,0.053971862445950425,710617.6501206125
2013-07-18,2013-08-16,0.05479404779225949,749555.2676033444
2013-08-15,2013-09-13,0.08703429458657408,814792.2815728522
2013-09-12,2013-10-22,0.0809331670523934,880736.0014103886
2013-10-21,2013-11-19,-0.049617019841383225,837036.5057533889
2013-11-18,2013-12-17,-0.009114192045248215,829407.594291069
2013-12-16,2014-01-15,-0.030521193813731196,804093.0843551307
2014-01-14,2014-02-19,0.1042194729304351,887895.2417936303
2014-02-18,2014-03-19,-0.056624078166355285,837618.9922187729
2014-03-18,2014-04-17,0.000746683966973194,838244.4288906949
2014-04-16,2014-05-19,-0.11125058605820626,744989.2449165786
2014-05-16,2014-06-17,0.007128076681425455,750299.5853811812
2014-06-16,2014-07-15,0.02979435393795904,772654.276787532
2014-07-14,2014-08-12,0.02790006880153406,794211.3842697036
2014-08-11,2014-09-10,0.100640213370214,874140.9874436597
2014-09-09,2014-10-15,0.06041617126100585,926953.2390473207
2014-10-14,2014-11-12,-0.018974583947547363,909364.6869975664
2014-11-11,2014-12-10,0.039859613459169774,945611.6119147083
2014-12-09,2015-01-09,0.02124424317788831,965700.4149500593
2015-01-08,2015-02-06,0.020578623073893354,985573.1997916189
2015-02-05,2015-03-13,0.11770033803759716,1101575.4985678887
2015-03-12,2015-04-13,0.27923726866532883,1409176.432016634
2015-04-10,2015-05-12,0.06428037524912167,1499758.8218588815
2015-05-11,2015-06-09,0.2422400787925878,1863060.5170358557
2015-06-08,2015-07-08,-0.012966255908582247,1838903.5975987932
2015-07-07,2015-08-05,0.00868051964807015,1854866.2364086565
2015-08-04,2015-09-02,-0.21487172950497668,1456307.9201911415
2015-09-01,2015-10-09,0.07426345156302272,1564458.3728831026
2015-10-08,2015-11-06,0.23224629125937502,1927798.0278148795
