signal_date,entry,exit,n_sel,n_fill,capital_ret,net_yuan
2010-06-10,2010-06-11,2010-07-14,298,287,-0.10126284174326328,-101262.8417432633
2010-07-13,2010-07-14,2010-08-11,305,294,0.09559420296107368,85914.06231505307
2010-08-10,2010-08-11,2010-09-08,308,298,0.050469144983851244,49694.50520956365
2010-09-07,2010-09-08,2010-10-18,313,305,-0.00660576674037594,-6832.646593416459
2010-10-15,2010-10-18,2010-11-15,316,301,0.06554524383521465,67348.59531924559
2010-11-12,2010-11-15,2010-12-13,324,313,-0.026668712283263396,-29198.550987404073
2010-12-10,2010-12-13,2011-01-11,334,324,-0.020344334861614466,-21680.207434560405
2011-01-10,2011-01-11,2011-02-15,341,328,0.009017839847242026,9414.470740513178
2011-02-14,2011-02-15,2011-03-15,345,334,0.043390065892356056,45706.98202520423
2011-03-14,2011-03-15,2011-04-14,350,342,-0.039620484194399785,-43547.04727405426
2011-04-13,2011-04-14,2011-05-13,360,334,-0.11047334029269229,-116610.94318500557
2011-05-12,2011-05-13,2011-06-13,358,335,-0.12113654862074297,-113740.723618338
2011-06-10,2011-06-13,2011-07-11,366,356,0.054893420004658244,45298.36059770279
2011-07-08,2011-07-11,2011-08-08,378,363,-0.054807721492028616,-47710.34163215954
2011-08-05,2011-08-08,2011-09-05,382,366,-0.031398007496406866,-25834.081936055794
2011-09-02,2011-09-05,2011-10-11,386,373,-0.08803583508971535,-70161.00319713796
2011-10-10,2011-10-11,2011-11-08,391,374,0.05228907753799983,38003.627754122135
2011-11-07,2011-11-08,2011-12-06,397,383,-0.08826591153134389,-67505.96476820833
2011-12-05,2011-12-06,2012-01-05,404,391,-0.13246052957014653,-92364.23075312807
2012-01-04,2012-01-05,2012-02-09,410,391,0.05168043453779725,31263.149702770403
2012-02-08,2012-02-09,2012-03-08,410,401,0.08313437870846596,52889.690240289434
2012-03-07,2012-03-08,2012-04-10,415,398,-0.07686457350379727,-52966.21393191139
2012-04-09,2012-04-10,2012-05-10,412,383,0.010567438531939644,6722.144699606113
2012-05-09,2012-05-10,2012-06-07,412,392,-0.04540353070880143,-29187.24161998462
2012-06-06,2012-06-07,2012-07-06,420,416,-0.03714382959313056,-22793.442887798883
2012-07-05,2012-07-06,2012-08-03,429,426,-0.08229131972753378,-48622.65798280877
2012-08-02,2012-08-03,2012-08-31,436,430,0.012114526914127177,6568.950170470867
2012-08-30,2012-08-31,2012-09-28,443,439,-0.022314588407476688,-12246.38891419128
2012-09-27,2012-09-28,2012-11-02,449,444,0.02411978544395632,12941.71232660755
2012-11-01,2012-11-02,2012-11-30,454,441,-0.13828720938112848,-75989.05977424665
2012-11-29,2012-11-30,2012-12-28,460,451,0.16969712368668333,80353.73691783275
2012-12-27,2012-12-28,2013-01-30,462,456,0.08011865770289583,44375.03249753441
2013-07-18,2013-07-19,2013-08-16,462,455,0.054327465371363015,32500.940696060774
2013-08-15,2013-08-16,2013-09-13,460,449,0.10983509249862267,69277.64687893866
2013-09-12,2013-09-13,2013-10-22,461,443,0.07940063062713065,55582.03102832916
2013-10-21,2013-10-22,2013-11-19,460,453,-0.029654375818090273,-22406.90718589828
2013-11-18,2013-11-19,2013-12-17,458,447,-0.010177213850544042,-7461.883771618013
2013-12-16,2013-12-17,2014-01-15,458,448,-0.0842064185872482,-61111.39866824052
2014-01-14,2014-01-15,2014-02-19,458,450,0.11425853467949065,75938.71998357074
2014-02-18,2014-02-19,2014-03-19,455,438,-0.04780941762187929,-35405.77010299533
2014-03-18,2014-03-19,2014-04-17,456,434,0.034434721708914484,24281.809683342115
2014-04-16,2014-04-17,2014-05-19,456,441,-0.10420173270073207,-76008.55978526233
2014-05-16,2014-05-19,2014-06-17,455,437,0.07534042623602044,49229.54863325984
2014-06-16,2014-06-17,2014-07-15,451,432,0.021330608638994386,14988.114479131764
2014-07-14,2014-07-15,2014-08-12,449,433,0.04298337162787358,30846.832858356764
2014-08-11,2014-08-12,2014-09-10,451,434,0.07527713953127835,56344.378652151325
2014-09-09,2014-09-10,2014-10-15,451,416,0.0697615303140251,56146.6562850296
2014-10-14,2014-10-15,2014-11-12,449,435,-0.03364064054876692,-28964.039535075193
2014-11-11,2014-11-12,2014-12-10,454,431,0.07979006564247282,66386.8947027683
2014-12-09,2014-12-10,2015-01-09,451,428,0.009404452847910028,8449.021070148563
2015-01-08,2015-01-09,2015-02-06,456,431,0.10952390238033494,99322.34977054934
2015-02-05,2015-02-06,2015-03-13,455,443,0.11923571908615793,119972.3356524522
2015-03-12,2015-03-13,2015-04-13,456,423,0.23877605823370995,268897.69465776766
2015-04-10,2015-04-13,2015-05-12,449,421,0.04017870022897663,56051.209300542716
2015-05-11,2015-05-12,2015-06-09,453,392,0.1855016448538489,269181.2620243912
2015-06-08,2015-06-09,2015-07-08,438,24,-0.011821175899176972,-20335.736253772164
2015-07-07,2015-07-08,2015-08-05,378,31,-0.0006871352617937587,-1168.0918663060293
2015-08-04,2015-08-05,2015-09-02,434,355,-0.2214428423469642,-376181.8947834233
2015-09-01,2015-09-02,2015-10-09,446,378,0.10294669143982049,136156.73784511467
2015-10-08,2015-10-09,2015-11-06,458,437,0.17091090345215743,249316.5084969313
2015-11-05,2015-11-06,2015-12-04,468,447,0.07414643586945502,126647.14278383483
2015-12-03,2015-12-04,2016-01-04,482,459,0.03399567107345325,62372.36717123166
2015-12-31,2016-01-04,2016-02-01,491,468,-0.3059272610364303,-580370.7378452942
2016-01-29,2016-02-01,2016-03-07,495,464,0.08267949756778892,108865.46817884082
2016-03-04,2016-03-07,2016-04-05,498,461,0.14878633227887295,212107.1295393156
2016-04-01,2016-04-05,2016-05-04,492,477,0.005073688828655332,8309.125464081997
2016-05-03,2016-05-04,2016-06-01,492,481,-0.06397351700722576,-105300.3026904501
2016-05-31,2016-06-01,2016-07-01,497,482,0.020306548922304213,31286.260035031708
2016-06-30,2016-07-01,2016-07-29,503,489,-0.028721346326995967,-45149.505376412766
2016-07-28,2016-07-29,2016-08-26,513,496,0.022793095399962437,34801.29103504494
2016-08-25,2016-08-26,2016-09-27,519,500,-0.02984749263393216,-46610.92143421015
2016-09-26,2016-09-27,2016-11-01,518,502,0.047705883553561756,72275.61385843344
2016-10-31,2016-11-01,2016-11-29,530,514,0.05017456911691176,79642.13238177332
2016-11-28,2016-11-29,2016-12-27,530,514,-0.08031116897648072,-133874.13340837718
2016-12-26,2016-12-27,2017-01-25,538,517,-0.056464793319892514,-86564.4113969251
2017-01-24,2017-01-25,2017-03-01,546,528,0.05014113102499973,72529.3647094306
2017-02-28,2017-03-01,2017-03-29,548,524,0.011058103211385006,16797.63172406354
2017-03-28,2017-03-29,2017-04-28,561,540,-0.12570779992340886,-193065.981037203
2017-04-27,2017-04-28,2017-05-31,566,548,-0.0545095439723684,-73193.52834696346
2017-05-26,2017-05-31,2017-06-28,570,551,0.007185584879690676,9122.616277359659
2017-06-27,2017-06-28,2017-07-26,580,560,-0.05004156877361299,-63987.87699330598
2017-07-25,2017-07-26,2017-08-23,584,577,0.031743126612229444,38558.585008749506
2017-08-22,2017-08-23,2017-09-20,596,588,0.03814593290938806,47806.96919423342
2017-09-19,2017-09-20,2017-10-25,605,588,-0.0289016134463016,-37603.08410982904
2017-10-24,2017-10-25,2017-11-22,614,602,-0.056531429132828936,-71425.71149980347
2017-11-21,2017-11-22,2017-12-20,623,605,-0.03545309908302752,-42261.63086592662
2017-12-19,2017-12-20,2018-01-18,625,612,-0.0074501343648688545,-8566.028269893723
2018-01-17,2018-01-18,2018-02-22,634,597,-0.09037361001898658,-103135.78145496384
2018-02-14,2018-02-22,2018-03-22,617,604,0.07136554572915177,74083.13897796045
2018-03-21,2018-03-22,2018-04-23,632,613,-0.00405551485485145,-4510.393748549977
2018-04-20,2018-04-23,2018-05-23,635,621,0.060232476388646816,66716.66214157594
2018-05-22,2018-05-23,2018-06-21,643,620,-0.19666099518152824,-230952.6378115092
2018-06-20,2018-06-21,2018-07-19,640,626,0.005881274744035991,5548.4926650763955
2018-07-18,2018-07-19,2018-08-16,658,654,-0.052302313153737345,-49633.073382736766
2018-08-15,2018-08-16,2018-09-13,665,661,-0.040997114676672886,-36870.02101074252
2018-09-12,2018-09-13,2018-10-19,670,655,-0.1773951794945131,-152996.61433432845
2018-10-18,2018-10-19,2018-11-16,677,657,0.21023610411019256,149155.25413406384
2018-11-15,2018-11-16,2018-12-14,684,679,-0.030243977993644866,-25968.105957683758
2018-12-13,2018-12-14,2019-01-15,692,690,-0.018668820400298047,-15544.64198215981
2019-01-14,2019-01-15,2019-02-19,693,687,0.05869098422258001,47956.87070261408
2019-02-18,2019-02-19,2019-03-19,693,682,0.17461828522228484,151056.13827793987
