signal_date,exit,capital_ret,equity
2011-04-21,2011-05-23,-0.11700895673435219,882991.0432656478
2011-05-20,2011-06-21,-0.1287715083278098,769286.954784384
2011-06-20,2011-07-19,0.13596597671304678,873883.8069642482
2011-07-18,2011-08-16,-0.04096334913395849,838086.5994770589
2011-08-15,2011-09-14,-0.06512021066303086,783510.2235652496
2011-09-13,2011-10-19,-0.06280899808838425,734298.7314311103
2011-10-18,2011-11-16,0.08715907946605816,798299.5329157402
2011-11-15,2011-12-14,-0.1543010098771862,675121.1088023554
2011-12-13,2012-01-13,-0.06325618934277522,632415.5201146492
2012-01-12,2012-02-17,0.08091238546181967,683585.7684502029
2012-02-16,2012-03-16,0.03168863027492508,705247.6651278218
2012-03-15,2012-04-18,-0.04078571466487113,676483.6350898519
2012-04-17,2012-05-18,-0.026921628094128458,658271.5942541988
2012-05-17,2012-06-15,-0.05228360227641593,623854.78403035
2012-06-14,2012-07-16,-0.05019340305983122,592541.3894047107
2012-07-13,2012-08-13,-0.012473076125900096,585150.5755469191
2012-08-10,2012-09-10,0.009300278327341038,590592.6387629093
2012-09-07,2012-10-15,-0.03770787356152838,568322.6462140682
2012-10-12,2012-11-12,-0.053905846478148334,537686.7328971976
2012-11-09,2012-12-10,-0.060746086661086274,505024.36802410806
2012-12-07,2013-01-10,0.14170885327521754,576590.7920928459
2013-01-09,2013-02-07,0.04861116289816292,604619.541012852
2013-02-06,2013-03-14,-0.009603675307440551,598812.9712564308
2013-03-13,2013-04-15,-0.04064816544274885,574472.3225315354
2013-04-12,2013-05-16,0.060569495452115873,609267.8212584757
2013-05-15,2013-06-18,-0.03421901080106826,588419.2791020885
2013-06-17,2013-07-16,-0.04150294076714811,563998.1486152665
2013-07-15,2013-08-13,0.06821986352564435,602474.0253425161
2013-08-12,2013-09-10,0.033992858331769904,622953.8395345554
2013-09-09,2013-10-17,0.03410227614036021,644197.9833930605
2013-10-16,2013-11-14,-0.06965310653882151,599327.5926236897
2013-11-13,2013-12-12,0.0653052579176383,638466.835637137
2013-12-11,2014-01-10,-0.019270379681132543,626163.337300598
2014-01-09,2014-02-14,0.11008477794740301,695094.3892461392
2014-02-13,2014-03-14,-0.04423788322883837,664344.8848216478
2014-03-13,2014-04-14,0.00013443784740641007,664434.1979178987
2014-04-11,2014-05-14,-0.053309411591994094,629013.6017852969
2014-05-13,2014-06-12,0.0016818264524269821,630071.4934997158
