signal_date,exit,capital_ret,equity
2011-12-19,2012-01-19,0.024381738068676606,1024381.7380686767
2012-01-18,2012-02-23,0.06690138804660495,1092914.2982350648
2012-02-22,2012-03-22,0.004645014738484887,1097990.9012582675
2012-03-21,2012-04-24,0.0020497153382095235,1100241.470049791
2012-04-23,2012-05-24,0.0027727426945232114,1103292.156548083
2012-05-23,2012-06-21,-0.021093317641061815,1080020.0646391222
2012-06-20,2012-07-20,-0.07207723070977345,1002175.2092689438
2012-07-19,2012-08-17,-0.03680877221850065,965286.370267935
2012-08-16,2012-09-14,-0.005080508060055555,960382.2250835269
2012-09-13,2012-10-19,-0.018197214929477123,942905.9433192326
2012-10-18,2012-11-16,-0.06156396002199427,884856.9195202265
2012-11-15,2012-12-14,0.005778381974855362,889969.9607943083
2012-12-13,2013-01-16,0.1697898463329124,1041077.823678482
2013-01-15,2013-02-20,0.026309640531127165,1068468.206984391
2013-02-19,2013-03-20,-0.08777568987136886,974682.6730107116
2013-03-19,2013-04-19,-0.03157453933035559,943907.5166171187
2013-04-18,2013-05-22,0.05718257620646083,997882.5801179282
2013-05-21,2013-06-24,-0.14012657224187908,858052.7146661207
2013-06-21,2013-07-22,-0.07789862943734538,791211.5842086363
2013-07-19,2013-08-19,0.058796104475024036,837731.7431756165
2013-08-16,2013-09-16,0.0879525176586311,911412.3591104656
2013-09-13,2013-10-23,0.00795796408975491,918665.3459352255
2013-10-22,2013-11-20,-0.036489314108183235,885143.8775670922
2013-11-19,2013-12-18,-0.015094601208026082,871782.9837234911
2013-12-17,2014-01-16,-0.05723401977571674,821887.3391929275
2014-01-15,2014-02-20,0.10525847939348942,908397.950749136
2014-02-19,2014-03-20,-0.06891865336414793,845792.387264754
2014-03-19,2014-04-18,0.008751362986130662,853194.2234566138
2014-04-17,2014-05-20,-0.09254037295421391,774239.3118155579
2014-05-19,2014-06-18,0.03471250232138989,801115.0957242667
2014-06-17,2014-07-16,0.018635510630764074,816044.2846071019
2014-07-15,2014-08-13,0.07719376714096882,879037.817089781
2014-08-12,2014-09-11,0.06170847159579762,933281.8972572978
2014-09-10,2014-10-16,0.031840389007292025,962997.9559194336
2014-10-15,2014-11-13,0.006831803814037585,969576.9690275943
2014-11-12,2014-12-11,0.0898908699221761,1056733.0862299916
2014-12-10,2015-01-12,-0.001621332839176981,1055019.770175042
2015-01-09,2015-02-09,0.06590986112643837,1124555.976712926
2015-02-06,2015-03-16,0.14882228151463717,1291914.9628582648
2015-03-13,2015-04-14,0.20000625500137392,1550306.0363597854
2015-04-13,2015-05-13,0.043287694651487296,1617415.2106780855
2015-05-12,2015-06-10,0.18507497251444782,1916758.286338782
2015-06-09,2015-07-09,-0.21938544148385863,1496249.423472504
2015-07-08,2015-08-06,0.21222437190861698,1813790.0175875863
2015-08-05,2015-09-07,-0.19878704954185578,1453232.0515028792
2015-09-02,2015-10-12,0.15215149793442517,1674343.4849853602
