signal_date,exit,capital_ret,equity
2012-03-08,2012-04-11,-0.0618258661134371,938174.1338865629
2012-04-10,2012-05-11,0.054296677413565586,989113.8721919529
2012-05-10,2012-06-08,-0.04013397543462505,949416.8003433542
2012-06-07,2012-07-09,-0.053749641148424954,898385.9880246131
2012-07-06,2012-08-06,-0.04086910188862525,861669.7595447219
2012-08-03,2012-09-03,-0.08807270493063524,785780.1730646882
2012-08-31,2012-10-08,0.026569805657149947,806658.1995522587
2012-09-28,2012-11-05,0.005126213912387545,810793.302037345
2012-11-02,2012-12-03,-0.06657074447236999,756818.1883075078
2012-11-30,2012-12-31,0.13239987637184591,857020.8228753862
2012-12-28,2013-01-31,0.07770911197706609,923619.1499668868
2013-01-30,2013-03-07,-0.015357749315381142,909434.43859881
2013-03-06,2013-04-08,-0.07544551577138325,840821.6883184644
2013-04-03,2013-05-09,-0.008126280466500435,833988.9354568722
2013-05-08,2013-06-06,0.009344187121950176,841781.8841274172
2013-06-05,2013-07-09,-0.19813146336172127,674998.4075938652
2013-07-08,2013-08-06,0.06737638479746355,720477.3600415846
2013-08-05,2013-09-03,0.03526252109252481,745883.2081467375
2013-09-02,2013-10-10,0.023186703091392147,763177.780634891
2013-10-09,2013-11-07,-0.039995344032881186,732654.2227401478
2013-11-06,2013-12-05,0.053563303125079065,771897.6029586475
2013-12-04,2014-01-03,-0.04001626900125366,741009.1408372314
2014-01-03,2014-02-10,-0.0016612788662112576,739778.1180118892
2014-02-07,2014-03-10,0.003908926615124875,742669.8563866728
2014-03-07,2014-04-08,0.013172731910291668,752452.8473027092
2014-04-04,2014-05-08,-0.04796594468708126,716360.7356493507
2014-05-07,2014-06-06,0.01380918298092526,726253.0921282828
2014-06-05,2014-07-04,0.020345882287124084,741029.3520513846
2014-07-03,2014-08-01,0.06496607963752066,789171.1239504953
2014-07-31,2014-08-29,-0.0038208912559013486,786155.786903583
2014-08-28,2014-09-29,0.0643503873500264,836745.2163082934
2014-09-26,2014-11-03,0.018288092535602152,852047.6902528618
2014-10-31,2014-12-01,0.059027087850187954,902341.5841179672
2014-11-28,2014-12-29,0.01709893268669238,917770.6621252036
2014-12-26,2015-01-28,0.07897370014053262,990250.4071936575
2015-01-27,2015-03-04,0.07205750038120207,1061605.3762875
2015-03-03,2015-04-01,0.16794883364065472,1239900.7610216339
2015-03-31,2015-04-30,0.12590277466208422,1396007.7071398874
2015-04-29,2015-05-29,0.06991676490391896,1493612.0498040458
2015-05-28,2015-06-29,-0.07624024132545093,1379738.706680384
2015-06-26,2015-07-27,-0.1007585975574129,1240718.16959959
2015-07-24,2015-08-24,-0.12534234496989094,1085203.6447752265
2015-08-21,2015-09-23,-0.1152562747540753,960127.1153288891
2015-09-22,2015-10-28,0.12888403116099223,1083872.1683794511
2015-10-27,2015-11-25,0.07152607689737156,1161397.2924418806
2015-11-24,2015-12-23,0.015096886811913457,1178930.7759095384
2015-12-22,2016-01-21,-0.1957411880326172,948165.4652247902
2016-01-20,2016-02-25,0.021812404237370187,968847.2336361875
2016-02-24,2016-03-24,0.008523498419494624,977105.2015008172
2016-03-23,2016-04-22,-0.027901629105530068,949842.3745714572
2016-04-21,2016-05-23,-0.04932265123112989,902993.6304059209
2016-05-20,2016-06-22,0.019996776018273987,921050.5917790763
2016-06-21,2016-07-20,0.07446301468391381,989634.795519349
2016-07-19,2016-08-17,0.03729124172338394,1026539.5058969328
2016-08-16,2016-09-14,-0.031422088811647764,994283.4903739743
2016-09-13,2016-10-21,0.02475719952857225,1018899.165133128
2016-10-20,2016-11-18,0.015792331151199157,1034989.9581585907
2016-11-17,2016-12-16,-0.05375107988899064,979358.1302333053
2016-12-15,2017-01-16,-0.017219548390727812,962494.0255179001
2017-01-13,2017-02-20,0.02020626033235362,981942.4303658498
2017-02-17,2017-03-20,0.02725828973976996,1008708.5016405359
2017-03-17,2017-04-19,-0.011331486129299795,997278.3352456894
2017-04-18,2017-05-18,-0.07196147355483085,925512.716697101
2017-05-17,2017-06-19,0.003394919474460023,928654.7578428765
2017-06-16,2017-07-17,0.011038490602087503,938905.704659909
2017-07-14,2017-08-14,-0.0034864560591153504,935632.2511769595
2017-08-11,2017-09-11,0.046705212529822404,979331.1543179355
2017-09-08,2017-10-16,0.023061091837415892,1001915.6000069039
2017-10-13,2017-11-13,-0.020782605879418492,981093.1829675193
2017-11-10,2017-12-11,-0.0568194180483228,925348.0392601282
2017-12-08,2018-01-09,0.037342888315233136,959903.207742939
2018-01-08,2018-02-06,-0.10049987871532495,863433.0517863223
2018-02-05,2018-03-13,0.07130296045867657,924998.3845365568
2018-03-12,2018-04-12,-0.02738023002155121,899671.7159983825
2018-04-11,2018-05-14,-0.013827823805433348,887231.214026825
2018-05-11,2018-06-11,-0.047460956789314945,845122.3717157665
2018-06-08,2018-07-10,-0.11880155954388294,744720.5159505083
2018-07-09,2018-08-07,-0.038833506619339375,715800.4068647864
2018-08-06,2018-09-04,-0.00019171879235069245,715663.1744752182
2018-09-03,2018-10-10,-0.01566832997927947,704449.9277035218
2018-10-09,2018-11-07,-0.04645223422769773,671726.6546601531
2018-11-06,2018-12-05,0.027766955561666418,690378.4588296884
2018-12-04,2019-01-04,-0.0983981569484601,622446.4908839287
2019-01-03,2019-02-01,0.04052585101311901,647671.6646371295
2019-01-31,2019-03-08,0.2151923168120593,787045.6306839165
2019-03-07,2019-04-08,0.11825667795048789,880119.032364043
2019-04-04,2019-05-09,-0.14677441820745185,750940.0734355052
2019-05-08,2019-06-06,-0.024827603536183185,732296.0310128161
2019-06-05,2019-07-05,0.0498654708065116,768812.31736901
2019-07-04,2019-08-02,-0.06700598126750446,717297.2936331554
2019-08-01,2019-08-30,0.008569836481703952,723444.4141483603
2019-08-29,2019-09-30,-0.008717587300590468,717137.7243108974
2019-09-27,2019-11-04,-0.004422521263114154,713966.1674765511
2019-11-01,2019-12-02,-0.02565796716546076,695647.2469941879
2019-11-29,2019-12-30,0.06195529095348684,738746.274582705
2019-12-27,2020-02-05,-0.08192659297829041,678223.3092307394
2020-02-04,2020-03-04,0.11845728198871108,758563.7990236019
2020-03-03,2020-04-01,-0.08734263212941795,692308.8401787897
2020-03-31,2020-04-30,0.018491898537477125,705110.9450079744
2020-04-29,2020-06-02,0.07372430141815278,757094.7568509809
2020-06-01,2020-07-02,0.040668981171273044,787885.0292622229
