signal_date,entry,exit,n_sel,n_fill,capital_ret,net_yuan
2012-03-08,2012-03-09,2012-04-11,53,49,-0.0618258661134371,-61825.86611343711
2012-04-10,2012-04-11,2012-05-11,54,49,0.054296677413565586,50939.73830539
2012-05-10,2012-05-11,2012-06-08,54,50,-0.04013397543462505,-39697.07184859866
2012-06-07,2012-06-08,2012-07-09,55,54,-0.053749641148424954,-51030.81231874111
2012-07-06,2012-07-09,2012-08-06,55,53,-0.04086910188862525,-36716.2284798912
2012-08-03,2012-08-06,2012-09-03,55,55,-0.08807270493063524,-75889.5864800337
2012-08-31,2012-09-03,2012-10-08,55,54,0.026569805657149947,20878.02648757049
2012-09-28,2012-10-08,2012-11-05,54,54,0.005126213912387545,4135.102485086303
2012-11-02,2012-11-05,2012-12-03,55,55,-0.06657074447236999,-53975.113729837234
2012-11-30,2012-12-03,2012-12-31,55,55,0.13239987637184591,100202.63456787844
2012-12-28,2012-12-31,2013-01-31,55,54,0.07770911197706609,66598.32709150063
2013-01-30,2013-01-31,2013-03-07,55,55,-0.015357749315381142,-14184.711368076853
2013-03-06,2013-03-07,2013-04-08,45,44,-0.07544551577138325,-68612.75028034556
2013-04-03,2013-04-08,2013-05-09,43,43,-0.008126280466500435,-6832.75286159222
2013-05-08,2013-05-09,2013-06-06,44,43,0.009344187121950176,7792.948670545011
2013-06-05,2013-06-06,2013-07-09,96,95,-0.19813146336172127,-166783.47653355205
2013-07-08,2013-07-09,2013-08-06,96,95,0.06737638479746355,45478.952447719406
2013-08-05,2013-08-06,2013-09-03,96,93,0.03526252109252481,25405.848105152952
2013-09-02,2013-09-03,2013-10-10,94,94,0.023186703091392147,17294.57248815347
2013-10-09,2013-10-10,2013-11-07,95,93,-0.039995344032881186,-30523.557894743164
2013-11-06,2013-11-07,2013-12-05,95,94,0.053563303125079065,39243.38021849969
2013-12-04,2013-12-05,2014-01-03,96,95,-0.04001626900125366,-30888.462121416116
2014-01-03,2014-01-06,2014-02-10,135,130,-0.0016612788662112576,-1231.0228253422538
2014-02-07,2014-02-10,2014-03-10,136,133,0.003908926615124875,2891.7383747836575
2014-03-07,2014-03-10,2014-04-08,135,134,0.013172731910291668,9782.990916036419
2014-04-04,2014-04-08,2014-05-08,134,131,-0.04796594468708126,-36092.11165335856
2014-05-07,2014-05-08,2014-06-06,132,129,0.01380918298092526,9892.35647893208
2014-06-05,2014-06-06,2014-07-04,132,127,0.020345882287124084,14776.259923101868
2014-07-03,2014-07-04,2014-08-01,134,130,0.06496607963752066,48141.77189911064
2014-07-31,2014-08-01,2014-08-29,133,131,-0.0038208912559013486,-3015.337046912289
2014-08-28,2014-08-29,2014-09-29,132,126,0.0643503873500264,50589.42940471042
2014-09-26,2014-09-29,2014-11-03,129,122,0.018288092535602152,15302.473944568424
2014-10-31,2014-11-03,2014-12-01,128,123,0.059027087850187954,50293.89386510535
2014-11-28,2014-12-01,2014-12-29,128,121,0.01709893268669238,15429.078007236472
2014-12-26,2014-12-29,2015-01-28,167,154,0.07897370014053262,72479.74506845383
2015-01-27,2015-01-28,2015-03-04,167,159,0.07205750038120207,71354.96909384243
2015-03-03,2015-03-04,2015-04-01,169,157,0.16794883364065472,178295.38473413396
2015-03-31,2015-04-01,2015-04-30,162,153,0.12590277466208422,156106.94611825352
2015-04-29,2015-04-30,2015-05-29,166,152,0.06991676490391896,97604.34266415844
2015-05-28,2015-05-29,2015-06-29,159,140,-0.07624024132545093,-113873.34312366182
2015-06-26,2015-06-29,2015-07-27,161,142,-0.1007585975574129,-139020.5370807941
2015-07-24,2015-07-27,2015-08-24,155,140,-0.12534234496989094,-155514.5248243634
2015-08-21,2015-08-24,2015-09-23,154,141,-0.1152562747540753,-125076.52944633737
2015-09-22,2015-09-23,2015-10-28,156,148,0.12888403116099223,123745.05305056204
2015-10-27,2015-10-28,2015-11-25,158,152,0.07152607689737156,77525.12406242942
2015-11-24,2015-11-25,2015-12-23,163,156,0.015096886811913457,17533.483467657818
2015-12-22,2015-12-23,2016-01-21,166,162,-0.1957411880326172,-230765.31068474823
2016-01-20,2016-01-21,2016-02-25,167,163,0.021812404237370187,20681.768411397352
2016-02-24,2016-02-25,2016-03-24,167,163,0.008523498419494624,8257.967864629696
2016-03-23,2016-03-24,2016-04-22,167,159,-0.027901629105530068,-27262.826929360046
2016-04-21,2016-04-22,2016-05-23,164,162,-0.04932265123112989,-46848.74416553625
2016-05-20,2016-05-23,2016-06-22,164,160,0.019996776018273987,18056.961373155355
2016-06-21,2016-06-22,2016-07-20,165,162,0.07446301468391381,68584.20374027279
2016-07-19,2016-07-20,2016-08-17,166,165,0.03729124172338394,36904.710377583746
2016-08-16,2016-08-17,2016-09-14,167,166,-0.031422088811647764,-32256.015522958478
2016-09-13,2016-09-14,2016-10-21,165,159,0.02475719952857225,24615.674759153626
2016-10-20,2016-10-21,2016-11-18,166,156,0.015792331151199157,16090.793025462772
2016-11-17,2016-11-18,2016-12-16,164,161,-0.05375107988899064,-55631.82792528544
2016-12-15,2016-12-16,2017-01-16,163,160,-0.017219548390727812,-16864.10471540515
2017-01-13,2017-01-16,2017-02-20,164,160,0.02020626033235362,19448.404847949627
2017-02-17,2017-02-20,2017-03-20,165,163,0.02725828973976996,26766.07127468614
2017-03-17,2017-03-20,2017-04-19,179,174,-0.011331486129299795,-11430.166394846514
2017-04-18,2017-04-19,2017-05-18,177,171,-0.07196147355483085,-71765.61854858836
2017-05-17,2017-05-18,2017-06-19,175,171,0.003394919474460023,3142.041145775467
2017-06-16,2017-06-19,2017-07-17,175,172,0.011038490602087503,10250.946817032527
2017-07-14,2017-07-17,2017-08-14,177,177,-0.0034864560591153504,-3273.453482949524
2017-08-11,2017-08-14,2017-09-11,177,177,0.046705212529822404,43698.90314097598
2017-09-08,2017-09-11,2017-10-16,179,174,0.023061091837415892,22584.445688968408
2017-10-13,2017-10-16,2017-11-13,183,178,-0.020782605879418492,-20822.4170393846
2017-11-10,2017-11-13,2017-12-11,182,174,-0.0568194180483228,-55745.14370739111
2017-12-08,2017-12-11,2018-01-09,180,177,0.037342888315233136,34555.16848281084
2018-01-08,2018-01-09,2018-02-06,179,173,-0.10049987871532495,-96470.15595661674
2018-02-05,2018-02-06,2018-03-13,178,176,0.07130296045867657,61565.33275023452
2018-03-12,2018-03-13,2018-04-12,180,177,-0.02738023002155121,-25326.668538174243
2018-04-11,2018-04-12,2018-05-14,180,176,-0.013827823805433348,-12440.501971557504
2018-05-11,2018-05-14,2018-06-11,180,178,-0.047460956789314945,-42108.84231105854
2018-06-08,2018-06-11,2018-07-10,179,177,-0.11880155954388294,-100401.8557652582
2018-07-09,2018-07-10,2018-08-07,179,178,-0.038833506619339375,-28920.109085721895
2018-08-06,2018-08-07,2018-09-04,182,181,-0.00019171879235069245,-137.2323895682348
2018-09-03,2018-09-04,2018-10-10,183,183,-0.01566832997927947,-11213.246771696373
2018-10-09,2018-10-10,2018-11-07,184,179,-0.04645223422769773,-32723.27304336871
2018-11-06,2018-11-07,2018-12-05,186,185,0.027766955561666418,18651.804169535288
2018-12-04,2018-12-05,2019-01-04,187,185,-0.0983981569484601,-67931.96794575965
2019-01-03,2019-01-04,2019-02-01,187,179,0.04052585101311901,25225.173753200797
2019-01-31,2019-02-01,2019-03-08,189,184,0.2151923168120593,139373.96604678698
2019-03-07,2019-03-08,2019-04-08,189,183,0.11825667795048789,93073.40168012655
2019-04-04,2019-04-08,2019-05-09,188,179,-0.14677441820745185,-129178.9589285379
2019-05-08,2019-05-09,2019-06-06,187,187,-0.024827603536183185,-18644.04242268903
2019-06-05,2019-06-06,2019-07-05,187,187,0.0498654708065116,36516.28635619383
2019-07-04,2019-07-05,2019-08-02,187,186,-0.06700598126750446,-51515.02373585454
2019-08-01,2019-08-02,2019-08-30,188,188,0.008569836481703952,6147.12051520485
2019-08-29,2019-08-30,2019-09-30,188,186,-0.008717587300590468,-6306.689837462851
2019-09-27,2019-09-30,2019-11-04,187,186,-0.004422521263114154,-3171.5568343462655
2019-11-01,2019-11-04,2019-12-02,195,194,-0.02565796716546076,-18318.920482363203
2019-11-29,2019-12-02,2019-12-30,324,321,0.06195529095348684,43099.027588517056
2019-12-27,2019-12-30,2020-02-05,325,322,-0.08192659297829041,-60522.96535196563
2020-02-04,2020-02-05,2020-03-04,327,326,0.11845728198871108,80340.48979286256
2020-03-03,2020-03-04,2020-04-01,330,328,-0.08734263212941795,-66254.95884481224
2020-03-31,2020-04-01,2020-04-30,332,320,0.018491898537477125,12802.104829184711
2020-04-29,2020-04-30,2020-06-02,332,321,0.07372430141815278,51983.81184300652
2020-06-01,2020-06-02,2020-07-02,332,329,0.040668981171273044,30790.27241124201
2020-07-02,2020-07-03,2020-07-31,331,327,0.07898027644490391,62227.377417931566
2020-07-30,2020-07-31,2020-08-28,334,332,0.039124579411556004,33260.290363906766
2020-08-27,2020-08-28,2020-09-25,335,333,-0.04338162116224642,-38322.13968823734
2020-09-24,2020-09-25,2020-11-02,336,336,-0.025248149291689947,-21335.96263114561
2020-10-30,2020-11-02,2020-11-30,347,345,0.0309128970678767,25463.40448003169
2020-11-27,2020-11-30,2020-12-28,354,352,-0.05046920217709838,-42857.33612620644
