signal_date,exit,capital_ret,equity
2012-01-04,2012-02-09,-0.04132359586822571,958676.4041317742
2012-02-08,2012-03-08,0.02908520680848658,986559.7056083631
2012-03-07,2012-04-10,-0.004539054292536232,982081.6575417783
2012-04-09,2012-05-10,-0.028736629378576694,953859.9409295019
2012-05-09,2012-06-07,-0.03250691518456436,922852.896731753
2012-06-06,2012-07-06,-0.006987503514227576,916404.4588727248
2012-07-05,2012-08-03,-0.02450180240198279,893950.8979011293
2012-08-02,2012-08-31,0.034257322993572405,924575.2625509223
2012-08-30,2012-09-28,-0.028982150521284708,897779.0831234151
2012-09-27,2012-11-02,0.0012546464516780785,898905.4784644467
2012-11-01,2012-11-30,-0.03371408800985898,868599.700050952
2012-11-29,2012-12-28,-0.02481382293704286,847046.4208907192
2012-12-27,2013-01-30,-0.01069963472310076,837983.3335936787
2013-01-29,2013-03-06,0.03627071536118751,868377.5885638739
2013-03-05,2013-04-03,0.021455510426450244,887009.0729694018
2013-04-02,2013-05-08,-0.016562419483485455,872318.056617225
2013-05-07,2013-06-05,0.009934980852481423,880984.5198069909
2013-06-04,2013-07-08,0.00461940631097818,885054.1452576614
2013-07-05,2013-08-05,0.010476734382707506,894326.6224518401
2013-08-02,2013-09-02,0.03860879313269455,928855.4940111446
2013-08-30,2013-10-09,-0.002539662281093688,926496.5147484179
2013-10-08,2013-11-06,0.013988291704943152,939456.6182603319
2013-11-05,2013-12-04,-0.003198994390009563,936451.3018088597
2013-12-03,2014-01-02,0.0421856772334655,975956.1341718268
2013-12-31,2014-01-30,0.021235791258102724,996681.3349141645
2014-01-29,2014-03-06,0.04371338274029565,1040249.6475773761
2014-03-05,2014-04-03,-0.0034578166741552497,1036652.655000699
2014-04-02,2014-05-06,-0.008076644086185771,1028279.9804652588
2014-05-05,2014-06-04,-0.014599509801996815,1013267.5968112592
2014-06-03,2014-07-02,0.002290474261630114,1015588.4601618991
2014-07-01,2014-07-30,-0.0073145706882756165,1008159.866579848
2014-07-29,2014-08-27,0.029469189967427718,1037869.5212056262
2014-08-26,2014-09-25,0.03622281664375887,1075464.0785724034
2014-09-24,2014-10-30,0.026278300402211057,1103725.4467009162
2014-10-29,2014-11-27,-0.046124262269037895,1052816.9247242722
2014-11-26,2014-12-25,-0.1771106536402923,866351.8310227939
2014-12-24,2015-01-26,-0.026199299793129176,843654.0196755013
2015-01-23,2015-03-02,0.05932061717796545,893700.0968073234
2015-02-27,2015-03-30,0.063114959546517,950105.9422640359
2015-03-27,2015-04-28,-0.03155289045956694,920127.3535427952
2015-04-27,2015-05-27,0.08587180217625263,999140.3476231808
2015-05-26,2015-06-25,0.05151106422806233,1050607.130242447
2015-06-24,2015-07-23,-0.03741005650106942,1011303.8581396505
2015-07-22,2015-08-20,0.044049896810174086,1055851.6887344331
2015-08-19,2015-09-21,-0.0771266330383584,974417.4029944815
2015-09-18,2015-10-26,0.08653153499334836,1058735.2365998263
2015-10-23,2015-11-23,0.027773656875764045,1088140.1857834307
2015-11-20,2015-12-21,0.004498554154575517,1093035.2433369472
2015-12-18,2016-01-19,-0.03139831477340613,1058715.7787082272
2016-01-18,2016-02-23,0.034135253339506635,1094855.3100289656
2016-02-22,2016-03-22,-0.024461948157047095,1068073.0161955694
2016-03-21,2016-04-20,0.03518205802173291,1105650.0230228093
2016-04-19,2016-05-19,-0.04000837539005647,1061414.7618516881
2016-05-18,2016-06-20,-0.00852203831351091,1052369.344584662
2016-06-17,2016-07-18,0.004028679134527875,1056609.003005007
2016-07-15,2016-08-15,-0.011955517039919712,1043976.6960650481
2016-08-12,2016-09-12,0.016176615668087497,1060864.7058437322
2016-09-09,2016-10-19,0.011153363318680531,1072696.9153399724
2016-10-18,2016-11-16,-0.005609974298351281,1066679.1132149943
2016-11-15,2016-12-14,-0.03079752488823956,1033828.0366779902
2016-12-13,2017-01-12,0.023335702987712148,1057953.1406822773
2017-01-11,2017-02-16,-0.02652925865906817,1029886.4281639436
2017-02-15,2017-03-16,0.010981971104318427,1041196.6111587697
2017-03-15,2017-04-17,-0.012027593300234004,1028673.5217741702
2017-04-14,2017-05-16,-0.05719928815232963,969834.1285875377
2017-05-15,2017-06-15,-0.048294479366429006,922996.4942756081
2017-06-14,2017-07-13,-0.03114226082208968,894252.2967130027
2017-07-12,2017-08-10,-0.021668354926320025,874875.3205541485
2017-08-09,2017-09-07,-0.0025733198742812803,872623.9865042482
2017-09-06,2017-10-12,0.0004982648691939442,873058.7843807393
2017-10-11,2017-11-09,-0.04454116832108678,834171.7261114334
2017-11-08,2017-12-07,-0.04569262797027193,796056.227766904
2017-12-06,2018-01-05,-0.010831636199785583,787433.6363131594
2018-01-04,2018-02-02,-0.06408041827401657,736974.5595351823
2018-02-01,2018-03-09,0.03888848215440502,765634.3815419169
2018-03-08,2018-04-10,0.028964438909990807,787810.5518134763
2018-04-09,2018-05-10,-0.008427059415123466,781171.6254854829
2018-05-09,2018-06-07,-0.03394219461333474,754656.9461468396
2018-06-06,2018-07-06,-0.03055132091577223,731601.179603791
2018-07-05,2018-08-03,-0.0012872046216132272,730659.4591842273
2018-08-02,2018-08-31,-0.01946526844668925,716436.9766680935
2018-08-30,2018-10-08,-0.03095360923776331,694260.6664488247
2018-09-28,2018-11-05,-0.026758086446902578,675683.5795193028
2018-11-02,2018-12-03,0.029096619318120763,695343.6874120812
2018-11-30,2019-01-02,0.018797981617680135,708414.7452660234
2018-12-28,2019-01-30,-0.03533667681595936,683381.7223608978
2019-01-29,2019-03-06,-0.01799068239249202,671087.2188410687
2019-03-05,2019-04-03,0.037444682767613896,696215.8668599727
2019-04-02,2019-05-07,-0.038162601638465146,669646.4580786169
2019-05-06,2019-06-04,-0.0034492176532021513,667336.7016940078
2019-06-03,2019-07-03,-0.0495299590248621,634283.542203317
2019-07-02,2019-07-31,-0.01655920717243815,623780.3096219044
2019-07-30,2019-08-28,-0.011412625426209997,616661.3385999443
2019-08-27,2019-09-26,-0.0021109811614185223,615359.5781311847
2019-09-25,2019-10-31,-0.010253120135351144,609050.2224501666
2019-10-30,2019-11-28,-0.014245323216816897,600374.1051760897
2019-11-27,2019-12-26,0.003003564692642364,602177.3676407733
2019-12-25,2020-02-03,0.005689974502580051,605603.74150868
2020-01-23,2020-03-02,-0.005709936469760748,602145.7826188161
2020-02-28,2020-03-30,0.05559909471398093,635624.5430182638
2020-03-27,2020-04-28,-0.020757549640030022,622430.5350141408
2020-04-27,2020-05-29,0.0037380397403606143,624757.2050896375
2020-05-28,2020-06-30,-0.04412825661598552,597187.7588207561
2020-06-29,2020-07-28,-0.008373021509181344,592187.4928711301
2020-07-27,2020-08-25,0.026590134011555126,607933.8376665403
2020-08-24,2020-09-22,0.005920616600938174,611533.1808381008
2020-09-21,2020-10-28,-0.035923440692460874,589564.8048847914
2020-10-27,2020-11-25,-0.019059591410076737,578327.9405939257
2020-11-24,2020-12-23,-0.04878632959192248,550113.4430718926
2020-12-22,2021-01-21,-0.10633294129355447,491618.2626249339
2021-01-20,2021-02-25,0.001986186594080326,492594.7082275646
2021-02-24,2021-03-25,0.11141553497640695,547477.4111712858
2021-03-24,2021-04-23,-0.008562727586130962,542789.5112398658
2021-04-22,2021-05-26,-0.04930650465238136,516026.45767865353
2021-05-25,2021-06-24,0.02475361054351917,528799.9756421826
2021-06-23,2021-07-22,-0.016999517733676056,519810.6310786859
2021-07-21,2021-08-19,0.046409460770416786,543934.7621697779
2021-08-18,2021-09-16,0.05375698242245342,573175.0536187001
2021-09-15,2021-10-25,-0.04889823222703307,545147.8067401109
2021-10-22,2021-11-22,0.04811615205118281,571378.2214995868
2021-11-19,2021-12-20,0.023236173914335315,584654.8652252149
2021-12-17,2022-01-18,0.07357282751733837,627669.5767816023
2022-01-17,2022-02-22,-0.001974782260066244,626430.0660361907
2022-02-21,2022-03-22,0.009633017779605915,632464.4779999971
2022-03-21,2022-04-21,0.005046221730778053,635656.0339928259
2022-04-20,2022-05-24,-0.004889245160322404,632548.1558049967
2022-05-23,2022-06-22,-0.035887182021799205,609847.7850000694
2022-06-21,2022-07-20,0.026435676637554147,625969.5238424599
2022-07-19,2022-08-17,0.042450294079528064,652542.1142143945
2022-08-16,2022-09-15,0.013173196501011649,661138.1797101262
2022-09-14,2022-10-20,0.0313884734996396,681890.2979435576
2022-10-19,2022-11-17,0.01985452776127425,695428.9077942215
2022-11-16,2022-12-15,-0.01502266904932505,684981.7094650954
2022-12-14,2023-01-13,-0.03742236789537576,659348.0719318892
2023-01-12,2023-02-17,0.03992817498311335,685674.637122764
2023-02-16,2023-03-17,0.019830722566873692,699272.0606226873
2023-03-16,2023-04-17,-0.03027186882675057,678103.7885293057
2023-04-14,2023-05-18,0.017552373025261445,690006.119175415
2023-05-17,2023-06-15,-0.009728323167743181,683293.5166603563
2023-06-14,2023-07-17,0.0012696000216685073,684161.0261239143
2023-07-14,2023-08-14,-0.003204590154328622,681968.5704356222
2023-08-11,2023-09-11,0.016703116305005466,693359.5707839668
2023-09-08,2023-10-17,0.007913473516581723,698846.4533848342
2023-10-16,2023-11-14,0.015830821223416856,709909.7666509885
2023-11-13,2023-12-12,0.03187880422399384,732540.8411187566
2023-12-11,2024-01-10,0.013212280338597619,742219.3760710898
2024-01-09,2024-02-07,-0.14110494307102017,637488.5532643705
