signal_date,entry,exit,n_sel,n_fill,lo_ret,idx_ret,capital_ret,net_yuan,equity
2010-01-04,2010-01-05,2010-02-02,289,284,-0.03567912019373931,-0.10561070069587242,0.055612285383035726,55612.28538303566,1055612.2853830357
2010-02-01,2010-02-02,2010-03-09,294,285,0.051634679744688494,0.03621821759945498,0.01180078204088076,12457.050499481149,1068069.3358825168
2010-03-08,2010-03-09,2010-04-07,297,292,0.02925315846913512,0.03575276507934588,-0.007290591036993036,-7786.856727072271,1060282.4791554445
2010-04-06,2010-04-07,2010-05-06,300,292,-0.08978979693296885,-0.1140669215330774,0.015795275352587707,16747.45370978443,1077029.932865229
2010-05-05,2010-05-06,2010-06-03,305,294,-0.11529338470873707,-0.08153145533365835,-0.033430037622027425,-36005.151175734354,1041024.7816894946
2010-06-02,2010-06-03,2010-07-06,312,298,-0.1088378154325007,-0.09542089487559136,-0.017256424069351017,-17964.365099537536,1023060.4165899571
2010-07-05,2010-07-06,2010-08-03,316,308,0.15158741021927757,0.16782507675049008,-0.0124484823337698,-12735.54952229932,1010324.8670676578
2010-08-02,2010-08-03,2010-08-31,321,317,0.03870284522481504,-0.006871207589094874,0.03637749424683093,36753.08703918394,1047077.9541068417
2010-08-30,2010-08-31,2010-10-08,324,317,0.006203948670319814,0.020825086484346667,-0.014312020495804947,-14985.80113988265,1032092.152966959
2010-09-30,2010-10-08,2010-11-05,334,325,0.09710482595063663,0.19332692664340012,-0.07961490494977677,-82169.91865787492,949922.2343090841
2010-11-04,2010-11-05,2010-12-03,339,326,-0.01655613106726672,-0.10654452258977842,0.07078951813925152,67244.53723650123,1017166.7715455854
2010-12-02,2010-12-03,2010-12-31,343,331,-0.04426228800323062,-0.029374464330329753,-0.015763669421209,-16034.280732883024,1001132.4908127023
2010-12-30,2010-12-31,2011-01-31,345,335,-0.028953800027232024,-0.010957788240660848,-0.017815976498535665,-17836.15292823955,983296.3378844628
2011-01-28,2011-01-31,2011-03-07,353,337,0.08434351015845687,0.08301651830718648,0.0021147740577370094,2079.4495864257915,985375.7874708886
2011-03-04,2011-03-07,2011-04-06,357,350,0.0028361271732351145,-0.005542357053120783,0.004758223272371161,4688.63800397492,990064.4254748635
2011-04-01,2011-04-06,2011-05-05,361,352,-0.04744382594104346,-0.04716458817015834,-0.0034956082861938853,-3460.8774095557164,986603.5480653078
2011-05-04,2011-05-05,2011-06-02,369,359,-0.10385817869428926,-0.04634670947030495,-0.052206115177599335,-51506.738464925555,935096.8096003822
2011-06-01,2011-06-02,2011-07-01,378,369,-0.01755483270901692,0.02743189155162362,-0.039944928737230316,-37352.37542189867,897744.4341784836
