signal_date,entry,exit,n_sel,n_fill,capital_ret,net_yuan,equity
2010-01-04,2010-01-05,2010-02-02,289,284,-0.03567912019373931,-35679.120193739305,964320.8798062607
2010-02-01,2010-02-02,2010-03-09,294,285,0.051634679744688494,49792.39979991247,1014113.2796061732
2010-03-08,2010-03-09,2010-04-07,297,292,0.02925315846913512,29666.016473973752,1043779.2960801469
2010-04-06,2010-04-07,2010-05-06,300,292,-0.08978979693296885,-93720.73103787354,950058.5650422734
2010-05-05,2010-05-06,2010-06-03,305,294,-0.11529338470873707,-109535.46763524949,840523.0974070239
2010-06-02,2010-06-03,2010-07-06,312,298,-0.1088378154325007,-91480.69774233946,749042.3996646844
2010-07-05,2010-07-06,2010-08-03,316,308,0.15158741021927757,113545.3975096026,862587.797174287
2010-08-02,2010-08-03,2010-08-31,321,317,0.03870284522481504,33384.60200685065,895972.3991811377
2010-08-30,2010-08-31,2010-10-08,324,317,0.006203948670319814,5558.5667745430255,901530.9659556807
2010-09-30,2010-10-08,2010-11-05,334,325,0.09710482595063663,87543.00753823575,989073.9734939164
2010-11-04,2010-11-05,2010-12-03,339,326,-0.01655613106726672,-16375.238340387587,972698.7351535289
2010-12-02,2010-12-03,2010-12-31,343,331,-0.04426228800323062,-43053.87155574362,929644.8635977852
2010-12-30,2010-12-31,2011-01-31,345,335,-0.028953800027232024,-26916.75147695362,902728.1121208316
2011-01-28,2011-01-31,2011-03-07,353,337,0.08434351015845687,76139.25769498805,978867.3698158197
2011-03-04,2011-03-07,2011-04-06,357,350,0.0028361271732351145,2776.1923465279397,981643.5621623476
2011-04-01,2011-04-06,2011-05-05,361,352,-0.04744382594104346,-46572.9262993763,935070.6358629713
2011-05-04,2011-05-05,2011-06-02,369,359,-0.10385817869428926,-97114.73319123918,837955.9026717321
2011-06-01,2011-06-02,2011-07-01,378,369,-0.01755483270901692,-14710.17568893556,823245.7269827966
2011-06-30,2011-07-01,2011-07-29,378,371,0.0038706301222919404,3186.47970890766,826432.2066917042
2011-07-28,2011-07-29,2011-08-26,389,380,-0.0253687699206514,-20965.5685065781,805466.6381851261
2011-08-25,2011-08-26,2011-09-26,395,382,-0.07770248221591503,-62586.757129092584,742879.8810560335
2011-09-23,2011-09-26,2011-10-31,401,397,-0.009762182325184665,-7252.128844580497,735627.752211453
2011-10-28,2011-10-31,2011-11-28,404,391,-0.01071206839739336,-7880.094796709833,727747.6574147432
2011-11-25,2011-11-28,2011-12-26,409,393,-0.1207525031901232,-87877.3513235785,639870.3060911647
2011-12-23,2011-12-26,2012-02-01,411,398,-0.034733967763623474,-22225.234584670397,617645.0715064943
2012-01-31,2012-02-01,2012-02-29,416,406,0.10586867281933321,65389.26399379468,683034.335500289
2012-02-28,2012-02-29,2012-03-28,417,406,-0.028158165586875228,-19232.993920538458,663801.3415797505
2012-03-27,2012-03-28,2012-05-02,421,408,0.01807363449951649,11997.302828001091,675798.6444077516
2012-04-27,2012-05-02,2012-05-30,409,395,-0.02525804888169292,-17069.35519463278,658729.2892131188
2012-05-29,2012-05-30,2012-06-28,424,391,-0.05827093164939057,-38384.7693871893,620344.5198259295
2012-06-27,2012-06-28,2012-07-26,433,415,-0.0562476962145414,-34892.95009952446,585451.5697264051
2012-07-25,2012-07-26,2012-08-23,442,437,-0.007026516497343094,-4113.685113077983,581337.8846133271
2012-08-22,2012-08-23,2012-09-20,447,447,-0.024314949829435162,-14135.201498323004,567202.6831150041
2012-09-19,2012-09-20,2012-10-25,455,452,0.004546119530182358,2578.5711952809943,569781.2543102851
2012-10-24,2012-10-25,2012-11-22,458,453,-0.05185339987770521,-29545.095222571632,540236.1590877135
2012-11-21,2012-11-22,2012-12-20,463,456,0.0073619181134998435,3977.174365155399,544213.3334528689
2012-12-19,2012-12-20,2013-01-22,463,455,0.11737301089462626,63875.957516364404,608089.2909692333
2013-01-21,2013-01-22,2013-02-26,463,457,0.016633747971274593,10114.804010013351,618204.0949792466
2013-02-25,2013-02-26,2013-03-26,465,462,0.007568816591416949,4679.073410960846,622883.1683902075
2013-03-25,2013-03-26,2013-04-25,464,462,-0.045244421026255144,-28181.98832081433,594701.1800693931
2013-04-24,2013-04-25,2013-05-28,465,455,0.05177628275430135,30791.41645358957,625492.5965229827
2013-05-27,2013-05-28,2013-06-28,465,459,-0.17020686572899768,-106463.13439086941,519029.4621321133
2013-06-27,2013-06-28,2013-07-26,464,457,0.03151256767331567,16355.951049882802,535385.4131819961
2013-07-25,2013-07-26,2013-08-23,463,454,0.05688625893630306,30456.073244990665,565841.4864269868
2013-08-22,2013-08-23,2013-09-24,462,449,0.08417871527255905,47631.809375338955,613473.2958023257
2013-09-23,2013-09-24,2013-10-29,461,449,-0.005661236202669673,-3473.0172315671807,610000.2785707585
2013-10-28,2013-10-29,2013-11-26,462,455,0.025371243693749435,15476.465720873792,625476.7442916323
2013-11-25,2013-11-26,2013-12-24,459,449,-0.023882578229318163,-14937.997276164126,610538.7470154682
2013-12-23,2013-12-24,2014-01-22,460,454,-0.03963625892833078,-24199.47186248377,586339.2751529844
2014-01-21,2014-01-22,2014-02-26,460,453,0.031986230380693925,18754.783136292477,605094.0582892769
2014-02-25,2014-02-26,2014-03-26,457,436,0.050837015102089156,30761.175779436366,635855.2340687133
2014-03-25,2014-03-26,2014-04-24,455,443,-0.004020190292293391,-2556.259039307013,633298.9750294063
2014-04-23,2014-04-24,2014-05-26,451,439,-0.018936171919382017,-11992.258267525234,621306.716761881
2014-05-23,2014-05-26,2014-06-24,457,445,-0.018602153357679785,-11557.642827361007,609749.07393452
2014-06-23,2014-06-24,2014-07-22,454,445,0.051245503728361674,31246.898441676516,640995.9723761965
2014-07-21,2014-07-22,2014-08-19,450,440,0.10304463624743465,66051.19680957578,707047.1691857723
2014-08-18,2014-08-19,2014-09-17,450,430,0.061472047433696275,43463.63712204853,750510.8063078208
2014-09-16,2014-09-17,2014-10-22,450,436,0.05627654289707862,42236.153585903114,792746.959893724
2014-10-21,2014-10-22,2014-11-19,451,434,0.03911125605708632,31005.329336880124,823752.2892306041
2014-11-18,2014-11-19,2014-12-17,453,441,0.12674930406613116,104410.02938286145,928162.3186134655
2014-12-16,2014-12-17,2015-01-16,453,431,-0.026129489874109124,-24252.407905740198,903909.9107077253
2015-01-15,2015-01-16,2015-02-13,452,435,0.04838675276675786,43737.265372836846,947647.1760805622
2015-02-12,2015-02-13,2015-03-20,455,429,0.19315314944646245,183041.03662400693,1130688.212704569
2015-03-19,2015-03-20,2015-04-20,450,414,0.15295184470754997,172940.84792224644,1303629.0606268155
2015-04-17,2015-04-20,2015-05-19,445,415,0.08587669568726053,111951.35612851824,1415580.4167553338
2015-05-18,2015-05-19,2015-06-16,445,399,0.26034063445093625,368533.1038144042,1784113.520569738
2015-06-15,2015-06-16,2015-07-15,435,324,-0.2369342945921189,-422717.67846845277,1361395.8421012852
2015-07-14,2015-07-15,2015-08-12,370,275,0.00405798486180986,5524.523718177807,1366920.365819463
2015-08-11,2015-08-12,2015-09-11,435,401,-0.21439870092037128,-293065.9506932916,1073854.4151261714
2015-09-10,2015-09-11,2015-10-16,451,420,0.07590842309036572,81514.59528085473,1155369.0104070262
2015-10-15,2015-10-16,2015-11-13,460,433,0.09732990996407342,112451.96175819659,1267820.9721652227
2015-11-12,2015-11-13,2015-12-11,478,456,-0.02236058827538956,-28349.222765490646,1239471.749399732
2015-12-10,2015-12-11,2016-01-11,491,464,-0.07908868737440145,-98028.19369767793,1141443.5557020542
2016-01-08,2016-01-11,2016-02-15,495,479,-0.14650332293905688,-167225.27385772334,974218.2818443308
2016-02-05,2016-02-15,2016-03-14,496,481,0.03490894999438643,34008.93728452083,1008227.2191288517
2016-03-11,2016-03-14,2016-04-12,498,481,0.11479722540411896,115741.68733290292,1123968.9064617546
2016-04-11,2016-04-12,2016-05-11,490,475,-0.07436926050743897,-83588.73640691559,1040380.170054839
2016-05-10,2016-05-11,2016-06-08,493,479,-0.0008362450240583241,-870.0127403372899,1039510.1573145017
2016-06-07,2016-06-08,2016-07-08,498,489,0.012134382828970391,12613.814203457441,1052123.9715179591
2016-07-07,2016-07-08,2016-08-05,504,495,0.0022025759705015524,2317.382977654226,1054441.3544956134
2016-08-04,2016-08-05,2016-09-02,513,503,0.03214290103122597,33892.80410078447,1088334.1585963978
2016-09-01,2016-09-02,2016-10-11,518,504,0.019957266453067835,21720.174793083686,1110054.3333894815
2016-10-10,2016-10-11,2016-11-08,519,511,0.02561735514897112,28436.656093092635,1138490.9894825742
2016-11-07,2016-11-08,2016-12-06,527,514,0.010343096592414946,11775.522273812443,1150266.5117563866
2016-12-05,2016-12-06,2017-01-04,530,518,-0.0265786405011621,-30572.520096498774,1119693.9916598878
2017-01-03,2017-01-04,2017-02-08,535,529,-0.014745744990040444,-16510.722067897208,1103183.2695919906
2017-02-07,2017-02-08,2017-03-08,540,536,0.037589771358975455,41468.40687100985,1144651.6764630005
2017-03-07,2017-03-08,2017-04-07,544,535,0.0035829331283505628,4101.210412021261,1148752.8868750217
2017-04-06,2017-04-07,2017-05-08,553,536,-0.08096679401615803,-93010.83836707682,1055742.048507945
2017-05-05,2017-05-08,2017-06-07,558,537,-0.0496499460942027,-52417.535797802615,1003324.5127101423
2017-06-06,2017-06-07,2017-07-05,561,547,0.0207968028198251,20865.942055130028,1024190.4547652723
2017-07-04,2017-07-05,2017-08-02,573,563,0.0070901490999339956,7261.6630310150795,1031452.1177962874
2017-08-01,2017-08-02,2017-08-30,582,577,0.008317871075848915,8579.48573674087,1040031.6035330283
2017-08-29,2017-08-30,2017-09-27,595,584,-0.0017415694245372926,-1811.2872412656434,1038220.3162917626
2017-09-26,2017-09-27,2017-11-01,605,591,0.006100982918630704,6334.164415471489,1044554.4807072341
2017-10-31,2017-11-01,2017-11-29,613,593,-0.052517621163635564,-54857.51650256058,989696.9642046735
2017-11-28,2017-11-29,2017-12-27,617,598,-0.02457000008555832,-24316.85449518566,965380.1097094879
2017-12-26,2017-12-27,2018-01-25,621,611,0.033274422816643945,32122.465949251666,997502.5756587395
2018-01-24,2018-01-25,2018-03-01,629,593,-0.08765770173493326,-87438.78325692145,910063.7924018181
2018-02-28,2018-03-01,2018-03-29,623,605,0.0020423601903818422,1858.6780603094958,911922.4704621276
2018-03-28,2018-03-29,2018-05-02,629,621,-0.026427555924539714,-24099.882086982252,887822.5883751453
2018-04-27,2018-05-02,2018-05-30,634,620,-0.013795166247542068,-12247.660204958287,875574.928170187
2018-05-29,2018-05-30,2018-06-28,643,613,-0.1392393212039803,-121914.45866164065,753660.4695085464
2018-06-27,2018-06-28,2018-07-26,644,638,0.018135939689182923,13668.340821128222,767328.8103296746
2018-07-25,2018-07-26,2018-08-23,659,659,-0.06479553793187409,-49719.48303593625,717609.3272937384
2018-08-22,2018-08-23,2018-09-20,666,660,-0.01092311952866376,-7838.532456913497,709770.7948368249
2018-09-19,2018-09-20,2018-10-26,671,660,-0.09046919164271783,-64212.390060496866,645558.404776328
2018-10-25,2018-10-26,2018-11-23,674,671,0.0962357469947781,62125.795312407194,707684.2000887352
2018-11-22,2018-11-23,2018-12-21,686,682,-0.05411127167398355,-38293.69201038731,669390.5080783479
2018-12-20,2018-12-21,2019-01-22,691,687,0.028296189242878578,18941.200493971584,688331.7085723195
2019-01-21,2019-01-22,2019-02-26,691,688,0.10349064920536177,71235.89538878517,759567.6039611046
2019-02-25,2019-02-26,2019-03-26,692,685,0.08887858205023558,67509.29161135782,827076.8955724625
2019-03-25,2019-03-26,2019-04-24,691,683,0.02651783853803069,21932.291575326235,849009.1871477887
2019-04-23,2019-04-24,2019-05-27,694,692,-0.1193393393338672,-101320.19548260071,747688.991665188
2019-05-24,2019-05-27,2019-06-25,688,683,0.015647404636784046,11699.39219505433,759388.3838602423
2019-06-24,2019-06-25,2019-07-23,689,686,-0.04986686397971507,-37868.31724573439,721520.0666145079
2019-07-22,2019-07-23,2019-08-20,691,686,-0.011772623112068947,-8494.183812047471,713025.8828024605
2019-08-19,2019-08-20,2019-09-18,693,691,0.032116426017295474,22899.843013442005,735925.7258159025
2019-09-17,2019-09-18,2019-10-23,695,690,-0.01656663526508184,-12191.81308178266,723733.9127341198
2019-10-22,2019-10-23,2019-11-20,701,696,-0.025860457418453997,-18716.090032551787,705017.822701568
2019-11-19,2019-11-20,2019-12-18,705,702,0.03847302128591523,27124.16569974704,732141.9884013151
2019-12-17,2019-12-18,2020-01-16,706,703,0.037637404088556536,27555.923867659643,759697.9122689747
2020-01-15,2020-01-16,2020-02-21,707,706,-0.048263767775495126,-36665.883617278305,723032.0286516964
2020-02-20,2020-02-21,2020-03-20,716,714,-0.03235239570888848,-23391.818301140098,699640.2103505563
2020-03-19,2020-03-20,2020-04-20,719,716,0.0262523395301808,18367.192351089907,718007.4027016462
2020-04-17,2020-04-20,2020-05-21,723,718,0.0009787760662667289,702.7684611666482,718710.1711628129
2020-05-20,2020-05-21,2020-06-18,715,710,0.022659033929132155,16285.278153590509,734995.4493164034
2020-06-17,2020-06-18,2020-07-20,718,713,0.0911792099393205,67016.30437766551,802011.7536940689
2020-07-17,2020-07-20,2020-08-17,718,712,0.06525977024921681,52339.102783246315,854350.8564773152
2020-08-14,2020-08-17,2020-09-14,724,715,-0.0050385552088477725,-4304.693958087359,850046.1625192278
2020-09-11,2020-09-14,2020-10-20,725,725,-0.013974631982399233,-11879.08228925697,838167.0802299709
2020-10-19,2020-10-20,2020-11-17,733,730,0.006664638843115078,5586.080879921094,843753.161109892
2020-11-16,2020-11-17,2020-12-15,742,739,-0.027778214219682185,-23437.956057844567,820315.2050520474
2020-12-14,2020-12-15,2021-01-13,755,749,-0.05942412237636463,-48746.51113220549,771568.6939198419
2021-01-12,2021-01-13,2021-02-10,765,763,-0.04560433099794048,-35186.87410516909,736381.8198146728
2021-02-09,2021-02-10,2021-03-17,771,768,0.09741819524072959,71736.98789442959,808118.8077091024
2021-03-16,2021-03-17,2021-04-15,776,773,0.00398989621472623,3224.3101719275583,811343.11788103
2021-04-14,2021-04-15,2021-05-18,788,784,0.00824202585964251,6687.110958618461,818030.2288396484
