signal_date,entry,exit,n_sel,n_fill,lo_ret,idx_ret,capital_ret,net_yuan,equity
2012-01-04,2012-01-05,2012-02-09,416,400,0.05256433498809909,0.10250220448930047,-0.04132359586822571,-41323.59586822579,958676.4041317742
2012-02-08,2012-02-09,2012-03-08,417,407,0.07042576728399008,0.03437216650366848,0.02908520680848658,27883.30147658894,986559.7056083631
2012-03-07,2012-03-08,2012-04-10,422,412,-0.04831786154098894,-0.0467462869392129,-0.004539054292536232,-4478.048066584859,982081.6575417783
2012-04-09,2012-04-10,2012-05-10,421,399,0.0325560341169433,0.06729765327593662,-0.028736629378576694,-28221.71661227639,953859.9409295019
2012-05-09,2012-05-10,2012-06-07,421,405,-0.06401241083774245,-0.02951235387735296,-0.03250691518456436,-31007.04419774888,922852.896731753
2012-06-06,2012-06-07,2012-07-06,429,422,-0.06059619367803637,-0.05596972974649439,-0.006987503514227576,-6448.437859028229,916404.4588727248
2012-07-05,2012-07-06,2012-08-03,439,434,-0.06462328150657393,-0.03893538557571474,-0.02450180240198279,-22453.560971595463,893950.8979011293
2012-08-02,2012-08-03,2012-08-31,447,443,-0.014030739648802859,-0.05754940711462442,0.034257322993572405,30624.364649793017,924575.2625509223
2012-08-30,2012-08-31,2012-09-28,454,452,-0.018071523169497117,0.013370693290169822,-0.028982150521284708,-26796.179427507217,897779.0831234151
2012-09-27,2012-09-28,2012-11-02,459,456,0.03211539519875317,0.02811557631562467,0.0012546464516780785,1126.3953410316026,898905.4784644467
2012-11-01,2012-11-02,2012-11-30,463,459,-0.11619649015499112,-0.07992514904913195,-0.03371408800985898,-30305.7784134947,868599.700050952
2012-11-29,2012-11-30,2012-12-28,466,458,0.12867578858363338,0.15790071136673234,-0.02481382293704286,-21553.279160232865,847046.4208907192
2012-12-27,2012-12-28,2013-01-30,464,455,0.0823537163665673,0.0940941472500898,-0.01069963472310076,-9063.087297040503,837983.3335936787
2013-01-29,2013-01-30,2013-03-06,463,458,0.029279707818236522,-0.01626325870005929,0.03627071536118751,30394.254970195238,868377.5885638739
2013-03-05,2013-03-06,2013-04-03,464,457,-0.024776028414724593,-0.05350928129281507,0.021455510426450244,18631.48440552794,887009.0729694018
2013-04-02,2013-04-03,2013-05-08,464,456,0.002262107517890577,0.01940349976743061,-0.016562419483485455,-14691.016352176783,872318.056617225
2013-05-07,2013-05-08,2013-06-05,468,457,0.023206929570092294,0.009070633724977961,0.009934980852481423,8666.463189765811,880984.5198069909
2013-06-04,2013-06-05,2013-07-08,466,458,-0.1339903815478415,-0.14458568683171358,0.00461940631097818,4069.6254506704863,885054.1452576614
2013-07-05,2013-07-08,2013-08-05,465,460,0.0400681222667727,0.025318763044449133,0.010476734382707506,9272.477194178733,894326.6224518401
2013-08-02,2013-08-05,2013-09-02,464,449,0.07815637476572457,0.031102498688877267,0.03860879313269455,34528.871559304534,928855.4940111446
2013-08-30,2013-09-02,2013-10-09,463,451,0.047103801135806256,0.04869911550199135,-0.002539662281093688,-2358.9792627267307,926496.5147484179
2013-10-08,2013-10-09,2013-11-06,463,451,-0.005559430986204705,-0.025327381686354733,0.013988291704943152,12960.103511914029,939456.6182603319
2013-11-05,2013-11-06,2013-12-04,461,454,0.02736866896356771,0.028886864699829706,-0.003198994390009563,-3005.3164514722303,936451.3018088597
2013-12-03,2013-12-04,2014-01-02,460,452,0.005433451986555982,-0.04770433884466896,0.0421856772334655,39504.83236296708,975956.1341718268
2013-12-31,2014-01-02,2014-01-30,461,453,-0.014745783871720652,-0.04315602363746707,0.021235791258102724,20725.200742337736,996681.3349141645
2014-01-29,2014-01-30,2014-03-06,462,455,0.025866201748205864,-0.02867989708343066,0.04371338274029565,43568.312663211604,1040249.6475773761
2014-03-05,2014-03-06,2014-04-03,460,448,0.011773783581989994,0.013540798369917395,-0.0034578166741552497,-3596.9925766771194,1036652.655000699
2014-04-02,2014-04-03,2014-05-06,460,445,-0.02333017657964076,-0.017019701732582826,-0.008076644086185771,-8372.674535440165,1028279.9804652588
2014-05-05,2014-05-06,2014-06-04,455,444,-0.015414527716962168,-0.0009203352251335728,-0.014599509801996815,-15012.383653999656,1013267.5968112592
2014-06-03,2014-06-04,2014-07-02,455,440,0.011894300121921164,0.0067879092402101104,0.002290474261630114,2320.8633506399347,1015588.4601618991
2014-07-01,2014-07-02,2014-07-30,454,445,0.06684990702656401,0.0742560073937153,-0.0073145706882756165,-7428.593582051108,1008159.866579848
2014-07-29,2014-07-30,2014-08-27,453,437,0.036925240611671795,-0.000387148393979464,0.029469189967427718,29709.654625778203,1037869.5212056262
