date,equity,cash,invested
2010-01-04,1000000.0,1000000.0,0.0
2010-01-05,1006225.6698483637,17361.111111105838,988864.5587372578
2010-01-06,1002713.414182985,17361.111111105838,985352.3030718791
2010-01-07,984527.3271002002,17361.111111105838,967166.2159890943
2010-01-08,994919.4233578641,17361.111111105838,977558.3122467583
2010-01-11,1001077.1595909491,17361.111111105838,983716.0484798432
2010-01-12,1023192.3763446636,17361.111111105838,1005831.2652335577
2010-01-13,1012758.1481889744,17361.111111105838,995397.0370778685
2010-01-14,1037120.5597217382,17361.111111105838,1019759.4486106323
2010-01-15,1040422.2721781534,17361.111111105838,1023061.1610670475
2010-01-18,1055528.6487072858,17361.111111105838,1038167.5375961799
2010-01-19,1055377.6395182186,17361.111111105838,1038016.5284071127
2010-01-20,1022127.0809882182,17361.111111105838,1004765.9698771123
2010-01-21,1030293.1848454003,17361.111111105838,1012932.0737342944
2010-01-22,1011574.627727966,17361.111111105838,994213.5166168602
2010-01-25,997267.33176207,17361.111111105838,979906.2206509641
2010-01-26,966504.2544255741,17361.111111105838,949143.1433144682
2010-01-27,961619.9293525292,17361.111111105838,944258.8182414233
2010-01-28,973343.3585681785,17361.111111105838,955982.2474570726
2010-01-29,976938.2632502429,17361.111111105838,959577.152139137
2010-02-01,963195.3651427758,17361.111111105838,945834.2540316699
2010-02-02,964493.7628685406,964493.7628685406,0.0
2010-02-02,953995.5365284554,30245.449009808402,923750.0875186471
2010-02-03,970949.5747955268,30245.449009808402,940704.1257857184
2010-02-04,974482.7940409159,30245.449009808402,944237.3450311075
2010-02-05,958708.954761897,30245.449009808402,928463.5057520886
2010-02-08,959792.7043100842,30245.449009808402,929547.2553002759
2010-02-09,964493.1852151097,30245.449009808402,934247.7362053014
2010-02-10,973109.7814357341,30245.449009808402,942864.3324259258
2010-02-11,973275.7444023464,30245.449009808402,943030.2953925381
2010-02-12,982292.3517231706,30245.449009808402,952046.9027133622
2010-02-22,980756.4774876455,30245.449009808402,950511.0284778371
2010-02-23,981987.3223395727,30245.449009808402,951741.8733297643
2010-02-24,999262.270685005,30245.449009808402,969016.8216751966
2010-02-25,1011528.0053748026,30245.449009808402,981282.5563649943
2010-02-26,1010988.7831139239,30245.449009808402,980743.3341041155
2010-03-01,1021810.4837132025,30245.449009808402,991565.0347033942
2010-03-02,1020378.7165505558,30245.449009808402,990133.2675407474
2010-03-03,1032469.1519693625,30245.449009808402,1002223.7029595542
2010-03-04,1003028.1713852012,30245.449009808402,972782.7223753928
2010-03-05,1008602.8438005297,30245.449009808402,978357.3947907214
2010-03-08,1017534.2986906229,30245.449009808402,987288.8496808145
2010-03-09,1014482.4938300644,1014482.4938300644,0.0
2010-03-09,1014337.7751906432,17194.618539498922,997143.1566511443
2010-03-10,1005273.066783623,17194.618539498922,988078.4482441241
2010-03-11,1003470.0090168345,17194.618539498922,986275.3904773357
2010-03-12,988863.758814598,17194.618539498922,971669.1402750991
2010-03-15,978502.8656463521,17194.618539498922,961308.2471068532
2010-03-16,984908.4501560307,17194.618539498922,967713.8316165318
2010-03-17,1005887.1839434697,17194.618539498922,988692.5654039708
2010-03-18,1007405.239628373,17194.618539498922,990210.6210888741
2010-03-19,1014101.7715706456,17194.618539498922,996907.1530311467
2010-03-22,1018129.8739896179,17194.618539498922,1000935.255450119
2010-03-23,1012529.4471214662,17194.618539498922,995334.8285819673
2010-03-24,1017043.200281128,17194.618539498922,999848.5817416292
2010-03-25,1005157.2605838979,17194.618539498922,987962.642044399
2010-03-26,1017496.0324799286,17194.618539498922,1000301.4139404297
2010-03-29,1030325.3143608343,17194.618539498922,1013130.6958213354
2010-03-30,1032106.9815448147,17194.618539498922,1014912.3630053158
2010-03-31,1029295.0297901944,17194.618539498922,1012100.4112506955
2010-04-01,1043287.5506905656,17194.618539498922,1026092.9321510667
2010-04-02,1047462.136312339,17194.618539498922,1030267.5177728401
2010-04-06,1047586.3225595574,17194.618539498922,1030391.7040200585
2010-04-07,1044526.3273521868,1044526.3273521868,0.0
2010-04-07,1043259.1221754578,24785.37047954918,1018473.7516959086
2010-04-08,1039827.6169036741,24785.37047954918,1015042.2464241249
2010-04-09,1051583.955470162,24785.37047954918,1026798.5849906127
2010-04-12,1054722.2990299999,24785.37047954918,1029936.9285504507
2010-04-13,1052288.9332276797,24785.37047954918,1027503.5627481304
2010-04-14,1060435.6776278515,24785.37047954918,1035650.3071483022
2010-04-15,1053544.8830528553,24785.37047954918,1028759.5125733061
2010-04-16,1046075.6258381053,24785.37047954918,1021290.2553585562
2010-04-19,1002645.4329664527,24785.37047954918,977860.0624869035
2010-04-20,1008105.0821719931,24785.37047954918,983319.7116924439
2010-04-21,1031939.8375832918,24785.37047954918,1007154.4671037426
2010-04-22,1028579.8626326596,24785.37047954918,1003794.4921531104
2010-04-23,1023189.7099424931,24785.37047954918,998404.339462944
2010-04-26,1019578.1798876389,24785.37047954918,994792.8094080897
2010-04-27,993190.3082553322,24785.37047954918,968404.937775783
2010-04-28,989412.3977054261,24785.37047954918,964627.0272258769
2010-04-29,967085.7591637566,24785.37047954918,942300.3886842075
2010-04-30,947262.5251950126,24785.37047954918,922477.1547154634
2010-05-04,939818.0286746969,24785.37047954918,915032.6581951478
2010-05-05,955922.4487538263,24785.37047954918,931137.0782742772
2010-05-06,949948.2350160701,949948.2350160701,0.0
2010-05-06,919184.1409282169,35183.26796355541,884000.8729646615
2010-05-07,901264.4936875859,35183.26796355541,866081.2257240305
2010-05-10,900505.8320887598,35183.26796355541,865322.5641252043
2010-05-11,884347.1928956957,35183.26796355541,849163.9249321403
2010-05-12,876958.0081270119,35183.26796355541,841774.7401634565
2010-05-13,891473.205045671,35183.26796355541,856289.9370821156
2010-05-14,886534.2619728919,35183.26796355541,851350.9940093365
2010-05-17,830258.1342434,35183.26796355541,795074.8662798445
2010-05-18,838434.452927202,35183.26796355541,803251.1849636466
2010-05-19,834353.5692600479,35183.26796355541,799170.3012964925
2010-05-20,821713.3568419791,35183.26796355541,786530.0888784237
2010-05-21,831243.3366611273,35183.26796355541,796060.0686975719
